;term;0;1;2;3;4;5;6
48;accueil;0.0;0.00040453965303335687;0.0;3.023832392238234e-06;0.0;0.00011891497515988644;0.0
49;accès;0.0;0.0;0.0;0.0;4.367673973218639e-05;0.0046578422810604776;0.0
50;accélérer;0.0;2.392208154385461e-05;5.858694606559824e-05;0.00012318989082554644;2.0698975311838823e-06;0.00020292447441080233;9.056204357208591e-05
51;ach;0.0;0.00013238762218061988;0.00011822310812895553;0.0003345346461266205;5.9042409258653166e-05;0.0006219818029381111;0.0001908369275949106
52;achat;0.0;0.047721720601245556;0.001620195684035469;0.0186855170436428;0.07123764807885176;0.15398604940503324;0.009753689590248736
53;achats;0.0;0.0;0.0014418181073524094;0.0009104271307884608;0.0;0.0;0.0
54;ache;3.672234181110539e-06;0.00022838748104375548;0.0;8.426508872750633e-05;0.0;0.00011040968978630279;0.0
55;acheminement;0.0010419175129309179;0.002954760979384671;0.0;0.0;0.0;0.0;0.001744943885043502
56;achetais;0.0014667770247623858;0.007830635517076944;0.0;0.0009195107455216019;0.0;0.0014864430202880244;0.0
57;achete;0.0;0.0;0.0;0.0005065151785227473;0.017968233480167364;0.0;0.0
58;acheter;0.015869908716823262;0.06284918097653697;0.008243481238171988;0.06140309091472685;0.02317504388644061;0.05353216997930185;0.005634864361118277
59;acheteur;0.0;0.002891962862628086;0.0;0.00017530792183378322;0.00040737189058865633;0.00023798859093397895;0.0
60;achetez;2.4373986785164193e-05;0.0004571582970575565;0.0;0.00020403849336423242;0.0;0.0001180405733180492;0.0
61;achette;0.0;8.138765855691913e-06;0.00013611234916962654;0.00020811168743133814;6.735131120816721e-05;0.00030764193312675554;0.00010561861841721157
62;achetée;5.2353860134465326e-05;0.00019391379824883488;0.00023313174885217707;0.00020999686430584402;0.0001965311512333208;0.00018471197674090712;0.0002088944097955015
63;achète;0.0071426452517367595;0.015222903929555817;0.002944206129702583;0.005424117952232204;0.0005585693030689331;0.02160826308456807;0.0
64;achèterai;0.0;0.004423797609829819;0.0013141177136861632;0.00022542383756585482;8.365212277039736e-05;7.550810536600684e-05;0.0
65;achété;0.0;0.006347215238017892;0.0;0.0;0.0029440809491336215;0.005372274837527494;0.0
66;acidité;0.0;0.0;0.0;0.0015941183120658671;0.0;0.0;6.464998438080175e-06
67;acné;0.0;0.0;0.00040226968094637814;0.007133081519507459;0.0;0.0012577421148896972;0.0003797773404950166
68;acnéique;0.0;0.001171836996579551;0.0;0.0022484707600231315;0.0;0.00013866149185457993;0.0
69;acnés;2.9713976396613447e-06;1.3380732649357836e-05;0.0;0.00022934690396929532;0.0;5.360617117641686e-05;4.378407088276163e-05
70;acquiert;0.0;0.0026367562598324313;6.217422643051246e-05;0.000602704802624945;3.2286995522281014e-05;4.124043662523379e-05;0.0
71;acquis;0.0008699978950886988;0.00485698094118651;0.0;0.0;0.0;0.0;0.0
72;acquérir;0.0;0.00025881169714274047;0.0;0.0;0.00011805883527801009;0.0002088805775127328;0.0
73;actualise;0.0;0.0;3.3121290486887105e-05;0.0003656298000125078;4.128579967607797e-05;2.5993262014806004e-05;2.0993035936325293e-05
