;term;0;1;2;3;4
152;ailes;0.0;0.0008299946270187822;2.9163001143125845e-06;0.0011968676026391718;0.0
153;aimais;0.0;0.0014338221661678449;0.00017264291719258748;0.001103559377764959;1.6756863484568302e-05
154;aimanter;0.0;0.00260873615303507;0.00033017438807908;0.0;0.0
155;aime;0.006026656099765069;0.14611738698928944;0.04654911137617577;0.0072097877551437805;0.0
156;aiment;4.690832456183846e-05;8.412793446668818e-05;4.2209874557475526e-05;6.70719567241306e-05;8.019442686704061e-05
157;aimer;0.005909138074375864;0.029949798307071503;0.0012090688021729537;0.0006601914224734861;0.0
158;aimerai;2.009505542741443e-05;0.00010438578876193566;3.507808294092538e-05;5.994391557049138e-05;8.271843859258797e-06
159;aimerais;0.0;0.00032284020707934523;8.378311863591688e-05;9.834938484316212e-05;0.0011766079664582416
160;aimez;0.0;0.0011388009181934374;0.002795821465399217;0.0001378343343042165;0.0
161;aimons;0.0;0.002478932109118004;0.0;0.000635189414760687;0.0
162;air;0.0;0.0;0.009784911731498395;0.011420807129154498;0.0
163;aisance;0.0;0.0009687334957692518;0.0;0.0005205735028143738;0.0
164;aisé;0.0006207824672587798;0.003395440126384099;0.0;0.001257668479373062;0.0
165;aisément;1.2605299788469374e-05;6.613243648180224e-05;5.8136045487447875e-05;8.738588318285425e-05;0.0
166;ajoutant;4.602787417914652e-05;0.00035527908879931687;0.00013143792689536963;0.00037512753634369407;3.52301526539455e-05
167;ajoute;0.0007422354763177968;0.001396258682310916;0.0;0.0007386080377223229;0.0
168;ajouter;0.0;0.0014937025557867198;0.0;0.0;0.020443401021380436
169;ajoutez;0.0;3.5623826885673744e-05;0.0;0.003556837118616459;2.015876863029824e-05
170;alarmer;2.5861334657201045e-05;0.00013126034582867338;7.76529008563547e-05;0.00022360227958505326;0.0001442625757271812
171;alcool;0.0;0.007520902776431883;0.0027825788584842897;0.0;0.0
172;alcooliser;0.0;1.9332139554144757e-05;1.5460531464491784e-05;0.0;0.0
173;alentour;0.0012628098554922234;0.002321952508494712;0.0;0.0020120193227738587;0.0
174;alien;1.7567465897334878e-05;9.419998488105332e-05;5.878083368514935e-05;4.8913602062017344e-05;0.0
175;alimentation;0.0;0.00016761069877514485;7.636718817469365e-05;4.757601736295646e-05;9.498277199252413e-06
176;allais;1.1699720430654609e-05;7.50544415429972e-05;0.00015710132009693722;0.00013427087068227086;0.00014813924077939337
177;allemagne;0.0;0.0;0.0028617119468828797;0.0001914361429891965;1.0413918665444899e-05
