;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
10;N'en reste pas moins une crème super agréable;0.0;0.00016478143629545606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00014273996719244716;0.0;0.0;0.0;0.0010121979156306783;0.002743096231512925;0.0007734536067867909;0.0;0.0;0.0023601572749718178;0.0;0.0
11;Malheureusement présence de perturbateurs PROPYLENE GLYCOL, PHENOXYETHANOL et allergènes LINALOOL, LIMONENE mais en fin d'ingrédients donc en quantité faible.;0.0002938985027739465;0.0008535051916647892;0.0018944381994431428;0.0;0.0;0.0;0.0;0.0004366343196478645;0.0005898875992223964;0.0016524060651092836;0.0;0.0;0.0;0.0004895970121418401;0.0005781227871939354;0.008176787410636679;0.0017692099040350487;0.000555108444748563;0.0002302640267702336;0.0003072356307637184;0.00532512688983538;2.0634329023286907e-05
12;remplit sa fonction;0.0001774919971475757;7.91337863957387e-05;6.918947327839139e-05;0.0010785555878649418;0.00027807935275865717;0.0;0.0;0.0009851136648149422;0.000538283853073127;0.0004340657755561174;0.0013019643862411865;0.0;0.0003209353016294712;0.0;0.0;0.0020372691519866945;0.0;0.0;0.0;0.0;0.0006862951495133815;0.0
13;Très bien pour le connaître depuis longtemps;0.00110351470803443;6.19696964844459e-05;0.0;2.4098434625651866e-05;0.002096248290030676;0.002332466979697844;0.0;0.0;0.00542155995061515;0.0;0.0;0.0;0.004777405151879795;0.005542112622343287;0.0;0.008547482253138746;0.0007997219640591642;0.002654573063474399;0.00429785161389135;0.0;0.005136547475328787;0.0021437330724131767
14;Je suis toujours fidèle à ce produit pour essayer de lutter contre le dessèchement capillaire lié à l'âge et aux balayages.;0.0004012379745798759;0.0004841912708433056;5.186072672014535e-05;0.0010536435391890456;0.0006531997335358126;0.0009462202931129858;0.0004759611033824821;0.0002245670138428921;0.0003572647680453737;0.00024770834214595205;0.0028734504408380866;0.0;0.0007237852711255844;0.008322720153031649;0.0;0.0;0.003798399919717932;0.008160020496279181;0.0004952297439049306;0.0019100358326781144;0.0;0.0034953155230614094
15;...comme les miens c'est le produit idéal qui évite le jaunissement des cheveux et en grande dose tel qu'il est présenté, c'est une utilisation de plusieurs mois;0.0002575803584825258;0.0009588103488340425;0.0;0.0013100406014165157;0.00019653875177683537;0.0005109750997298433;0.0008726554891273396;0.004896357113962875;0.0033927383625184182;0.0031927461538742157;0.0050914752275226065;0.0;0.0013096528523575328;0.0;0.054758939886815294;0.0013530810729763774;0.0014223154166315916;0.0;0.0020109604451423397;0.01808011204643643;0.02276082319680732;0.0028770071012283976
16;De toute façon tout ce que fait L'OREAL est au top: ELSEVE pour les cheveux, MEN EXPERT, NARTA déodorant;0.0005812401568366632;2.870726803220183e-06;0.00031283580636253834;0.0004611887372058166;0.0;0.0006794648084705452;0.0011214739638470339;0.0012472842213708784;0.0012958284036939038;0.0008994228805292249;0.0;0.0027863220436912745;3.326469876164964e-05;0.00367160023335895;0.0;0.0;6.969567498558539e-05;0.002288527047786621;0.00014482260413894676;0.00214978372197268;6.598510843872917e-05;0.0
17;Je me sers de tout cela depuis des années et avec une entière satisfaction;5.009368347848477e-05;0.0;0.00037604042935729544;8.393987722714948e-05;0.0;0.003069380886804509;0.0;0.0;0.009346287910609234;0.0007996846256427988;0.0014305257683159282;0.0;0.000246757756706884;0.0;0.0;0.0007043765584884204;0.0;0.0;0.00021710116480598132;0.0294837901361469;0.0002598654941256646;0.0
18;Philippe;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.184740458373812e-207
19;Ravie de retrouver mon mascara préféré sur ce site et à un.prix vraiment abordable..;0.0007629004657512355;0.05300097842030282;0.0009926409253763115;0.0004845703567095345;0.0013084192313856402;0.0010171830487524566;0.0010302664027595704;0.0;0.0;0.0024988353974465;0.002696094140593195;0.0017873548620377622;0.0;0.0026167974696376496;0.0005487202164926935;0.0;0.0;0.011588947095293739;0.0018157887392959372;0.01647262091690994;0.0;0.0004732425430977724
20;"prix compétitif,...facile d’application... plus d'un moi de traitement....je l""ai testé et dès qu'il est fini je repasse  une commande.";0.00026656302087588266;0.03941138905844255;0.0006042503961747905;0.0;0.000809371796511785;0.00039684123245087316;1.4747004536867375e-05;0.0;0.0;0.0;0.0;0.0008456732348229593;6.573326156984249e-05;0.003020082248430966;0.11347381016531415;0.0;0.0;0.013553523428130383;0.0;0.0;0.0;0.0004146220475498328
21;Merci;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;Shampooing en format salon, dommage que la pompe ne soit pas livrée avec, j'ai du transvaser dans un contenant plus petit. Il laisse une odeur agréable sans être trop forte ou persistante, mousse bien et se rince facilement. J'utilise moins de quantité qu'avec un shampooing de grande surface donc c'est un très bon rapport qualité prix au final.;0.0;0.05020726722451028;0.053987151455691;0.0;0.0005735761771196052;0.0;0.0006076587278879039;0.0020341480940077295;0.06296146949420037;0.000518803026152838;0.0;0.0;0.005165534253675114;0.003579976317117096;0.0;0.007500152657852992;0.0038005760322557683;0.0;0.0015649057099566906;0.0;0.07535899144871967;0.0
23;Bonjour,;0.0006040877074719136;0.0;0.0;0.00020559108856644737;0.0;0.0;0.0;0.0;0.0003802854469454426;0.0;0.003555879273264818;0.0;0.0;0.0;0.0;0.0;0.0;0.003454924209157677;0.0022223457390832314;0.011326809052075715;0.0;0.0
24;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;"assez déçue. Ce n'était pas une plume fine comme je l’espérais mais un feutre. Donc moins précis .. par ailleurs, le noir est trop ""noyé"", feutré, dilué.... pas épais et de ce beau trait ""black"" qu'on aime lorsqu'on surligne et prolonge nos regards.";0.00014115329725564334;0.0;0.00039714712057904375;0.0;1.5363497972331876e-05;0.0002708631753264581;0.00040852192685430973;0.0;8.598029789458616e-05;0.0006723136377556412;0.0051270068210059454;0.0007462770576938686;0.003127563450147557;0.0;0.0055597156876505864;0.01159873450602507;0.001759804960801887;0.0027312709083941885;7.671966992286246e-05;0.0028988698748803714;0.0023828225387642695;0.0
26;Mais, je pense que d'autres utilisatrices sauront l’apprécier.;0.0;0.0;0.0;0.0;3.161604622668467e-06;0.0;0.0;1.0589468197950085e-05;0.0;0.0;0.0;0.0;0.0;0.0032071542688118216;0.0013527026530850586;0.0004231649487820787;0.0;0.00028675088801662416;0.0001237492899074701;3.2779354875041854e-05;0.0;0.0
27;Bon produit, redonne douceur aux cheveux mais je le déconseille pour ceux qui ont les cheveux gras, il graisse pas mal le cuir chevelu.;8.684597510211659e-05;0.0;0.0;0.001401725669799855;0.00015767410557028047;0.0;0.0;0.0;0.0009543478880210604;0.0010599378118448953;0.0001985753539573987;0.00039991587616443233;0.0019052341699225801;0.00036481615340133846;0.0012375257363763743;0.0015090324477591663;0.0;0.00017132953679137704;0.0;0.0;0.0006745501004448163;0.12982199505219755
28;super contente;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4517491045222285;0.0;0.0;0.0
