;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
13;abonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.265019735710165e-05;0.0002484134120011067;6.228723688727308e-06;0.0;4.7643513030332585e-06;0.0;0.0005846370380643;0.0;0.0;0.0;0.0016635914885147244;0.0;0.0
14;abonné;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.73893289234206e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0003271671284653512;0.0;0.0026507609156207284;8.405394760362394e-06;0.00011654371788699845;0.00033396400897639327;0.0
15;abordable;9.054921831809066e-05;0.1214134241863252;0.013751773419489109;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004050015142200655;0.0;0.0;0.004895722059228457;0.00743229101039873;0.0;0.021635764883723572;0.0;0.0;0.0;0.006667859930216623
16;abricot;0.0;0.0;0.0008050765563507769;0.0026882435090772663;0.0;0.0;0.0016092195287978296;0.0;0.0;0.0;0.02018326518219131;0.0;0.0;0.0008921090329422771;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;abricotée;0.0;0.0;0.0003562099978549327;0.0011741061991079357;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001282528650183585;0.0;0.0;0.0003062817979785915;0.0;0.00039821769068621674;0.0;0.0018029595642011535;0.0;0.0
18;absence;0.0;0.0;0.0;0.0;0.0054029113537831875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012709612189899683;0.0;0.0;0.006759544454938865;0.0
19;absolut;0.0;0.0;0.0006692290382107815;0.0;0.0014168394246743717;0.0;0.0;0.0014591176577932895;0.012199720591356442;0.0;0.0;0.0;0.0031973110859638667;0.030195844158501038;0.00019507522253838956;0.0;0.013501086472808782;0.0006429586194194645;0.0;0.01234535637657881;0.0;0.0010768189954545899
20;absorbant;0.0;0.0;0.0;0.0021799672926899557;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.658424781080736e-05;0.0;0.0;0.003627800024088118;0.0;0.0;0.0;0.00021619280011783362;0.0;0.0;0.0003773735019272505
21;absorbantes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.982206920234497e-208
22;absorbe;0.0;0.0;0.0;0.00496750565210786;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005258630232751767;0.0;2.638285752119837e-05;0.0024461132752543837;0.0;0.0;0.0;0.0005728754030397732
23;absorber;0.0;0.0;0.0;0.0009900879871158734;0.0;0.0;0.0;0.0;0.00024454415257322263;0.0;0.0;0.0;0.0;0.00011033839608611784;0.0;0.00023416739545138604;0.0;0.0023399755332647325;0.0;0.0009323639844940595;0.0;0.00011398107111821053
24;absorbé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0004234270405427316;0.0;0.0;0.00016952046281260239;0.0;0.0;0.0021073732003651234;0.002077490135821607
25;absorbée;0.0;0.0;0.0;0.024952903871536633;0.0;0.0;0.0;0.0;0.0;0.0;0.004913182608626915;0.0;0.0031700959529834378;0.0;0.0024386605214345818;0.0;0.0;0.00579326134232195;0.0;0.0010323347947452358;0.0;0.00632624360294274
26;absorption;0.0;0.0;0.0;0.005535772905332125;0.0;0.0;0.006920227871901866;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010761886330800064
27;abstenir;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00029066331944135166;0.0;0.0;0.0;0.0;0.0;0.0026602275268753097;0.00011503395996546287;0.0;1.875470429765171e-05;0.0;0.0;0.0
28;abusé;0.0;0.004140556410058107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.993476194239007e-05;0.0;0.0;0.0;0.0;0.0;0.0015177613239762962;0.0;0.0;0.0005412538646569188;0.0
29;abîme;0.0019136123922277213;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007184525643592233;0.0;0.0011081229568990743;0.013625340781879793;0.0;0.00011268304052176368;0.0;0.0001900681369951933;0.0005571330799330242;0.0007912153634097398;0.000282234016049483;0.0;0.0;0.0
30;abîmer;0.025877600410106522;0.040574438387305026;0.0;0.0;0.00236086168946188;0.011497593949277834;9.965550417241586e-05;0.029133365749935653;0.0022645584514742606;0.009655891771378473;0.024931404488991886;0.0;0.0;0.06817908151452681;0.011008414157542615;0.0;0.1296708088129455;0.0;0.03238921040560452;0.009717081155085678;0.0;0.015534840630373416
