;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
29;abîme;0.0019018657430566412;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007053175821946228;0.0;0.0008605686676326228;0.013762098906375947;0.0;0.0;0.0;0.0006760054645491702;0.0007549302690884312
30;abîmer;0.026061435977702812;0.03944617203002555;0.0;0.0;0.0028204310172001866;0.010382263103525663;0.0001516468614976739;0.030286499572367464;0.0030241356608706324;0.01005303938822323;0.018547517681472107;0.0;0.0;0.06688521031342298;0.01435746992445923;0.15730769437383899;0.00040132128654259
31;abîmes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005964769925496937;0.0016546629418027856;0.0;0.0001140157521820201;0.0;0.0;7.895362492312978e-06;0.00028155851388012986;0.0030476055850345452;0.0
32;abîmé;0.002516389420678272;0.0;0.0019227043520659228;0.0;0.0;0.0;0.0008433935398403805;0.0002456094939118503;0.0;0.0;0.0;0.0011966294768670982;0.0;0.00389288760500577;0.0;0.05790717741003091;0.018368590291295443
33;acaht;0.0;0.0;0.0;0.0006267962306441093;0.0;0.005510561590638119;5.0247033912741066e-05;0.0;3.026911766085484e-05;0.0;0.0;0.0;8.974850923325441e-05;0.0;0.00018432081037040687;0.0;0.0
34;accentuer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008433635667275825;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35;acceptable;0.0;0.005455111424991673;0.0;0.0;0.0;0.0;0.008410437830100223;0.0;0.0;0.0;0.0;0.0001278574936184592;0.0;0.0;0.0;0.0;0.0
36;accessible;0.0;0.017758765819848962;0.00037439118958595464;0.0;0.0;0.0;0.011274785704225507;0.0011812997252848572;0.008744403299562581;0.0;0.0;0.006303370595385342;0.0;0.000894198863782953;0.0;0.0;0.001673069666421123
37;accessoire;0.0;0.0005490142030211366;0.00010264971097838448;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.497936659381927e-05;0.0;8.706941236058194e-06;0.0008098954225267883;0.0006583096232998093;0.0;0.0010867686243801948
38;accompagne;0.0;0.0;0.0;0.0013514210801682225;0.0;0.0;0.0;0.0;0.0;0.0;0.0010804690723888776;0.0;0.0;0.0;0.0010463397678634001;0.0;8.323737361217592e-05
39;accompagner;0.0005043569892716346;0.0;0.00041262127580524025;0.0;0.005418124399739667;0.010780184148095234;0.0;0.009473924508496545;0.007286657305743789;0.0;0.0;0.009832019100718396;0.0;0.005787224101055494;0.0;0.0;0.0
40;accord;0.0;0.0;0.0013166654928224964;0.0009570562582869181;0.0;0.0;0.0;0.0;0.0;0.0;0.0025286868726672597;0.0;0.0009536272900863477;0.0;0.00038605849945016655;0.0;0.010147796178128715
41;accorde;0.0;6.240146023161709e-06;0.0;0.0;0.0;0.0;0.0;1.4834614785374882e-05;0.0;3.6549534728137624e-07;7.635481181115138e-05;0.0;0.0;6.0707376477120664e-05;4.596145432955006e-05;1.1355894991792241e-05;6.058236524518019e-06
42;accorder;0.0;0.0;0.0;1.4750534551653317e-05;0.00023185818447629013;3.3144876072245516e-05;0.0;0.0;0.00015330667432565572;0.0;0.00013186301719023946;0.0;0.0;0.0;0.000748401468569587;0.0;0.00010602318128854853
43;accouchement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.165453326018234e-06;0.0008014624626446046;0.0;1.0488990300282399e-05;4.025809784222679e-05;0.00018088028287606027;0.0007646620088671176;0.0;0.0003541584048435415
44;accoucher;0.0;0.0006915149748978468;0.0;0.00015567240844110736;0.0;0.0;0.0;0.0;0.0;0.0;0.00028006364519698383;0.0;0.0;0.0001502193823716527;0.00029326477727885744;1.8327580969041205e-05;8.328977676666035e-05
45;accro;0.0;0.0;0.0;0.0026175441608219372;0.0;0.0;0.0;0.0;0.0;0.0;0.0004917344791150135;0.0;0.0;0.0;0.00016427103261483606;0.0017403838407479021;0.00029679877959749526
46;accroche;0.0;0.0;0.0;0.003925098729326154;0.0;0.0;0.0;0.0;0.0;0.0002064483500833112;0.0030541582371289917;0.0;0.0;0.0;0.00305540880635314;0.0;0.0009100810385485203
47;accrochent;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.079725189741611e-05;0.0027338027330153984;0.0;0.0003456742647358971
48;accueil;0.0;0.00039292684374332243;0.0;0.0;0.0;7.489297856426178e-05;0.0;0.0;0.0;0.0;0.0004026153332939791;0.0;0.0;0.0;0.0;0.0;0.00035814590872006543
49;accès;0.0;0.0;0.0;0.0;0.0;0.00575446916290919;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004003623302842687;0.0;0.0005764591112154954
50;accélérer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00013889578153935766;0.0011577664611272336;0.0;0.0;0.0;0.00018183058389401315;0.0002868187027228699;0.0;0.00012873345382732925
51;ach;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011959842824138181;0.0;0.0;0.0;0.0;0.0;0.0
52;achat;0.0;0.04907339224845376;0.0005835933798863796;0.007959902374976487;0.06293249257645532;0.18860036483903472;0.012941384404817187;0.016446902596894332;0.006188743925351105;0.00834722050477825;0.018603453463312266;0.024402893149376673;0.0;4.728379791375941e-05;0.0;0.010427405867274203;0.07218966518834159
53;achats;0.0;0.0;0.001519592587910171;0.002571261789273058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00016004104745656055
54;ache;0.0;0.00014074041730483073;0.0;0.0;0.0;0.0;0.0;0.0;0.0003790193207317906;4.0612813003337866e-05;0.00033047925414762775;5.851568341989644e-05;0.0;0.0;5.4847204731750784e-05;0.0;0.0003568479272141214
55;acheminement;0.0010560472928071907;0.0033625598270783557;0.0;0.0;0.0;0.0;0.002194368295431255;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000856826978511006
56;achetais;0.0010551182578386195;0.007591422287911217;0.0;0.0;0.0;0.0;0.0;0.0;0.0030163788193412174;0.0;0.004096026045405906;3.579470730048633e-05;6.38459782561396e-05;0.004260242114339824;0.0017198678077720076;0.0;0.0020777665126621883
57;achete;0.0;0.0;0.0;0.0;0.01834623359085673;0.0;0.0;0.0;0.003937928429912253;0.0;0.004590469276765781;0.0;0.0;0.0024439760717387573;0.0;0.0;0.0
58;acheter;0.007336117339187298;0.044066801140282184;0.0;0.0;0.0015586150583851714;0.029633160988934554;0.0;0.02679406444597712;0.07526047374936093;0.021189644361543407;0.012028425676829456;0.006816162538399758;0.007994376259365773;0.012108668013685056;0.06004476094720136;0.016168807207864098;0.17401599994174868
59;acheteur;0.0;0.0023686516257584787;0.0;0.0;0.0;0.0;0.0;0.0;0.0006315912184193704;0.0;0.0;0.0073492727969054214;0.0;0.00029021941506734294;0.0;0.0;0.0010817466858105138
60;achetez;0.0;0.00014888172254173365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00026611183884287036;0.0;0.0;0.0013498571162881509;0.0006097615836723211;0.0007294033773709683;0.0004368316869249374
61;achette;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009927437711028915;0.0;0.0;0.0;0.0;0.0;0.0
62;achetée;0.0;0.0;4.273512139799707e-05;0.0;0.0;0.0;0.00011128479476435418;0.0;0.0;0.0;0.0011012867496810513;0.0026168001842521585;0.00022038776482412488;0.0;0.0004540415162728321;0.0;0.001794961257105142
63;achète;0.004983924921614286;0.010130175366093215;0.0008240405106781616;0.0;0.0;0.017822273182770253;0.0;0.0;0.023373815254118305;0.0;0.011100879512423155;0.0;0.0;0.011696209332064647;0.003097869048002025;0.0;0.03458942326967445
64;achèterai;0.0;0.004523481069282953;0.001156520179914936;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0024575534752152624;0.0;0.0003831749139337052;0.0023297132965672974;0.0;0.0014474569095456356
65;achété;0.0;0.007504287100051701;0.0;0.0;0.0031143240087406483;0.006977768306116449;0.0;0.0;0.00026339903697901007;0.0;0.0008587996241197042;0.0;0.0;0.0;0.0;0.0;1.86373963334282e-05
66;acidité;0.0;0.0;0.0;0.0028819212906057673;0.0;0.0;0.0;0.0;0.0;0.0;0.0005383552641332369;0.0;0.0;0.0;0.0012864168827543148;0.0;0.0
67;acné;0.0;0.0;0.0;0.014426396663828545;0.0;0.0;0.0;0.0;0.0;0.009422569558756125;0.0004349974049471906;0.0;0.0;0.005268820952980378;0.0;0.0;0.00014048722657109257
68;acnéique;0.0;0.0011250045482443306;0.0;0.004042818356719507;0.0;0.0;0.0;0.0;0.0018122728628400418;0.0;0.0006321197055014318;0.0;0.0;0.0;0.0013601875075075142;0.0;0.0
69;acnés;0.0;0.0;0.0;0.00019323510175918958;0.0;0.0;0.0;0.0;0.0;0.0;0.0007215021260691804;0.0;0.0;3.0904229565106956e-05;0.0004688356230777245;0.0;0.0
70;acquiert;0.0;0.0026711818659248643;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005529209598080873;0.0;4.5452826246652556e-05
71;acquis;0.0008847348633936556;0.005599848177389937;0.0;4.239906521857784e-05;0.0;0.0;0.0;0.0;2.491810884783366e-05;0.0;0.0006197224123146367;0.0;0.0;0.0;0.0;0.0;0.00010937974902760876
72;acquérir;0.0;0.00017015728648796832;0.0;0.0;0.0;0.000146535107072993;0.0;0.0;0.0;2.593384057208425e-05;9.125753355310075e-05;0.00015480817681564474;0.0;0.0;0.0;0.0;0.0009256626201972609
73;actualise;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.575003412803215e-05;0.0;0.0;0.0021521815647446685;0.0;0.0
74;actuel;0.0;0.0;0.0;0.0;0.0;0.0007868220863547616;0.0;0.0;0.0;0.0;0.0005569897840662302;0.0002214102521496712;1.4774953795214844e-05;0.007470733010256629;0.0;0.0;0.0003938078263017958
75;actuellement;0.0;0.0027236627468002583;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014504214496094429;0.0017338244519836813;0.0;0.0
76;adapte;0.0;0.0;0.0;0.016158672155628058;0.0;0.0;0.0;0.0;0.008591469946307143;0.0;0.012699695438230865;0.0035226626578129436;0.0;0.0010903763941002339;0.004182866355186989;0.0;0.002640131155089634
