,avg_mark,brand,price,product_id,product_name,product_type,retailer_id,,,
39,4.4,LOrealParis,17.35,B013PGG6IU,L'Oréal Professionnel Mythic Oil Huile Nutritive 100 ml,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Huiles pour cheveux",amazon_fr,,,
40,4.6,LOrealParis,24.44,B00L5715WE,L'Oréal Paris ABSOLUT REPAIR MASQUE 500ML LIPIDIUM VD92.,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Soins et masques",amazon_fr,,,
41,4.1,LOrealParis,17,B07CPLY35V,L'Oréal Men Expert BarberClub Trousse 3 Produits,"Beauté et Parfum, Soins pour la Peau, Coffrets cadeaux",amazon_fr,,,
42,4.4,LOrealParis,19.7,B000UUQAY0,L'Oréal Professionnel Silver &Eacute,clat Shampooing Protecteur Système 500 ml,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Shampooings",amazon_fr,,
43,3.8,LOrealParis,23.8,B003U402AG,L'Oréal Paris Progress Homme Gel de Repigmentation Naturelle Coloration Cheveux Blancs,"Beauté et Parfum, Coiffure et soins des cheveux, Colorations, Coloration permanente",amazon_fr,,,
44,4.4,LOrealParis,17.35,B013PGG6IU,L'Oréal Professionnel Mythic Oil Huile Nutritive 100 ml,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Huiles pour cheveux",amazon_fr,,,
45,4.6,LOrealParis,24.44,B00L5715WE,L'Oréal Paris ABSOLUT REPAIR MASQUE 500ML LIPIDIUM VD92.,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Soins et masques",amazon_fr,,,
46,4.1,LOrealParis,17,B07CPLY35V,L'Oréal Men Expert BarberClub Trousse 3 Produits,"Beauté et Parfum, Soins pour la Peau, Coffrets cadeaux",amazon_fr,,,
47,5,LOrealParis,28.9,B00PXRWFO4,"L'Oréal Professionnel Homme Clay, pâte pour forte Fixation Lot de 3&nbsp;(3&nbsp;x 50ml)","Beauté et Parfum, Coiffure et soins des cheveux, Produits coiffants, Crèmes, argiles et cires",amazon_fr,,,
48,4.4,LOrealParis,19.7,B000UUQAY0,L'Oréal Professionnel Silver &Eacute,clat Shampooing Protecteur Système 500 ml,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Shampooings",amazon_fr,,
49,3.8,LOrealParis,23.8,B003U402AG,L'Oréal Paris Progress Homme Gel de Repigmentation Naturelle Coloration Cheveux Blancs,"Beauté et Parfum, Coiffure et soins des cheveux, Colorations, Coloration permanente",amazon_fr,,,
50,4.4,LOrealParis,17.35,B013PGG6IU,L'Oréal Professionnel Mythic Oil Huile Nutritive 100 ml,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Huiles pour cheveux",amazon_fr,,,
51,4.6,LOrealParis,24.44,B00L5715WE,L'Oréal Paris ABSOLUT REPAIR MASQUE 500ML LIPIDIUM VD92.,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Soins et masques",amazon_fr,,,
52,5,LOrealParis,28.9,B00PXRWFO4,"L'Oréal Professionnel Homme Clay, pâte pour forte Fixation Lot de 3&nbsp;(3&nbsp;x 50ml)","Beauté et Parfum, Coiffure et soins des cheveux, Produits coiffants, Crèmes, argiles et cires",amazon_fr,,,
53,4.1,LOrealParis,5.7,B00N1ROXAC,"L'Oréal Paris Pure Liss Après-shampoing Cheveux frisés, Indomptables 250 ml","Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Après-shampooings",amazon_fr,,,
54,4.4,LOrealParis,19.7,B000UUQAY0,L'Oréal Professionnel Silver &Eacute,clat Shampooing Protecteur Système 500 ml,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Shampooings",amazon_fr,,
55,3.8,LOrealParis,23.8,B003U402AG,L'Oréal Paris Progress Homme Gel de Repigmentation Naturelle Coloration Cheveux Blancs,"Beauté et Parfum, Coiffure et soins des cheveux, Colorations, Coloration permanente",amazon_fr,,,
56,4.4,LOrealParis,17.35,B013PGG6IU,L'Oréal Professionnel Mythic Oil Huile Nutritive 100 ml,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Huiles pour cheveux",amazon_fr,,,
57,4.6,LOrealParis,24.44,B00L5715WE,L'Oréal Paris ABSOLUT REPAIR MASQUE 500ML LIPIDIUM VD92.,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Soins et masques",amazon_fr,,,
58,3.7,LOrealParis,13.9,B07HQYCP9Y,L'Oréal Paris Unbelievabrow Gel à Sourcils Longue Tenue 104 Châtain,"Beauté et Parfum, Maquillage, Yeux, Crayons et maquillage pour sourcils",amazon_fr,,,
59,5,LOrealParis,28.9,B00PXRWFO4,"L'Oréal Professionnel Homme Clay, pâte pour forte Fixation Lot de 3&nbsp;(3&nbsp;x 50ml)","Beauté et Parfum, Coiffure et soins des cheveux, Produits coiffants, Crèmes, argiles et cires",amazon_fr,,,
60,4.1,LOrealParis,5.7,B00N1ROXAC,"L'Oréal Paris Pure Liss Après-shampoing Cheveux frisés, Indomptables 250 ml","Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Après-shampooings",amazon_fr,,,
61,4.4,LOrealParis,19.7,B000UUQAY0,L'Oréal Professionnel Silver &Eacute,clat Shampooing Protecteur Système 500 ml,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Shampooings",amazon_fr,,
62,3.8,LOrealParis,23.8,B003U402AG,L'Oréal Paris Progress Homme Gel de Repigmentation Naturelle Coloration Cheveux Blancs,"Beauté et Parfum, Coiffure et soins des cheveux, Colorations, Coloration permanente",amazon_fr,,,
63,4.4,LOrealParis,17.35,B013PGG6IU,L'Oréal Professionnel Mythic Oil Huile Nutritive 100 ml,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Huiles pour cheveux",amazon_fr,,,
64,4.6,LOrealParis,24.44,B00L5715WE,L'Oréal Paris ABSOLUT REPAIR MASQUE 500ML LIPIDIUM VD92.,"Beauté et Parfum, Coiffure et soins des cheveux, Shampooings et soins, Soins et masques",amazon_fr,,,
65,3.7,LOrealParis,13.9,B07HQYCP9Y,L'Oréal Paris Unbelievabrow Gel à Sourcils Longue Tenue 104 Châtain,"Beauté et Parfum, Maquillage, Yeux, Crayons et maquillage pour sourcils",amazon_fr,,,
66,5,LOrealParis,28.9,B00PXRWFO4,"L'Oréal Professionnel Homme Clay, pâte pour forte Fixation Lot de 3&nbsp;(3&nbsp;x 50ml)","Beauté et Parfum, Coiffure et soins des cheveux, Produits coiffants, Crèmes, argiles et cires",amazon_fr,,,
