;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
25;absorbée;0.0;0.0;0.0;0.025165726048321423;0.0;0.0;0.0;0.0;0.0;0.0;0.005046399889227471;0.0;0.0032558171845724795;0.0;0.0029479820572053455;0.0;0.0;0.005485943536839511;0.0;0.001168503109258584;0.0;0.006397614572389015;0.0;0.0
26;absorption;0.0;0.0;0.0;0.005561268247714698;0.0;0.0;0.00698654793596351;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011281004639414956;0.0;0.0
27;abstenir;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003251073495230109;0.0;0.0;0.0;0.0001501792957499694;0.0;6.79531421117589e-05;0.00021535619932333886;0.0;0.0;6.906671635083722e-05;0.0;0.0;8.084849129643753e-05;0.002446503967448124
28;abusé;0.0;0.004265804629045673;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.090876852593585e-05;0.0;0.0;0.0;0.0;0.0;0.0014980581434204047;0.0;0.0;0.000617105592478737;0.0;0.0;0.0
29;abîme;0.0018870225990637057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0004658120159953442;0.0;0.0009499838117663252;0.013642184213303736;0.0;0.0;0.0;0.0023157157128834735;0.0005563341735173197;0.00033790463759765955;0.0;0.0;0.0;0.0;1.1525556946988654e-05;0.0003811184955312655
30;abîmer;0.02546244541943575;0.037425366967116;0.0;0.0;0.0010077701568640633;0.01063236786831626;0.000395032204044766;0.028696679934388163;0.0;0.008289779892391522;0.021472506554584485;0.0;0.0;0.06269686701606286;0.002086570938979386;0.02858840562238812;0.12488144245630048;0.0;0.05717445064234302;0.004678359093695433;0.0;0.012461869470340968;0.026872603047999856;0.0
31;abîmes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005764353413490881;0.0015209129817604005;0.0;9.124174601066957e-05;0.0;0.0;0.0;0.0001270645240514107;0.0018624201546837936;0.0024812820495986082;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;abîmé;0.0022628166538628787;0.0;0.001124931953813865;0.0;0.0;0.0;0.0010282039858834993;0.0;0.0;0.0;0.0;0.0014464644341334722;0.0;0.0027191923021120694;0.0;0.0011083852120621568;0.04572868406174823;0.0201638544632592;0.00022268560791601698;0.0024096274802855766;0.00031228106143734515;0.02456942466891361;0.0;0.0
33;acaht;0.0;0.0;0.0;0.0005664001709063147;0.0;0.005649833869238523;4.656858320280095e-05;0.0;3.409339690978515e-05;0.0;0.0;0.0;9.646347704816994e-05;0.0;0.00019674369049409716;0.0;6.399134702781612e-05;9.780368461232336e-05;0.0;0.0;0.0;4.674132230789077e-05;0.0;0.0005467421304701332
34;accentuer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008498179455560476;0.0;0.0;0.0;0.0;0.0;0.0;0.0004573343321226878;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00022638670374950336
35;acceptable;0.0;0.0057225275415729625;0.0;0.0;0.0;0.0;0.008589445454696601;0.0;0.0;0.0;0.0;0.00013933753919421105;0.0;0.0;0.0;0.0;0.0;0.0;0.00047302452939715687;0.0;0.0;0.0001774279197858887;0.0;0.0001576574531027413
36;accessible;0.0;0.013583276737324512;0.0;0.0;0.0;0.0;0.011453841713383872;0.0004817922197511417;0.006345365721424675;0.0;0.0;0.005657644032210163;0.0;0.0;0.0;0.029584085485519062;0.0;0.0;0.0;0.0;0.0;0.0022549627017019666;0.0;0.0
37;accessoire;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010676675702755711;0.0;0.0;0.0;0.0;0.001641150564843029;0.0;0.0;0.0
38;accompagne;0.0;0.0;0.0;0.0010319735750990327;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4247257989495496e-05;0.0008182707462388368;0.0;0.0;3.9131566351858954e-05;0.00021268543330388176;0.0;0.0;0.0004300927872782113;0.004017381872839901
39;accompagner;0.0004573806004552666;0.0;0.00036662318374735994;0.0;0.00568125258557897;0.010758345403191066;0.0;0.009204766499657306;0.0071454701490488975;0.0;0.0;0.009677010821456795;0.0;0.0033272510289252106;0.0;0.004969861161068255;0.0;0.0;0.0;0.0040474060132462035;0.0;0.0;0.0;0.0
40;accord;0.0;0.0;0.0014064375328499464;0.0005156359293207273;0.0;0.0;0.0;0.0;0.0;0.0;0.0012070710329717639;0.0;0.0010526331420998884;0.0;0.0;0.001265991917892077;0.0;0.01236856582523449;0.0;0.0;0.0;0.0;0.0005449006932532245;0.00566737574703704
41;accorde;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2948124013507271e-05;0.0;0.0;6.444950033685756e-05;0.0;0.0;5.6119573841077706e-05;2.8250110286707378e-05;9.19526952992126e-05;1.3804472085496559e-06;0.0;3.408197030893547e-05;2.574096583485331e-05;1.0566980584265195e-05;0.0;0.0;4.3691462433380466e-05
42;accorder;0.0;0.0;0.0;1.7673050847883235e-05;0.00024204512705641113;2.1052681803449498e-05;0.0;0.0;8.867226264771577e-05;0.0;0.0001290154307730939;0.0;0.0;0.0;0.000838728120665708;0.0006591658051217233;0.0;0.0;0.0;0.0;0.0;0.0;2.948337386968524e-05;3.824322425106961e-05
43;accouchement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007471152937189296;0.0;0.0;0.0;0.0;0.00018877660411528483;0.0013041342446830188;0.0;3.1827391590895105e-05;0.0006764484364156197;0.0;0.0012656784215843556;0.0;0.0;9.158762031858547e-05
