;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
10;N'en reste pas moins une crème super agréable;0.0;0.00012601344870732383;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00016613054548030048;0.0;0.0;0.0;0.00111832189178991;0.0035664890620479314;0.0006351943911507004;0.0;0.0
11;Malheureusement présence de perturbateurs PROPYLENE GLYCOL, PHENOXYETHANOL et allergènes LINALOOL, LIMONENE mais en fin d'ingrédients donc en quantité faible.;0.00024419744836474895;0.0008074478620915842;0.0018332636166626154;0.0;0.0;0.0;0.0;0.0003554328822726642;0.00017126991529796252;0.001354750563706633;0.0;0.0;0.0;0.0;0.00024318680013888746;0.010060295937877632;0.0010282992637662303;0.00036575771872742277;0.00496782788761959
12;remplit sa fonction;0.0001582774787303733;7.602658529246543e-05;3.489471801100739e-05;0.0010702951795377386;0.00025248779462130997;0.0;0.0;0.0009092814352946837;0.00047835876655064015;0.0004201376905630374;0.0012820437377392678;0.0;0.0002854741224239119;0.0;0.0;0.0021463313597553917;0.0;0.0;0.0007634321013647859
13;Très bien pour le connaître depuis longtemps;0.0009059137930460048;0.0;0.0;0.0;0.001943104346553581;0.0011671650123474123;0.0;0.0;0.0024318940104671102;0.0;0.0;0.0;0.003146025116639222;0.0019512404019695752;0.0;0.021275803356298195;0.0;0.0;0.0018368018251460568
14;Je suis toujours fidèle à ce produit pour essayer de lutter contre le dessèchement capillaire lié à l'âge et aux balayages.;0.0003395023315376858;0.00026883044992040493;0.0;0.0007761602064048536;0.000687538535980272;0.0005408674860578309;0.00044506313839409647;0.00016634486658061775;0.00011541444096959876;0.00019559409081015022;0.0016165737647623438;0.0;0.00014672119801731933;0.006750639152232104;0.0;0.00920593899487235;0.0032359586290713217;0.005637619042298734;0.0
15;...comme les miens c'est le produit idéal qui évite le jaunissement des cheveux et en grande dose tel qu'il est présenté, c'est une utilisation de plusieurs mois;0.00021085520985921933;0.0003679995471339503;0.0;0.0004647160412839283;0.00011569665513043582;0.0001806776481994079;0.0007946199729587816;0.0045653344548599786;0.001478515918435596;0.0026652886756928815;0.00335406412537415;0.0;0.001157328557151119;0.0;0.05255865129258781;0.02874933249027749;0.0010524448892768779;0.0;0.0184991986759759
16;De toute façon tout ce que fait L'OREAL est au top: ELSEVE pour les cheveux, MEN EXPERT, NARTA déodorant;0.0005537174067777375;0.0;0.00023807792304613663;0.0003025539334867108;0.0;0.0006310396968121792;0.0011128813784861832;0.0012088409884274448;0.0012572653165500304;0.0009031951940072874;0.0;0.002748873125008632;0.0;0.003524321119169377;0.0;0.0024172206632036104;0.0;0.0019236690234251679;0.0
17;Je me sers de tout cela depuis des années et avec une entière satisfaction;0.0;0.0;0.00021879601019787493;0.0;0.0;0.003631887346429248;0.0;0.0;0.01006058023789225;0.0007790768465350981;0.0012083220252008464;0.0;0.0;0.0;0.0;0.016441687125121618;0.0;0.0;0.0
18;Philippe;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0720335017977283e-108
19;Ravie de retrouver mon mascara préféré sur ce site et à un.prix vraiment abordable..;0.0007536778986950963;0.053803484809498;0.0008045006841786636;0.0;0.001361859445329429;0.0010551500915049635;0.0010552860137606956;0.0;0.0;0.0025972146571749746;0.0027100639637826275;0.0019428126866020792;0.0;0.0033380599419257644;0.00020955496338550056;0.008870396883358455;0.0;0.01207290662985123;0.0
