;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
10;abondance;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.511670534488687e-05;0.0;0.0;0.0031325271270809707;0.0;0.00018628835852815622;0.0
11;abondant;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000726911959434597;0.0;0.009443983744395546;0.0060391380618679755
12;abonnement;0.0;0.0;0.004520666549271806;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0219766730144595;0.0;0.0;0.008601855583139816;0.0;0.0;0.001789197464945579;0.0
13;abonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.806250326997584e-06;0.00012912543278327076;0.0;0.0;0.0;0.0;0.0017237598809704202;0.0;0.0;0.0
14;abonné;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0006383990861752558;0.0;0.0022060322511367443;0.00010206878259917913
15;abordable;0.00035384765552405075;0.1196650180670508;0.01407174405522097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004242967598275017;0.0;0.0;0.00573041448836548;0.0031717259892419672;0.0;0.017749006512559593;0.0
16;abricot;0.0;0.0;0.00077224438705496;0.0024729840920231848;0.0;0.0;0.0015814813205390747;0.0;0.0;0.0;0.019009578670264045;0.0;0.0;0.0004774872604960166;0.0;0.0008110087578325435;0.0;0.0;0.0
17;abricotée;0.0;0.0;0.0003273668408436484;0.001042223619663751;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0011764663692838174;0.0;0.0;0.001372007253394382;0.0;0.00023915868745399236;0.0
18;absence;0.0;0.0;0.0;0.0;0.005372965181328236;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010988121348235248;0.0059586935900696695
19;absolut;0.0;0.0;0.0007027068799817822;0.0;0.0014482273531764471;0.0;0.0;0.0016866754479747895;0.012858542049414487;0.0;0.0;0.0;0.0030536866986011174;0.027984329574490357;0.00031594313845402863;0.0057321809170646975;0.01287108626942931;0.00041332231215015266;0.0
20;absorbant;0.0;0.0;0.0;0.002080600088779426;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.7493852815248114e-05;0.0;0.0;0.003533854691336561;0.0003637906729733592;0.0;0.0;0.0
21;absorbantes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8424171215365194e-109
22;absorbe;0.0;0.0;0.0;0.004978777701468898;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005503339983674771;0.0;0.00015314604018294297;0.0021961107395617797;0.0
23;absorber;0.0;0.0;0.0;0.0008357967317445544;0.0;0.0;0.0;0.0;0.00016879997502703843;0.0;0.0;0.0;0.0;0.0;0.0;0.0012871391385636296;0.0;0.0017643650858560013;0.0
24;absorbé;0.0;0.0;0.0;7.769380282727005e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003366575795508541;0.000887262212732797;0.0;4.984972407060146e-05;0.0017754807440512476
25;absorbée;0.0;0.0;0.0;0.025531438968583092;0.0;0.0;0.0;0.0;0.0;0.0;0.00467827874971517;0.0;0.003248990403852371;0.0001387874971894517;0.002856173698895782;0.0002214097426337001;0.0;0.004842813473891166;0.0
26;absorption;0.0;0.0;0.0;0.007709239717365663;0.0;0.0;0.007003361921987269;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;abstenir;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00019139885187105692;0.0;0.0;0.0;0.0;0.0;0.0018841541509297154;0.0;0.0;0.0
