;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
38;accompagne;0.0;0.0;0.0;0.000997990384260953;0.0;0.0;0.0;0.0;0.0;0.0;9.406232730391396e-05;0.0;0.0;0.0;4.755512654317661e-05;0.006746948037389587;0.0;0.0;2.7852219691691807e-05;0.00016490805815442045;0.0;0.0;0.001457692041958554;0.0;0.0;0.0006409415464106726
39;accompagner;0.0004413787892057108;0.0;0.00029594545404250746;0.0;0.0020222293322341676;0.010956808564129072;0.0;0.009147777835099727;0.007105075432222071;0.0;0.0;0.009943848490549379;0.0;0.003499351417698735;0.0;0.010660286892442347;0.0;0.0;0.0;0.004133807408261319;0.0;0.0;0.0;0.006474221181795599;0.0;0.0
40;accord;0.0;0.0;0.0013467845239144175;0.00040184587125960164;0.0;0.0;0.0;0.0;0.0;0.0;0.0017387206913084847;0.0;0.0009590369347801453;0.0;0.0;0.011282985750930802;0.0;0.014963508246563456;0.0;0.0;0.0;0.0;0.0020071842922707896;0.0;0.0;0.0008011399166766619
41;accorde;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3444863823503273e-05;0.0;0.0;6.654663737906468e-05;0.0;0.0;6.246532256262325e-05;2.973623991313747e-05;5.79412835578602e-06;2.9999567051117415e-06;0.0;4.217353602637314e-05;2.8413350313103335e-05;1.4836778184355174e-05;0.0;4.607743573999555e-05;2.310459551192125e-05;4.875881071697983e-05;0.0
42;accorder;0.0;0.0;0.0;2.775077829263228e-05;0.00040284309989371337;0.0;0.0;0.0;5.1138992700821336e-05;0.0;9.440236178321058e-05;0.0;0.0;0.0;0.0008401233578994794;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.359326970426139e-05;0.0;0.0007271486646945905;0.0
43;accouchement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007588981336845328;0.0;0.0;0.0;0.0;0.00017782384773016425;0.0020445951673776237;0.0;8.596082663321443e-05;0.0008397533111975443;0.0;0.0012970298812860243;0.0;6.62300830436232e-05;0.0;4.429911769580539e-05;0.0
44;accoucher;0.0;0.0005635427067085314;0.0;9.064284049563047e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0001316254367128958;0.0;0.0;0.0;4.851507536448479e-05;0.001493224998915856;0.0;0.0;0.00019563608832072515;0.00030825307521782993;8.382365476710716e-05;0.0;0.0001069431821655951;0.0;0.00012429548540015265;0.00010299287435036268
45;accro;0.0;0.0;0.0;0.002555053793330997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001235741911902226;0.0014293080371231789;0.0;0.0;0.0;0.0;0.0;0.002116496411939152;0.0;0.0009742625868984971;0.00013213551956047957
46;accroche;0.0;0.0;0.0;0.004155331294011188;0.0;0.0;0.0;0.0;0.0;0.00016870468975805462;0.0022135146673351327;0.0;0.0;0.0;0.0026533844893643996;0.0005320755497960364;0.0;0.0005248779576328488;0.0015499500473114421;0.00038986158466998243;0.002198440839375903;0.0;0.002937370568576052;0.0;0.0;3.89585464069062e-05
47;accrochent;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002754330431576573;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000223995309059174;0.0;0.0030880647840751266;0.0
48;accueil;0.0;0.00018693174552068183;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003235036227217059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.256578923800037e-05;0.00022151129744780106;0.0;0.0;0.0;0.0014061318226658037;0.0
49;accès;0.0;0.0;0.0;0.0;0.0;0.006018385138004521;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0052361741248998;0.0;0.0;0.0011637351825104243;0.0;0.0;0.0;0.0;0.0;0.0;8.673382757075968e-05;0.0
50;accélérer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001097764585930681;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007097543916212203;0.0021195941941795915;0.0;0.0;0.0;0.000504196668761441;0.0
51;ach;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015147028511844062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001001047421892348;0.0;0.0;0.0;0.0;0.0;0.0;0.0
52;achat;0.0;0.045135423263607;0.0;0.00321438461628006;0.0986130833044593;0.18633143047048317;0.012751790074916256;0.00907156553476662;0.0;0.005293589221687115;0.007904240836580635;0.018466258822288164;0.0;0.0;0.0;0.0;0.005000289106838233;0.0;0.0;0.00984700457474384;0.020932697298187978;0.007145379917281864;0.016907244650197075;0.0;0.042182969102051944;0.30719330124107236
53;achats;0.0;0.0;0.001525347728404191;0.002793422159926793;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007714191145599962;0.0
54;ache;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011625007922568312;0.0;0.00026387043696819804;9.373154102646344e-06;0.0;0.0;4.711677819614555e-07;0.0;0.0;0.0;0.0;0.00040213333690256167;0.0;0.0;0.0;1.2569208176257346e-05;0.001432166951914665;7.996862625192479e-05
55;acheminement;0.001078217380152423;0.003644976852904292;0.0;0.0;0.0;0.0;0.002256088859357574;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0013890273314678368;0.0;0.0;6.356774097299344e-05;0.0;0.0;0.0;0.0;0.0
56;achetais;0.0;0.0031403108959170696;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012233291309480305;0.005958276872545037;0.0;0.0043611409402252;0.0;0.029500971174351104;0.0
57;achete;0.0;0.0;0.0;0.0;0.008314958444350885;0.0;0.0;0.0;0.0019882987020557468;0.0;0.0029595974625330063;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014981170039348724;0.0006028337208971029;0.0;0.0031389785266390533;0.019725678557119493;0.0;0.0
