;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
14;Je suis toujours fidèle à ce produit pour essayer de lutter contre le dessèchement capillaire lié à l'âge et aux balayages.;0.0003195871972084015;0.00016416791537164795;9.266639119538353e-06;0.0010879720467630496;0.0010991419213632538;0.00044946187901621925;8.117768086653087e-05;0.0001272116730623458;0.0;0.0001981874836409255;0.0014623837012143251;0.0;0.0;0.004357420706828435;0.0;0.0;0.0018916038592951979;0.0023480820249446523;0.0003711702839393249;0.0005547476411551144;0.0;0.0015118765617603213;0.0;0.0;0.02964755349664984;0.0
15;...comme les miens c'est le produit idéal qui évite le jaunissement des cheveux et en grande dose tel qu'il est présenté, c'est une utilisation de plusieurs mois;0.00011539256557074381;0.0;0.0;0.00048571296939773116;0.0;0.0;0.0005358639534555041;0.004531647345790081;0.001096567616556893;0.002205938676712003;0.0033845328154743755;0.0;0.0008890297568129843;0.0;0.044401324365342325;0.011632416265266825;0.0006203772996708019;0.0;0.009294626329850092;0.011438377888776025;0.009547592752400899;0.0024628003470838905;0.0;0.0;0.0433206804601855;0.0
16;De toute façon tout ce que fait L'OREAL est au top: ELSEVE pour les cheveux, MEN EXPERT, NARTA déodorant;0.00054684184549175;0.0;0.0002817527529667637;0.000429006876187654;0.0;0.000611426333945891;0.0010391200337470732;0.0012279678177483289;0.0011030737005679654;0.0009059501216294986;0.0;0.002659802539843762;0.0;0.002655210545089424;0.0;0.0;0.0;0.0014773482047375462;0.0011397126571020323;0.0014190708792309057;7.653349667819621e-06;0.0;0.0;0.0;0.004043674591340776;0.0
17;Je me sers de tout cela depuis des années et avec une entière satisfaction;9.162330920289099e-05;0.0;0.000373418523851981;5.862915216635987e-05;0.0;0.003118317585053772;0.0;0.0;0.009880211972818428;0.0009785977857522856;0.0017571505692799267;0.0;0.0003435280832792466;0.0;0.0;0.0006663379485275525;0.0;0.0;0.0;0.02515000102494947;0.0004189533475142524;0.0;0.0004028168928065062;0.00023056724193422332;4.873834238152331e-05;0.0007484441414767325
18;Philippe;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6126722323019236e-88
19;Ravie de retrouver mon mascara préféré sur ce site et à un.prix vraiment abordable..;0.0007183499576853557;0.05100280699350052;0.0009038546067007533;0.00036099390825474625;0.0029612166812895647;0.0008773341025918493;0.0010763629291885657;0.0;0.0;0.0024289270656821095;0.00242916230597674;0.0016121559705802463;0.0;0.0023765048029112945;0.0009313957260097373;0.0;0.0;0.007840221096609425;0.0;0.012623337102553298;0.0;0.0003798052495621596;0.0;0.0;0.01989657188898968;0.0011197897498869474
20;"prix compétitif,...facile d’application... plus d'un moi de traitement....je l""ai testé et dès qu'il est fini je repasse  une commande.";0.00021703967755578303;0.03810792892194031;0.0006066071041243331;0.0;0.0023783632765626873;0.0002760954085150561;2.9678701874289336e-05;0.0;0.0;0.0;0.0;0.0012685164357686884;4.584097065303971e-05;0.002466592179379905;0.10912206599205;0.0;0.0;0.00982829561100737;0.002995108104236428;0.0;0.0;0.001181469675425833;0.0;0.0;0.010802034622324949;0.00019498211510890826
21;Merci;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;Shampooing en format salon, dommage que la pompe ne soit pas livrée avec, j'ai du transvaser dans un contenant plus petit. Il laisse une odeur agréable sans être trop forte ou persistante, mousse bien et se rince facilement. J'utilise moins de quantité qu'avec un shampooing de grande surface donc c'est un très bon rapport qualité prix au final.;0.0;0.04399467963850676;0.05385827673147689;0.0;0.001243197884910325;0.0;0.00046957871504028643;0.001350269903445389;0.060788474086374306;0.0;0.0;0.0;0.003834632182922862;0.0;0.0;0.058716522608074924;0.0032218290174486474;0.0;0.0;0.0;0.04622371363936427;0.0;0.0;0.0;0.035536975123874666;0.0
23;Bonjour,;0.0006107449399440285;0.0;0.0;0.00010726100608775826;0.0;0.0;0.0;0.0;0.0005739824911539349;0.0;0.0032602599019707005;0.0;0.0;0.0;0.0;0.0;0.0;0.0029336776447158918;0.0007183388544086046;0.009931275729560077;0.0;0.0;0.0;0.0;0.0;0.002303039526189403
