;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
36;accessible;0.0;0.0;0.011698407599924365;0.0;0.0;0.0011089552656997161;0.0;0.0;0.014106237913626259;0.00031340559591861057;0.011332026982120016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005992225004850838;0.0;0.0048154098085339105
37;accessoire;0.0;0.0;0.00018441425371281946;0.0;0.0;0.0;0.0;0.0;0.0;0.00013638964241432668;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0023424229330218723
38;accompagne;0.0;0.0;0.0;4.1354996805932014e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0015645493694806483;0.0;0.0008798069788712251;0.0;0.0006529876362507671;0.00034532516467112564
39;accompagner;0.0002641322552907804;0.0;0.0;0.0015534343117496812;0.005373732100058217;0.012148547810385157;0.0;0.010298464978464938;0.0;0.0005294806346836174;0.010428597035133992;0.0;0.004744934675035538;0.0;0.0;0.0;0.0;0.0;0.008625063236195172;0.0;0.004015983585445732
40;accord;0.0;0.0;0.0;0.007308763669555696;6.351067826174612e-05;0.0;0.0;0.0;0.0;0.0022344187334558123;0.0;0.0;0.0;0.0;0.0;0.0009531477530901137;0.0001295487455357144;0.002530255515780667;0.0;0.0005129595764254185;0.0003295975144387194
41;accorde;0.0;0.0;0.0;0.0;0.0;1.7959851580374233e-05;0.0;0.0;0.0;0.0;0.0;2.8485085969228756e-06;1.0315670439093065e-05;0.0;0.0;0.0;6.394869661805991e-06;5.8529158007596666e-05;0.0;2.1247626119030946e-05;8.150987491230182e-05
42;accorder;0.0;0.0;0.0;0.0;0.0001827989847274071;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0013406871495675139;8.48875706485881e-05;0.0;0.0006370994180436502;0.0
43;accouchement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0010025275537007767;0.0;0.0009589494305103699;0.0;0.0;0.0002691094822691654;0.0009355255008893599
44;accoucher;0.0;0.0;0.0004414904019326672;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00016468566913004323;0.0;0.00018312377032268275;0.0;0.00011004310215693592;0.00048002678146067535
45;accro;0.0;0.0;0.0;0.0006140311860036348;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002748027934454022;0.0;0.00016878427176421907;0.0;0.0;0.0010604434598122815
46;accroche;0.0;0.0;0.0;0.0;0.0;0.0;0.007256153331170053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00014907156691512164;0.0037647172483026357;0.0;0.002417110908035394;0.0;0.002700346933876252;0.0005825194990723737
47;accrochent;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00019165675356658487;0.0;0.0;0.0;0.0;0.0;0.002406401600290831;0.000851367047739013
48;accueil;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.020776705733394008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
49;accès;0.0;0.0;0.0;0.0;0.0;0.0;1.2609148004775706e-05;0.005854621869781689;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004435936611513391;0.0
50;accélérer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0016909952379624926;0.0;0.0;0.0;0.0;1.1322220493719235e-05;0.000648249574342229
