;term;0;1;2;3;4;5;6;7
31;abîmes;0.0;0.0;0.0;0.0;0.0;0.003931271619186768;0.0;0.006598318254030564
32;abîmé;0.0038901508343941542;0.0037092610131284126;2.573623629986766e-05;0.010935698009818565;0.0;0.002336781646384792;0.0;0.007845972620611858
33;acaht;0.0;0.0;0.0;0.0;0.0;8.332725830725626e-06;0.0;0.0023637223049694546
34;accentuer;0.0;0.0;0.0;0.0;0.0;0.0;0.001831165658870237;0.005073499644886916
35;acceptable;0.0;0.0;0.0070409479680302945;0.0;0.0;0.0;0.0;0.0
36;accessible;0.0;0.0;0.015676409608254872;0.0;0.0;0.0008636479640278784;0.0;0.00182689286388324
37;accessoire;0.0;0.00018893757622453304;0.00030181314442642184;4.0307377537833514e-05;0.0;0.0;0.0;0.00046308312436560563
38;accompagne;0.0;0.0;0.0;0.00031996101221808305;0.0;0.000560505099237767;2.7897674469619885e-05;0.0003617037598609614
39;accompagner;0.00044443537806772277;0.0;0.0;0.002063602752561728;0.005829563310700244;0.007520565587352557;0.0;0.0072071871855410394
40;accord;0.0;0.0012883986852348832;0.0;0.00752454524056774;0.00011337832731472637;0.0;0.0;0.000168736073581573
41;accorde;0.0;0.0;7.7260957117621e-06;0.0;0.0;2.684132093496306e-05;5.883652438558277e-07;3.401889695114158e-05
42;accorder;0.0;0.0;0.0;0.0;0.0001777305063876964;0.0;0.0;0.001012249697534021
43;accouchement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001183753654519239
44;accoucher;0.0;0.0;0.0003416738130749716;3.8452525123555564e-05;0.0;7.401267816212636e-05;0.0;0.00014801082769568582
45;accro;0.0;0.0;0.0;0.0008901075111047456;0.0;0.0011693325015548646;0.0;0.00027693752751986286
46;accroche;0.0;0.0;0.0;0.00012237822207829136;0.0;0.0020309968626921185;0.00648527487436326;0.0007800876502876272
47;accrochent;0.0;0.00013950048795405406;4.253727710411206e-05;3.246986384891802e-05;0.0;8.952407379095927e-05;0.0;0.0004220846120847338
48;accueil;0.0;0.0;0.0003575386320298806;0.0;0.0;0.0001657318059681133;0.0;0.0012831246057053705
49;accès;0.0;0.0;0.0;0.0;1.0044769133674892e-05;0.0;0.0;0.002943332650409034
50;accélérer;0.0;5.958994575935564e-05;0.0;0.0;0.0;0.0;0.0;0.0004477865475227233
51;ach;0.0;0.00014832743823934937;9.167258322807621e-05;0.00026144736772073076;0.0;0.0;7.277968615354955e-05;0.0012453613764579828
52;achat;0.0;0.003723533895849573;0.03110137192938321;0.0049671977031355155;0.0711819655069817;0.01206824541205494;0.0;0.10493615588380621
53;achats;0.0;0.0011727479762383267;0.0;0.0;0.0;0.0010074429591652445;0.0;0.0
54;ache;0.0;0.0;1.556795060066748e-05;0.00016997551702267969;0.0;0.0;0.0;0.00048619384912166247
55;acheminement;0.0012409574838798296;0.0;0.003026108393273217;0.0;0.0;0.0;0.0;0.0
56;achetais;0.0007983739966171822;0.0;0.0038384785720556314;0.0066623757808329815;0.0;0.0;0.0;0.003360254311703369
57;achete;0.0;0.00022296506626159085;0.0;0.0;0.018037706377916695;0.0;0.0;0.00247043914423172
58;acheter;0.0;0.008240374480895945;0.021139687952411272;0.01059309499248313;0.010859343192259804;0.0202479779480831;0.01526321020491619;0.15746966757068231
59;acheteur;0.0;0.0;0.0016191646503190909;0.0001188293281046679;0.00028898388921571184;0.0;0.0;0.0010062460122368944
60;achetez;0.0;0.0;0.00011525839941809505;0.0002605508232067294;0.0;0.0;0.00010678077656832111;0.0007898861543488787
61;achette;0.0;0.00011666432398459773;0.0;0.00016750503958387183;0.0;0.0;0.0;0.0005319924364403098
62;achetée;0.0;6.75844700652315e-05;6.448909699467135e-05;1.8160143874334557e-05;8.660723757861342e-05;0.0;7.140321940795684e-05;0.001341662587738876
63;achète;0.003913840372454506;0.0;0.004573089172144899;0.003450597648925495;0.0;0.0;0.009193213590592476;0.03267947105782689
64;achèterai;0.0;0.0010697354796398726;0.0023067338247752265;0.0;4.384468774799478e-05;7.831847898101582e-05;0.0;0.0007117567363690501
65;achété;0.0;0.0;0.0033221768211487567;0.0;0.003060445128350261;0.0;0.0;0.0030064265598789917
66;acidité;0.0;0.0;0.0;6.508262253023684e-05;0.0;0.0014493143884866714;0.0;0.0002306046434780754
67;acné;0.0;0.0008304222365327254;0.0;0.0;0.0;0.006435058196575122;0.0;0.002518201583834987
68;acnéique;0.0;0.0;0.0005507973598425215;6.914687188269203e-05;0.0;0.0018514193705808782;0.0;0.0007622881236848966
69;acnés;0.0;0.0;3.6869514625774083e-06;3.772464557567762e-05;0.0;0.0001257083994746673;0.0;0.00017378788272078268
70;acquiert;0.0;0.00011461454750484385;0.0013721218615194435;0.0;0.0;0.00022833007863123464;0.0;0.0006709100568095161
71;acquis;0.0010171074116199427;0.0;0.002540781542030937;0.0;0.0;0.0;0.0;0.0
72;acquérir;0.0;0.0;0.00011390363911070645;4.672733902382364e-05;9.806315832042269e-05;0.0;0.0;0.00027963277004646776
73;actualise;0.0;0.0;0.0;0.0;0.0;2.8226688840608456e-05;0.0;0.0012377180267079285
74;actuel;0.0;0.0;0.0;0.0;0.0;0.00010077262892848121;0.0;0.0019746446196917907
75;actuellement;0.0;0.0;0.0018585367187802617;6.154525969669561e-06;0.0;0.00036841955255582145;0.0;0.0015850664610038406
76;adapte;0.0;0.0;0.0;0.006821306270837532;0.0;0.006399655946338425;0.0020231888380088433;0.00806674942223574
77;adaptent;0.0;0.0;0.00015973554521820063;0.0;0.0;0.006507193053873893;0.0;0.0
78;adapter;0.0;0.010411039301004999;0.00666797902984769;0.0077129382664029075;0.0;0.01076162746603716;0.0;0.01888085601833674
79;adapté;0.0;0.0;0.0;0.0041438673878211605;0.0;0.0013455008235489676;0.0;0.003135172751654742
80;adepte;0.007339478507594254;0.0;0.0;0.007654925173019609;0.0;0.0021638436191542374;0.0;0.0061566995902502105
