;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
17;Je me sers de tout cela depuis des années et avec une entière satisfaction;5.138217896117163e-05;0.0;0.0002066957749164801;0.0;0.0;0.0038929213520420987;0.0;0.0;0.010638347079117736;0.0008192886242585441;0.0015924541660201422;0.0;0.0;0.0;0.0;0.013643245757406577;0.0;0.0
18;Philippe;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.407322566666358e-128
19;Ravie de retrouver mon mascara préféré sur ce site et à un.prix vraiment abordable..;0.0008093633806317675;0.05406737103199425;0.0008013973480019636;0.00018178749742197298;0.0014157132208225736;0.001188729040123319;0.0010694846542341114;0.0;0.0;0.002739412278115485;0.003131188799263728;0.002018310706678753;0.0;0.004033891855446943;0.0005686156472879745;0.005809130147578607;0.0;0.010936428061561412
20;"prix compétitif,...facile d’application... plus d'un moi de traitement....je l""ai testé et dès qu'il est fini je repasse  une commande.";0.00021197074475709176;0.04021429317043505;0.00036935261453727056;0.0;0.0009509987070699828;0.00023197023784465368;0.0;0.0;0.0;0.0;0.0;0.0015533193473371892;0.0;0.0030522862512507233;0.11753712462156178;0.003559239229186297;0.0;0.011694686223395532
21;Merci;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;Shampooing en format salon, dommage que la pompe ne soit pas livrée avec, j'ai du transvaser dans un contenant plus petit. Il laisse une odeur agréable sans être trop forte ou persistante, mousse bien et se rince facilement. J'utilise moins de quantité qu'avec un shampooing de grande surface donc c'est un très bon rapport qualité prix au final.;0.0;0.05058797632016081;0.054961521380327054;0.0;0.00010606890204544649;0.0;0.0007237414106609501;0.0011845029087802592;0.05947424818120051;0.0;0.0;0.0;0.0038447959792137776;0.0;0.0019425181991128972;0.05025685186701587;0.0025287175704923988;0.0
23;Bonjour,;0.0006455551441515446;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0011348023420880034;0.0;0.004115099901883067;0.0;0.0;0.00015654269885651638;0.0;0.0036605235312711358;0.0;0.003766026535883234
24;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;"assez déçue. Ce n'était pas une plume fine comme je l’espérais mais un feutre. Donc moins précis .. par ailleurs, le noir est trop ""noyé"", feutré, dilué.... pas épais et de ce beau trait ""black"" qu'on aime lorsqu'on surligne et prolonge nos regards.";5.941863997041168e-05;0.0;0.00017933613621798713;0.0;0.0;7.890195739819055e-06;0.0002740788579431374;0.0;0.0;0.0004680286116196044;0.005467765649947981;0.0006728284382250771;0.0026762226460832652;0.0;0.006126936407116655;0.014270633171076564;0.0007190021280253798;0.0012271208185748441
26;Mais, je pense que d'autres utilisatrices sauront l’apprécier.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003440380639106876;0.0013574336706026191;0.0006473355449028498;0.0;0.00020645635679457855
27;Bon produit, redonne douceur aux cheveux mais je le déconseille pour ceux qui ont les cheveux gras, il graisse pas mal le cuir chevelu.;0.00045012149355069895;0.0;0.0018330084065802232;0.010975490247924696;0.0;0.0;0.0;0.0;0.00022969163102583455;0.0015207414774197623;0.0;9.849691586726386e-05;0.002991264012952992;0.001954119763080917;0.0021806889630660276;0.023686664638724722;0.0024965176147597103;0.0
28;super contente;0.0009606979896731198;0.0;0.005768366413214658;0.0;0.0;0.0;0.0;0.005028737827948346;0.007960079533488462;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10603877384794794
29;Je connaissait déjà le produit qui est très bien. Je l'ai recommandé par erreur et renvoyé, j'ai été rapidement remboursé;0.05868766393398364;0.0;0.0;0.0011988749539105113;0.0012641112216355808;0.0014067251299738233;0.0;0.0;0.009262383811345807;0.0;0.0005854162568097475;0.0;0.0021591729001284744;0.0;0.0;0.01094186142021904;0.002284455527801235;0.035697285847490316
30;Excellent produit de qualité professionnelle. Très satisfaite de cet achat. Vraiment efficace et adapté à mes bedoins. Parfait. A conseiller.;3.362634000896854e-05;0.0006672787949711604;0.0;0.001639808546959457;0.001988800433414881;0.09331811276223666;0.08377642568403537;0.0006561486018687483;0.0017014440657784325;0.11648251487097053;0.0;0.0007564072264475713;0.0008163789518688857;0.0042526154419434544;0.0;0.0;0.001477904191215812;0.003688358100622576
31;Produit avec une bonne senteur qui hydrate et illumine la chevelure instantanément et reste léger et non gras. Je le recommande hautement.;0.052192112910780394;9.858547969066644e-05;0.005049990225514656;0.020157665645578443;0.0;0.0015167363375777623;0.0005079454679604607;0.0010206658493811076;0.0;0.0;0.0;0.0;0.0022365380455451026;0.0;0.0036213069736572723;0.02203321298258538;0.003986872792285394;0.0
32;Effet anti âge et revitalisant sur une peau mature hydrate et assoupli la peau;0.00017519813776292723;0.0;0.0;0.1418896019429821;0.0;0.0011406333324264107;0.0005336446855595472;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0036050721311894616;0.0
33;Pour du l Oréal il est de très mauvaise qualité il colle et bave après moins de 2h vraiment je ne le recommande pas du tout pour tester pas mal de produits il fait parti des plus mauvais;0.04799130689423685;0.0002583213388072529;0.0019630099936651744;0.0;0.00016112798613291036;0.0007297701897160156;0.0652962991941597;0.0;0.0008668914972612573;0.00022219878906869033;0.0;0.0;0.0013718509964678169;0.005370335254335907;0.0026012094881615153;0.016199076528919203;0.0;0.0047389425222342865
34;Brosse agréable, cils déployés, sans paquets. Odeur agréable. Prix raisonnable.;0.0;0.0503548098792616;0.0889760048093577;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0009609115573072796;0.0;0.0;0.0025295484085871567;0.02699379834496817;0.0007419173848122205;0.0
35;Texture super agréable, j’adore !;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4494053786190381;0.0;0.0;0.0;0.0;0.0
