;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
27;abstenir;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002005933768895918;0.0;0.0;0.0;0.0;0.0;0.0018554607933126846;0.0;0.0
28;abusé;0.0;0.004108193222504128;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.327952460863349e-05;0.0;0.0;0.0;0.0;0.0;0.001551432809308226
29;abîme;0.0018891287333699363;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005899739236410169;0.0;0.0007907736890972595;0.013653680050217469;0.0;0.0;0.0;0.0007889285114921978;0.0005540117310666145;0.00048228166493893815
30;abîmer;0.025780871935277616;0.03762785580196881;0.0;0.0;0.0025609063317236862;0.010634227633725924;0.0002537503247624008;0.030656038450127966;0.0025005376068971976;0.009447223124701743;0.0199412117283801;0.0;0.0;0.060573604681345934;0.0033197397454581405;0.03767733141769753;0.128090893860043;0.0
31;abîmes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005916406014647332;0.0015630339722512631;0.0;8.086225137921168e-05;0.0;0.0;3.564787243550706e-05;0.0001914870869256299;0.0004752086475396225;0.0025663278859665573;0.0
32;abîmé;0.0025054549286292883;0.0;0.002001050908103364;0.0;0.0;0.0;0.0009274407789166814;0.0003158254898882855;0.0;0.0;0.0;0.0013359146725390205;0.0;0.002542852455613687;0.0;0.00716598223377065;0.04777766876738033;0.019796272393221116
33;acaht;0.0;0.0;0.0;0.0006060271843424139;0.0;0.005551471912059354;5.231596488549911e-05;0.0;1.0096908376200314e-05;0.0;0.0;0.0;9.146195941805551e-05;0.0;0.00017939871712845356;0.0;4.7150130361316984e-05;3.3744734278921155e-05
34;accentuer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008408156828541612;0.0;0.0;0.0;0.0;0.0;0.0;0.0002563540162217047;0.0;0.0
35;acceptable;0.0;0.005465070522084551;0.0;0.0;0.0;0.0;0.008433425893452038;0.0;0.0;0.0;0.0;0.00013136147408514002;0.0;0.0;0.0;0.0;0.0;0.0
36;accessible;0.0;0.016597793959270295;2.4547397679004928e-05;0.0;0.0;0.0;0.01126938396984534;0.0008748089823802754;0.007226990399118315;0.0;0.0;0.005954325420965121;0.0;0.0;0.0;0.008211567308287352;0.0;0.0
37;accessoire;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004223720118725413;0.0;0.0
38;accompagne;0.0;0.0;0.0;0.0004703546375462635;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004506045687736204;0.0;0.0
39;accompagner;0.00047471155865033465;0.0;0.00034783572597971266;0.0;0.005485105354956324;0.010871858711220157;0.0;0.009511694788379323;0.007233686656313098;0.0;0.0;0.00976051772572634;0.0;0.00357455114810682;0.0;0.0026904205991042755;0.0;0.0
40;accord;0.0;0.0;0.0012467863890163618;0.00011964885563247088;0.0;0.0;0.0;0.0;0.0;0.0;0.0007839893702796452;0.0;0.0008199329825285867;0.0;0.0;0.004525620596904965;0.0;0.012547960515727336
41;accorde;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0906871030816191e-05;0.0;0.0;4.9392014138747604e-05;0.0;0.0;4.403931804586128e-05;2.3502500379156136e-05;0.00012343970066951366;0.0;0.0
42;accorder;0.0;0.0;0.0;0.0;0.00024075788192601846;1.267635984684908e-05;0.0;0.0;0.00010866484951351588;0.0;9.420783334926995e-05;0.0;0.0;0.0;0.0007273922058373984;0.0003248949787515404;0.0;0.0
43;accouchement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007420744039529237;0.0;0.0;0.0;0.0;0.00020369014846188447;0.0014611592523480906;0.0;4.060047598819822e-05
44;accoucher;0.0;0.000546357517398561;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0012392615898459214;0.0;0.0
45;accro;0.0;0.0;0.0;0.0022016695672072064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0024998178361190925;0.001254712709297718;0.0
46;accroche;0.0;0.0;0.0;0.0035240765712535537;0.0;0.0;0.0;0.0;0.0;0.00010719355091908287;0.0017700158143814926;0.0;0.0;0.0;0.002097371024429271;0.003965101095505957;0.0;0.00020313606791356215
47;accrochent;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002358568960820028;0.0014732255073680574;0.0;0.0
48;accueil;0.0;0.0003269949654120034;0.0;0.0;0.0;2.226105897388107e-05;0.0;0.0;0.0;0.0;0.00029826274871359783;0.0;0.0;0.0;0.0;0.0005270796326785018;0.0;7.213928064621377e-05
49;accès;0.0;0.0;0.0;0.0;0.0;0.005863246523402739;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004640991381801728;0.0;0.0;0.0010338398697647014
50;accélérer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0010779940845268058;0.0;0.0;0.0;0.0;0.0;0.0014044179802037162;0.0;0.0
51;ach;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012367336837745872;0.0;0.0;0.0;0.0;0.00045547873837900935;0.0;0.0
52;achat;0.0;0.04620517227051454;0.0;0.003530948207772493;0.06457279896041343;0.18696640851663945;0.01293230625262087;0.015780128609431187;0.0033122674367735243;0.006861520629173508;0.010356541092008887;0.023421777013377033;0.0;0.0;0.0;0.04882829617917075;0.005892091802085003;0.06562315387247666
