;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
26;Mais, je pense que d'autres utilisatrices sauront l’apprécier.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5378633112003842e-06;0.0;0.0;0.0;0.0;0.0;0.0032486822131781255;0.0014368879231288995;0.00044594558271443514;0.0;0.00010829009850247649;0.0009998359497656254;0.0;0.0;0.0;3.046422466764252e-05
27;Bon produit, redonne douceur aux cheveux mais je le déconseille pour ceux qui ont les cheveux gras, il graisse pas mal le cuir chevelu.;9.032706298243783e-05;0.0;0.0;0.0013877077501564471;8.046291548710915e-05;0.0;0.0;0.0;0.00036738166059768567;0.0011282867479697459;0.00015383067539512683;0.00029381673389830874;0.001693297157075467;0.0005188972305651179;0.0017780125129137434;0.0;0.0;0.0;0.004661288885820166;0.0;0.0004968858186769432;0.13503035314074655;0.0
28;super contente;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.494244699156966
29;Je connaissait déjà le produit qui est très bien. Je l'ai recommandé par erreur et renvoyé, j'ai été rapidement remboursé;0.05841789947252714;0.0;0.0;0.0016800352799238554;0.000619983692566152;0.0016572848296830347;0.0;0.0;0.008125680168553143;0.0;0.00010791877920093531;0.0;0.0011113379879136094;0.0;0.0;0.0;0.001937154160417718;0.03678157048093387;0.019003281705329934;0.0;0.0;0.0003803278856827545;0.0
30;Excellent produit de qualité professionnelle. Très satisfaite de cet achat. Vraiment efficace et adapté à mes bedoins. Parfait. A conseiller.;1.9715868507666962e-05;0.0005682218695174246;0.0;0.0013733312417959277;0.0019404875390690315;0.09148244368384986;0.08242061534449656;0.0004479691034351737;0.0012894632888923168;0.11614247672527146;0.0;0.0007183982743689337;0.0006318337031137373;0.003548851781053363;0.0;0.0;0.0012829558937158684;0.0;0.002011406953853184;0.0;0.0;0.0018586356090220164;0.01907761854730838
31;Produit avec une bonne senteur qui hydrate et illumine la chevelure instantanément et reste léger et non gras. Je le recommande hautement.;0.051496667722005805;0.00015238966932911186;0.0027212236603780353;0.009279760958997478;0.0;0.0019558741649306124;0.0005088474876862694;0.0007666997198134042;0.0;0.0;0.0;0.0;0.0008715858519260286;0.0;0.004110607938139867;0.01168437729689918;0.0013093828315886408;0.0;0.0;0.0;0.0;0.13186949032542852;0.0
32;Effet anti âge et revitalisant sur une peau mature hydrate et assoupli la peau;0.0002019358891147669;0.0;0.00037357999363195533;0.13823958822976623;0.0;0.001051534904292265;0.0004940651968552899;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00400104895698776;0.0;0.001335436743254159;0.0;0.0;0.0;0.0
33;Pour du l Oréal il est de très mauvaise qualité il colle et bave après moins de 2h vraiment je ne le recommande pas du tout pour tester pas mal de produits il fait parti des plus mauvais;0.04786995812177072;0.0004802414239433491;0.002304404952952925;0.00024094882940377211;5.7459530517052455e-05;0.0009602891769591164;0.06426439606725975;0.0;0.001147455551319994;0.00010942784766718094;0.0;0.0;0.0014363115362215463;0.004199744265629312;0.002508567601978349;0.0031440769564675505;0.0;0.005216985488231044;0.013740465864310802;0.00217974130039758;0.0004424652635537123;0.0017095213188345441;0.0
34;Brosse agréable, cils déployés, sans paquets. Odeur agréable. Prix raisonnable.;0.0;0.04936043961634174;0.08897600172060971;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001023736821397809;0.0;0.0;0.0019261746389075789;0.006130060435727385;0.0013770055586655218;0.0;0.0258824320789934;0.0;0.0;0.0;0.0009751583621203322
35;Texture super agréable, j’adore !;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4346818609021696;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36;Je recommande ce produit que j'utilise depuis longtemps et qui fait son effet de coiffure naturelle sans laque - A essayer sans réserve -;0.06777249688758277;0.0;0.0;0.0;0.0005124626016322542;0.0;0.00038946329609221866;0.0;0.0;0.0;0.0;0.0;0.0;0.00027371166298795766;0.0;0.0;0.0018382745417484313;0.0034815325755668505;0.00923972368122948;0.13605300154523192;0.0;0.0;0.0
