;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
18;absence;0.0;0.0;0.0;0.0;0.00550102306283238;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013030182075988625;0.0;0.0;0.006541703171640025;0.0;0.0
19;absolut;0.0;0.0;0.0007013231553418275;0.0;0.0015012580885596831;0.0;0.0;0.0015348916260091976;0.012567816932980777;0.0;0.0;0.0;0.0032854600661584204;0.030245774760192606;0.0006808381700908952;0.0;0.013795960075275098;0.0011024622701844495;0.0;0.013178026264355318;0.0;0.0013454401085314966;0.0
20;absorbant;0.0;0.0;0.0;0.0021804169488814067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.197326065529978e-05;0.0;0.0;0.00369020336461085;0.0;0.0;0.0;8.19432589542523e-05;0.0;0.0;0.0003905971687030189;0.00025862577984151803
21;absorbantes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.31171729473224e-275
22;absorbe;0.0;0.0;0.0;0.004989385376495714;0.0;0.0;0.0;0.0;1.557568307017865e-06;0.0;0.0;0.0;0.0;0.0;0.0005032127359148539;0.0;0.0001180430324469137;0.0025496689088084583;0.0;0.0;0.0;0.0006031345740056384;0.0
23;absorber;0.0;0.0;0.0;0.0009971261427866585;0.0;0.0;0.0;0.0;0.00014251578567941084;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00203440049353395;0.0012931453429523222;0.000919665586378441;0.0;3.360913224657191e-05;0.0
24;absorbé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00026291269307672467;0.0;0.0;2.7607311441297023e-05;0.0008791672328021196;0.0;0.0019086196527556877;0.0019450535332849427;0.0
25;absorbée;0.0;0.0;0.0;0.025131671172440355;0.0;0.0;0.0;0.0;0.0;0.0;0.0048078435594895285;0.0;0.0031796402307325377;0.0;0.0026670214263081757;0.0;0.0;0.005478672048912627;0.0010733209037579183;0.0008724109797009585;0.0;0.005811079496557491;0.0
26;absorption;0.0;0.0;0.0;0.005551626957011648;0.0;0.0;0.0069709334374924;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010477732723053588;0.0
27;abstenir;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00032308610437079807;0.0;0.0;0.0;0.00010061121427267022;0.0;0.002439394837957546;0.00020001554574092508;0.0;6.817183468089312e-05;3.4903305716871246e-05;0.0;0.0;4.33951894937506e-05
