;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
2068;Top pour cheveux secs;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43470896507844253;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2069;Super produit ! Exactement ce que je recherchais et à prix abordable. Reçu dans les temps.;0.0;0.05503232935798398;0.0003859050062844559;0.0;0.0;0.0004006144010597046;0.0;0.0;0.0;0.00018971284051565865;0.0;0.0026072776960583614;0.0020665672594577327;0.0;0.0;0.13042881495201278;0.0;0.009330887712629013;0.0;0.0;0.0;0.0;0.0;0.0006421262252319738;0.0006875345238338906;0.0;0.0;0.0;0.0
2070;spray que je prenais en salon a 17 euros la il est beaucoup moins cher et je l'adore facile a travailler et tenue irreprochable j'adore;0.00012775658080416225;0.0012854695945551389;0.0;0.0;0.000939859458201025;0.00024998025302438174;7.067185093856913e-06;0.0;0.00035634882963891826;0.000792489835775072;0.005336298263331112;0.0;0.004006515136346223;0.0;0.08802585070585311;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00045034572073194483;0.008704444849021973;0.004440220565134984;0.0010262029370745104;0.0012885782531147883;0.0010866759901263508;0.010205917863069788
2071;Très contente du résultat, mes mèches sont très blondes, brillantes... Je recommande vivement pour les blonds froids.;0.06262215068044835;0.0;0.0;0.0;0.0;3.897640846959086e-05;0.0;0.004645458955776389;0.00470126573337696;0.0023413915854604474;0.028128966045618972;6.028930986416869e-06;0.0;0.0037802771465602725;0.0;0.0;0.0;0.12041804907500929;0.0;0.008392487087619183;0.0;0.0;0.13897153592168995;0.0;0.017736894629780363;0.0;0.0;0.0;0.0
2072;Ce soin fait bien son office, les cheveux sont très doux après son utilisation. Pas d'effet bleu ou violet qui reste sur les cheveux à condition de bien rincer. Ça reste un peu cher pour la quantité de produit.;0.0001921311540070106;0.0005466548175328104;0.002893883530035024;0.0016105820155653072;0.0;0.0;8.137383144999598e-05;0.08930614451903279;0.0;0.0032580664962525104;0.004444845537202844;0.0;0.0005091267625484477;0.00791567877113763;0.043762010056702674;4.263341698421598e-05;0.005360116584027576;0.02378493577919914;0.0001761656559704978;0.0;0.014200544306991487;0.0012627745059581473;0.002087801924625643;0.0;0.003108807518215724;0.0;0.01365756879251416;0.0004898086624520183;0.001241914136112438
2073;Palette complète avec ses 3 couleurs de peau et deux couleurs qui atténuent l'une les rougeurs l'autre les taches.;0.00023329289016359834;5.78755165280055e-05;0.0;0.060856201001349614;0.004518786685121754;0.000106088716484821;0.0007708261026470042;0.000315061748452618;0.002437543980308401;0.000212343995189565;0.0;0.0015249199012924897;0.0;0.0008702411673632847;0.002312309554382986;0.0;0.0011476115826166353;0.0006622552137941873;0.0;0.00015384338476774446;0.0;0.0;0.001173135358920541;0.0008483646119943293;0.0;0.006142713676455689;0.002905594878489001;0.00782697022987021;0.0008851183215967373
2074;Bonne tenue s'applique bien avec une éponge a maquillage.;0.0;0.0;0.0;0.0006219922791081055;0.0;0.0;0.0018410894392135813;0.0;0.003381944267917452;0.0;0.0;0.0;0.001484603091027467;0.0002067036885579819;0.07241857041249075;0.0006971881108772381;0.0011679066028451182;0.0;0.0;0.0;0.0;0.0;0.0;0.007729134984112333;0.0;0.01340332045201642;0.0011091215402793562;0.0;0.0
2075;Même produit que dans les salons de coiffure mais en beaucoup moins cher ! Shampoing qui entretient vraiment mes mèches blondes, mes mèches ne virent désormais plus au jaune !!;0.0013057196759355138;0.0009346209891063439;0.0002602573201081505;2.1368402820019555e-05;0.0022534504606627095;0.0005063422293261609;0.0007861945142791073;2.4850111479619485e-05;0.006557917714951056;0.002521072886125454;0.017495532154053615;0.005903016945887805;0.0;0.0033813262872863003;0.000616615338593851;0.0;0.0007599644661873763;0.012502402901923006;0.0;0.0091438743312338;0.0;0.0;0.004535036469782846;0.0008708418824676432;0.024646959040794385;0.0;0.0;0.001103638227932732;0.00011405382533502667
2076;Très bon produit j'ai testé énormément de crème mais celle ci est La crème.;0.00020414389857997567;0.000277054862437047;0.0;9.776892479894062e-05;0.0;0.0;0.0002494449701794882;0.0008423659210189392;0.0;0.0033528464647749317;0.0013914146536642003;0.0;0.0014290683069234861;0.004323470623351688;0.0026900673646069293;8.009808497822036e-05;0.0010091877773545658;0.0011383375708812653;0.0;0.0045072600984964245;0.0016584968937966617;0.0;0.0002495062334825681;0.0;0.0022088451969385424;0.0016046109353714236;0.0;0.0;0.0013781749121367134
2077;Envoi rapide et bien protégé, en revanche je doute du modèle de eye liner Waterproof.. je l ai racheté en grande surface la tenue waterproof n a rien à voir avec celle achetée par internet. Plutôt déçue et dubitative je ne rachèterai pas ce produit;0.0;0.0;0.00018160698755477386;0.0;0.0;0.00010355524655808717;0.000743926408241471;0.0;0.0003807474201186497;0.0002334719412550468;0.0032964201635661077;0.06007423668820901;0.007313323308968245;0.0;0.0022997620004663382;0.002169166422293181;0.00034634845809481025;0.013294748618709006;0.0;0.004443934841499108;0.001347603609848938;0.0;0.0;0.013091500029222396;0.0015837016805798115;0.0011406046248594868;0.011037469837303285;0.0017570221914368943;0.05329747599596033
2078;J’adore !;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2079;Très efficace;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.41712573987176277;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2080;Je recommande;0.28453957043230366;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2081;Pour ma part sur cheveux decoloré ça ma donner les cheveux bleuté gris mais au bout de 2 lavage mes cheveux sont devenu blond/blanc ce qui n'est vraiment pas moche je valide;0.0007128562427151898;8.43983894517397e-06;0.0;0.0019888051629676565;0.0;0.0007906626154653492;0.0010472298107603584;0.0009241440742068221;0.006947027388505156;0.006384515764865269;0.024327887471051447;0.0;0.0;0.0;0.0;0.003732067221466056;0.002800479485273423;0.022116730495036242;0.0;0.007183828659043173;0.0;0.0004321968414496721;0.0015302559503975266;0.0;0.0021119963744095326;0.00575368440620458;0.0007408239758759799;0.004436887759342532;0.006236726946325464
