;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
10;abondance;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00014271218177199058;0.0;0.0;0.00038008648829268213;0.0;0.0026575128903844427;0.0;0.0;0.0;0.0;0.0;0.0005057239615416281;0.0;0.0;7.24852097521219e-05;0.0;0.0018259637533724884
11;abondant;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013182378445609;0.0;0.0007700581637411026;0.0;0.0;0.0017648074802618073;0.00028654164668943737;0.0;0.0;0.0;0.0006977954150497224;0.0;0.007942103420421114;0.0
12;abonnement;0.0;0.0;0.0045537742293392455;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022042308261644585;0.0;0.0;0.009692789495613266;0.002357320866434724;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008967615802455634
13;abonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.3645447362529014e-05;0.0002527981603439712;0.0;0.0;0.0;0.0;0.0;0.0;0.0006208461846216242;0.0;0.0018348566096352474;0.0;4.727808397991072e-08;0.0;0.00022758525514483588;0.0;0.00015880386771454519;0.0;1.0674443945172548e-05;0.0
14;abonné;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003040544685895724;0.0;0.0;0.0;5.097117046312841e-05;0.0;0.0;0.0;0.0;0.00017108890759358377;0.0;0.0023436968155043656;9.684590562319442e-05;0.0
15;abordable;0.0;0.12518950669801418;0.013685127925604909;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003440572232549474;0.0;0.0;0.004911299673517517;0.024734248787910855;0.0;0.0;0.0;0.0;0.0;0.004309603494565264;0.0;0.015223020723856503;0.03171942105322534;0.0;0.0;0.0;0.0
16;abricot;0.0;0.0;0.0007290936014328858;0.00219030569300812;0.0;0.0;0.0015119234872142465;0.0;0.0;0.0;0.023324865511288005;0.0;0.0;0.0003392300853405467;0.0;0.0;0.0;1.8981312068334803e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002554760342754321;0.0;0.0;0.004284098893932638
17;abricotée;0.0;0.0;0.00034340828593614376;0.000863138304315212;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0012822583723622757;0.0;0.0;0.0005204459969982516;0.0;0.0;0.0;0.0019431210718039165;0.0;0.0;0.0;0.0;8.330653936596253e-05;0.0018321089723197159;0.0;0.0;0.0
18;absence;0.0;0.0;0.0;0.0;0.0078051379278441645;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015052034372679766;0.0;0.0;0.0;0.0;0.0024985180187528;0.0;0.0;0.0;0.0;0.0;0.0;0.005612453855716597;0.0
19;absolut;0.0;0.0;0.0006982897515156812;0.0;0.0023152174157270223;0.0;0.0;0.0014591416671800774;0.012481017876320073;0.0;0.0;0.0;0.0033744643698034606;0.031889901847196464;0.000567510284856255;0.0012707813311039452;0.013751881898608022;0.0;0.0;0.014685139130470785;0.0;0.001380256175844241;0.0;0.0;0.0;0.0;0.0;0.0;0.001761028004798318
20;absorbant;0.0;0.0;0.0;0.002194495177762352;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.860056331877498e-05;0.0;0.0;0.003929883254657698;0.0;0.0;0.0;0.0;0.0;0.0;0.00039473658139930936;0.0002745220638352842;0.0;0.0005441104765170381;0.00032398604610138964;0.0;0.0;1.0870616880655443e-06
21;absorbantes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5863091636001687e-133
22;absorbe;0.0;0.0;0.0;0.005178458403452652;0.0;0.0;0.0;0.0;9.412429530945736e-06;0.0;0.0;0.0;0.0;0.0;0.000584304741537272;0.0030924560607049675;0.00011174587453329293;0.0;0.0;0.0;0.0;0.0006690634733286541;2.723526293523562e-05;0.0;0.0;0.0;0.0;0.0;0.0
23;absorber;0.0;0.0;0.0;0.0010542115786316278;0.0;0.0;0.0;0.0;0.0002093472956110241;0.0;0.0;0.0;0.0;0.0;0.0;0.002636719421133288;0.0;0.0007146713228462179;0.0;0.0010841011836719627;0.0;7.273013928938175e-05;0.0;0.0;0.0;1.809325001825943e-05;0.0;0.0;0.0003902126864680155
24;absorbé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002565193788501178;8.089920392803329e-05;0.0;0.0002881169520043445;0.0;0.0;0.0023428678731137517;0.002110502342946728;0.0;0.0;0.0;0.0;0.0;0.0;0.0016796672874818726
25;absorbée;0.0;0.0;0.0;0.026079535404415374;0.0;0.0;0.0;0.0;0.0;0.0;0.005822326444868005;0.0;0.0033411638622462573;0.0;0.0031125426355905297;0.0069891789991763514;0.0;0.0;0.0;0.0014533902204961237;0.0;0.006432526177135973;0.0;0.0;4.57236160454959e-05;0.0;0.0;0.0002351041612531068;0.00024098106297607897
26;absorption;0.0;0.0;0.0;0.00581660833942151;0.0;0.0;0.007139020984547324;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0113572375741092;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;abstenir;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00031734595059948505;0.0;0.0;0.0;0.00015954072522839872;8.3717635146926e-05;0.0;0.00020056684924729085;0.0;0.0;0.0001957198523702061;2.0429053979846892e-05;0.0;0.00029008421346822944;0.0026287171479380993;0.0;0.0;2.7014121188147597e-05;0.0;0.0
28;abusé;0.0;0.004324750425159488;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.17747533162608e-05;0.0;0.0;0.0;0.001557961055635781;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001865256646772252;0.0
29;abîme;0.0018870477876144684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00042263417014449915;0.0;0.0008938403017037308;0.013622787785206548;0.0;0.0;0.0;0.0005052929393672585;0.0005969270134332929;0.0;0.0;0.0;0.0;0.0;9.185938578634226e-07;0.0006022189918588882;0.002478227269613517;0.00017666155184262305;0.0;0.0;0.0
30;abîmer;0.025455215913008353;0.039541994797312185;0.0;0.0;0.005537049386953274;0.010478251929603624;0.0;0.02821443448999427;0.0;0.008235964841902057;0.023991143446080252;0.0;0.0;0.06559451154475002;0.002223287528795447;0.0;0.1245077673645212;0.04790881448780042;0.0;0.0049084612412041255;0.0;0.012132979471786896;0.029218112599296093;0.0;0.013467208402228332;0.0;0.005325603887270435;0.0;0.01992415312672592
31;abîmes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005648394337626117;0.0014459595678741738;0.0;0.0;0.0;0.0;0.0;0.00010421917884949978;0.0;0.002462175206689203;0.0;0.0;0.0;8.163716147678954e-06;0.0;0.0;0.0;0.0021035875016866047;0.0;0.0;0.0;0.0006724965244745084
