;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
11;Malheureusement présence de perturbateurs PROPYLENE GLYCOL, PHENOXYETHANOL et allergènes LINALOOL, LIMONENE mais en fin d'ingrédients donc en quantité faible.;0.0003180817003707119;0.0004493080785441554;0.001941856988205492;0.00015748900904611593;0.0;0.0;0.0;0.0004187344017847684;0.00048563649729247045;0.0017072209859851416;0.0;4.95666380492953e-06;0.0;0.0005235211928470845;0.0009789843543157042;0.000475655036276428;0.001733087713575084;0.0010624823034598924;0.0;0.0006691388272970502;0.0035836994384406654;0.00010204832503786763;0.000761132045361335;0.007015852523007242;0.0;0.0;0.010488813448422717;0.0005714087321948167;0.0017759212339247578;0.0003471292930229887
12;remplit sa fonction;0.00011790992887061031;0.0;0.0;0.0005498517866477855;0.00040756130005101374;0.0;0.0;0.0009591552953102164;0.0004097573289094486;0.0004473843468590882;0.000874663610442298;0.0;0.00024246632269744753;0.0;0.0;0.0;0.0;0.0005228472932544707;0.0;0.0;0.0;0.0;0.0;0.0;0.0011705043073740734;0.005157179521985798;0.0008290771555962559;0.0006791029017807682;0.0;0.003196611097936864
13;Très bien pour le connaître depuis longtemps;0.0004800867628336572;0.0;0.0;0.0004901158733953511;0.0;0.0006566021521900052;0.0;0.0;0.00048644543341484363;0.0;0.0;0.0;0.0017318609787493873;0.0;0.0;0.0;0.0;0.0;0.004135392266704419;0.0;0.0;0.0;0.0;0.005894939503591241;0.04269444314390248;0.0;0.0;0.0;0.0;0.05520519014690994
14;Je suis toujours fidèle à ce produit pour essayer de lutter contre le dessèchement capillaire lié à l'âge et aux balayages.;0.00032573950950825966;0.0002772927056577947;0.0;0.001021586528909584;0.0012204277787620304;0.00044793676773975894;5.894816426746781e-05;0.00014919483335971355;0.00022366120608018807;0.0002730230082207957;0.001792382488895196;0.0;4.619650190596947e-05;0.0035303237312090553;0.0;0.0025930682759388647;0.00178471826582457;0.0016121337683740918;0.0;0.0006966569683401999;0.0;0.002290822961336987;4.283452374782915e-05;0.0;2.8259860643359214e-05;0.0;0.0;0.0003313029411364502;0.00021300888491674233;0.0360638596631348
15;...comme les miens c'est le produit idéal qui évite le jaunissement des cheveux et en grande dose tel qu'il est présenté, c'est une utilisation de plusieurs mois;0.0;0.0;0.0;0.0011579014577345558;0.0;0.0;0.00014604606266296902;0.003924362562977017;0.0;0.0019159588359649866;0.00011880493309220234;0.0;0.0006032376215927036;0.0;0.04450370907655193;0.0;0.00028759127883711693;0.02483356148023914;0.0;0.011588286472675548;0.010275796508805755;0.0016798156105761605;0.0;0.0;0.0030658038621024044;0.0014866547609785406;0.016269800856773434;0.0;0.011067435791407608;0.053126129869539
16;De toute façon tout ce que fait L'OREAL est au top: ELSEVE pour les cheveux, MEN EXPERT, NARTA déodorant;0.0004954476884763081;2.870496389214214e-06;0.00024176067167422223;0.0003975616309829729;0.0;0.0005545370074521047;0.0009326994815917318;0.0011823527865190977;0.0011166521192848024;0.000918185798775561;0.0;0.002661981832167986;0.0;0.0021118982470122714;0.0;0.0010950163350250304;0.0;0.003807755266587258;0.0;0.0012627870917056921;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0004539823797740411;0.00023560478976280403;0.007269546830861519
17;Je me sers de tout cela depuis des années et avec une entière satisfaction;0.00013304068077238978;0.0;0.0003618644389497781;8.384720354369444e-05;0.0;0.0030862154838560926;0.0;0.0;0.010093326929809082;0.0010651041059682636;0.0024493882187427768;0.0;0.0003158199545799568;0.0;0.0;0.00012002663844524698;0.0;0.0;0.0001491439587102408;0.02594274095616423;0.0006729788968619834;0.0;0.0009871180605875792;0.0005350965323243946;0.0;0.000669932564530088;0.001343262124219767;0.0005943006781721476;0.0;0.0
18;Philippe;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3304442411765495e-120
19;Ravie de retrouver mon mascara préféré sur ce site et à un.prix vraiment abordable..;0.0006530821920098071;0.048945070153068024;0.0009097740849396768;0.0003877788065179511;0.002940452654650673;0.000887688632559698;0.001033750029748906;0.0;0.0;0.0021768835717828157;0.0017004748100805504;0.0016174244034982113;0.0;0.001852185897012298;0.0009030607058225222;0.007191997280345126;0.0;0.008378551773107808;0.0;0.012686333599732988;0.0;0.00021072763879562297;0.0014717961120524487;0.0;0.008162171888698814;0.0;0.0;0.0;0.0;0.01268645021742047
20;"prix compétitif,...facile d’application... plus d'un moi de traitement....je l""ai testé et dès qu'il est fini je repasse  une commande.";0.00020635308520088532;0.03661077102287623;0.0005602582779660724;0.0;0.0023846746192493426;0.00026741835740301794;6.104099116438805e-06;0.0;0.0;0.0;0.0;0.001291961349758492;0.00021921053189170598;0.001682718463366843;0.10750650132907165;0.008758666548569733;0.0;0.0046337206341161355;0.0;0.0;0.0;0.0014072274911094665;0.0004922393617764703;0.0;0.0005008443323951317;0.002596305650221411;0.0;0.0007392889350729911;0.002030018500770885;0.01258945515089628
