;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
10;abondance;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00017385439369515393;2.2525637955691917e-05;0.0;0.00045176871313962864;0.0;0.00025377478115834234;0.0;0.0;0.0;0.0;0.0;0.0006387879991359698;0.0;0.0;0.00010745997250516982;0.0;0.0023979306173000474;0.0018105266613827888
11;abondant;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013979979471191575;0.0;0.0;0.0;0.0;0.0018903426317216114;0.0002994677488938674;0.0;0.0;0.0;0.0008750606473507748;0.0;0.008858820622795832;0.0008685884018773164;0.0
12;abonnement;0.0;0.0;0.004555758070834987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022036579087151;0.0;0.0;0.009855730298589126;0.0024865469147055627;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008449680255631718
13;abonner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0026569793799445913;0.0;0.001591338755910253;0.0;0.0;0.0;0.0002363426736909446;0.0;0.0;0.0;0.0;0.0001368137988782644;0.0
14;abonné;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0032221661685178293;0.0;0.0;0.0;6.564439147409035e-05;0.0;0.0;0.0;0.0;0.00019691972138188846;0.0;0.0022725448596150498;0.00011210078837640616;0.0;0.0
15;abordable;0.0;0.1281233101636321;0.01362864286709216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0034228036617568714;0.0;0.0;0.004865201859632081;0.025822547608253296;0.0;0.004802580251541727;0.0;0.0;0.0;0.004173477079874688;0.0;0.015718317184162046;0.03165747229077238;0.0;0.0;0.0;0.0;0.0
16;abricot;0.0;0.0;0.0007367626909389884;0.0022151210676158994;0.0;0.0;0.0015914353373448456;0.0;0.0;0.0;0.023431354330041714;0.0;0.0;0.00047138230842795376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0030007694466288896;0.0;0.0;0.0;0.0043287790818212915
17;abricotée;0.0;0.0;0.00033668144233687944;0.0008574615010150709;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0012935191255909488;0.0;0.0;0.0004929714103783068;0.0;0.0005709313130228296;0.0;0.0019006361621163549;0.0;0.0;0.0;0.0;1.949112920908832e-05;0.00210855663786893;0.0;0.0;0.0;0.0
18;absence;0.0;0.0;0.0;0.0;0.007827538277127085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015960794305940485;0.0;0.0;0.0;0.0;0.0026933205929069743;0.0;0.0;0.0;0.0;0.0;0.0;0.006248053735814871;0.0;0.0
19;absolut;0.0;0.0;0.0006993696171167427;0.0;0.0023414006026378303;0.0;0.0;0.0014885022783629703;0.012610715043521776;0.0;0.0;0.0;0.0033712760619445986;0.03260250727404623;0.0005570763173642872;0.0013282547633744835;0.013872824819359733;0.0;0.0;0.014907613877335017;0.0;0.0014344130219902161;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0020642361536732656
20;absorbant;0.0;0.0;0.0;0.0022052837523591357;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.863995437888278e-05;0.0;0.0;0.003985322755123995;0.0;0.0;0.0003735043062246996;0.0;0.0;0.0;0.0003732756425439288;0.00026750359604786183;0.0;0.0005270369890510372;0.00031797048475277714;0.0;0.0;0.0;0.0
21;absorbantes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6183976916050755e-121
22;absorbe;0.0;0.0;0.0;0.005212596050300912;0.0;0.0;0.0;0.0;2.321486261020626e-05;0.0;0.0;0.0;0.0;0.0;0.0005969958662317962;0.0032530707079407102;0.00010527087501819413;0.0;0.0;0.0;0.0;0.00065780577358807;3.374656668654567e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0
