,product_id,brand,product_name,price,avg_mark,product_type,retailer_id
6926,P3345032,RAHUA,Control Cream Curl Styler - Crème de Définition Boucles,29,4.0,crme,sephora_fr
6927,P3345033,RAHUA,Hydration Shampoo - Shampoing Hydratant,9.25,2.5,shampoing,sephora_fr
6928,P3346063,BENEFIT COSMETICS,Hello Happy - Fond de teint liquide,30,3.339285714,fonddeteint,sephora_fr
6929,P3346067,TOM FORD,Ombre Extrême - Ombre à paupières,37,4.0,fardpaupires,sephora_fr
6930,P3346069,TOM FORD,Laque à Lèvres Extrême,57,1.0,rougelvres,sephora_fr
6931,P3347001,SOL DE JANEIRO,Bum Bum Bath Bomba - Bombe effervescente pour le bain,7.5,3.6,selperlecubedebain,sephora_fr
6932,P3347002,SOL DE JANEIRO,Brazilian Bod Buff Smoothing Scrub 'N' Mask - Masque Exfoliant Corps,21.95,4.714285714,gommagepeelingcorps,sephora_fr
6933,P3347003,SOL DE JANEIRO,Samba Foot Fetish Care - Crème Soin pour les Pieds,20.95,3.875,soindespieds,sephora_fr
6934,P3347004,SOL DE JANEIRO,Ipanema Sunset Glow Oil - Huile Scintillante Corps,32,3.5,huilenourrissante,sephora_fr
6935,P3347005,SOL DE JANEIRO,Copacabana Bronze Glow Oil - Huile Scintillante Corps,32,4.6,huilenourrissante,sephora_fr
6936,P3347006,SOL DE JANEIRO,Brazilian Crush Body Fragrance Mist - Brume Parfumée pour le Corps,14.9,4.227272727,eaudesoin,sephora_fr
6937,P3347009,FILORGA,Optim Eyes Patch Gel,4.9,1.5,contourdesyeux,sephora_fr
6938,P3347020,LA MER,L'Exfoliant-Huile Régénérant Visage,102.5,5.0,gommagepeelingvisage,sephora_fr
6939,P3347022,WUNDER 2,Wunderbrow Fiber Filler - Poudre pour sourcils,29.9,1.75,gelmascarasourcils,sephora_fr
6940,P3347023,GIVENCHY,Live Irrésistible - Coffret Eau de Parfum,89,4.0,coffretparfumfemme,sephora_fr
6941,P3347030,FRESH,Sugar Coconut Hydrating Lip Balm - Baume au sucre hydratant,20,4.0,soindeslvres,sephora_fr
6942,P3347031,FRESH,Sugar Peach Hydrating Lip Balm Édition Limitée - Baume hydratant,19.5,4.0,soinhydratantnourrissant,sephora_fr
6943,P3347032,FRESH,Sugar Chocolate Hydrating Lip Balm Édition Limitée - Baume hydratant,20,4.2,soindeslvres,sephora_fr
6944,P3347034,FRESH,Soy Face Cleanser Édition Limitée - Nettoyant visage au soja,45,4.183333333,nettoyantmoussantvisage,sephora_fr
6945,P3347033,FRESH,Sugar Lemon Hydrating Lip Balm Édition Limitée - Baume hydratant,19.5,4.0,soindeslvres,sephora_fr
6946,P3347035,ST.TROPEZ,Gradual Tan - Base Bronzante Hydratante Teintée Visage,34,4.0,autobronzantvisage,sephora_fr
6947,P3348009,PAI,Lotus & Fleur D'Oranger Tonique BioAffinity,38,4.5,lotiontonique,sephora_fr
6948,P3348010,PAI,Pousses de Riz & Romarin Tonique BioAffinity,38,3.0,lotiontonique,sephora_fr
6949,P3348015,BIVOUAK,COFFRET DUO BARBE - Coffret soin,39.9,4.333333333,coffretsoin,sephora_fr
6950,P3348016,ZOEVA,Voyager Caramel Melange Eyeshadow - Mini Palette fards à paupières,14.99,4.178571429,paletteyeux,sephora_fr
6951,P3348017,GARANCIA,Sulfureuse Pate du Marabout,25,4.25,nettoyantmoussantvisage,sephora_fr
6952,P3348019,FRANKBODY,Shimmer Scrub - Gommage Corps Glow Format Voyage,8.99,4.1111111110000005,gommagepeelingcorps,sephora_fr
6953,P3348020,FRANKBODY,Shimmer Scrub - Gommage Corps Glow,15.95,4.1111111110000005,gommagepeelingcorps,sephora_fr
6954,P3348021,CAOLION,Pore Intensive Nourishing Soap - Savon Purifiant et Hydratant Format Voyage,4.99,4.25,nettoyantmoussantvisage,sephora_fr
6955,P3351001,HUGO BOSS,Boss Bottled United - Eau de Toilette,60,4.0,eaudetoilette,sephora_fr
6956,P3348022,CAOLION,Pore Intensive Soothing Soap - Savon Purifiant Apaisant Format Voyage,4.99,3.333333333,nettoyantmoussantvisage,sephora_fr
6957,P3351002,TONI & GUY,Curlsquad Reverse Wand - Fer à boucler,44.9,5.0,lisseurboucleur,sephora_fr
6958,P3351004,TONI & GUY,Curlsquad Textured Styler - Fer à boucler,44.9,1.0,lisseurboucleur,sephora_fr
6959,P3351005,MUGLER,Alien Man - Eau de toilette,59,5.0,eaudetoilette,sephora_fr
6960,P3351006,NARCISO RODRIGUEZ,Narciso Rouge - Eau de Parfum,122,4.466666667,eaudeparfum,sephora_fr
6961,P3351009,JACADI,La Famille - Eau de Cologne,47,4.0,parfumenfant,sephora_fr
6962,P3351011,JIMMY CHOO,Jimmy Choo Man Blue - Eau de toilette,62,4.5,eaudetoilette,sephora_fr
6963,P3351012,AZZARO,Azzaro Wanted By Night - Eau de Parfum,81,4.714285714,eaudeparfum,sephora_fr
6964,P3331045,GRANADO,CALÊNDULA COFFRET BAIN HYDRATANT - Coffret corps et bain,17.99,5.0,coffretcorpsetbain,sephora_fr
6965,P3331066,YVES SAINT LAURENT,Vernis à Lèvres The Holographics,37,4.8,gloss,sephora_fr
6966,P3331067,YVES SAINT LAURENT,Mascara Volume Effet Faux Cils The Curler,35,4.646864686,mascara,sephora_fr
6967,P3331068,YVES SAINT LAURENT,Mascara Volume Effet Faux Cils La Base,35,4.666666667,mascara,sephora_fr
6968,P3331069,YVES SAINT LAURENT,Couture Brow Slim,28,4.666666667,crayonpoudresourcils,sephora_fr
6969,P3332002,GUERLAIN,L'Homme Idéal - Coffret Eau de Toilette,68.99,5.0,coffretparfumhomme,sephora_fr
6970,P3332005,MAKE UP FOR EVER,Trio Artist Color Pencil Kit - Kit crayon multi-usage,19.99,3.0,coffretrougelvres,sephora_fr
6971,P3334,CARON,Pour un Homme - Eau de Toilette,127,4.791666667,eaudetoilette,sephora_fr
6972,P3335002,YVES SAINT LAURENT,Rouge Pur Couture Collector - Le Fuschia,36.99,5.0,rougelvres,sephora_fr
6973,P3337005,YVES SAINT LAURENT,Coffret Mon Paris Eau de Parfum,62,5.0,coffretparfumfemme,sephora_fr
6974,P3338002,MIMITIKA,Mini Spray Solaire SPF 50,11.99,4.5,protectionsolairecorps,sephora_fr
6975,P3338003,MIMITIKA,COFFRET MIMITIKA'S SUMMER ESSENTIALS - Coffret soin visage,19.99,3.833333333,coffretsoinvisage,sephora_fr
6976,P3338004,MIMITIKA,Crème Visage SPF 50,15.9,4.125,protectionsolairevisage,sephora_fr
6977,P3338005,MIMITIKA,Spray Solaire SPF 50,19.5,4.5,protectionsolairecorps,sephora_fr
6978,P3338006,MIMITIKA,Spray Solaire SPF 30,19.5,3.666666667,protectionsolairecorps,sephora_fr
6979,P3338008,MIMITIKA,Lait Après Soleil,13.5,5.0,aprssoleilcorps,sephora_fr
