;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
38;accompagne;0.0;0.0;0.0;0.0013214706822240242;0.0;0.0;0.0;0.0;0.0;0.0;0.0010465045333702386;0.0;0.0;0.0;0.0009871994473305617
39;accompagner;0.00041107990969750196;0.0;0.0003577312530155745;0.0;0.005225356950775324;0.01061585783927575;0.0;0.009547627982035461;0.006811889581205511;0.0;0.0;0.009610883674618457;0.0;0.004804643182425757;0.0
40;accord;0.0;0.0;0.0014649051440334129;0.0012358501175904323;0.00015023004613464954;0.0;0.0;0.0;0.0;0.0;0.003743958879352945;0.0004036946431402878;0.0013324825875123058;0.0;0.0008299495270726824
41;accorde;0.0;6.482948071889666e-06;0.0;0.0;0.0;0.0;0.0;1.5990169735260434e-05;0.0;3.5701785889630095e-07;7.001892708139689e-05;0.0;0.0;4.638436960361733e-05;4.266046014031069e-05
42;accorder;0.0;0.0;0.0;1.5043167373822902e-05;0.00024155171464796288;3.724928407094212e-05;0.0;0.0;0.00016859963338917996;0.0;0.00014018769898572496;0.0;0.0;0.0;0.0007272689709400128
43;accouchement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.432985118830726e-06;0.0008045448956222055;0.0;5.0272960345255734e-05;4.4390694572184985e-05;0.00029940186337785134;0.0007171325626411831
44;accoucher;0.0;0.0006774838110587909;0.0;0.00014115084249932257;0.0;0.0;0.0;0.0;0.0;0.0;0.0002648059101799605;0.0;0.0;0.00017774174105234696;0.00026354759225998134
45;accro;0.0;0.0;0.0;0.002635826864608156;0.0;0.0;0.0;0.0;0.0;0.0;0.00045622862584497137;0.0;0.0;0.000826745416958671;0.0001319847031217847
46;accroche;0.0;0.0;0.0;0.003848195886127814;0.0;0.0;0.0;0.0;0.0;0.0002139284132678973;0.002974502091994814;0.0;0.0;2.964607985967967e-05;0.0030396699838925127
47;accrochent;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003531766329087978;0.00253900805178896
