;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
38;Ce mascara est super. Je l’utiluse Depuis des années. Par contre vous devez savoir que ce vendeur va vous l’envoyer sans blister. Vous allez le recevoir dans une enveloppe toute simple. Cela n’est pas mentionné dans le descriptif.;0.0002694651741671625;0.0;0.0;0.0007177261268178092;0.006118755677000414;0.0;0.0009692177424699101;0.0038052571105128287;0.0;0.0;0.01840199769158916;0.0006329678418964201;0.002443662403510585;0.0;0.0
39;Le seul qui ne me fais pas pleurer les yeux et que je supporte et qui est bien noir je recommande je ne prend que celui la;0.06026406290302942;0.0;0.00011493611488071552;0.000173228853646782;0.00018629024167001265;0.0;0.0;0.0;0.0004234239071467871;0.0;0.00963468099134522;0.0005774273128999318;0.0;0.0019906195365194264;0.0
40;nan;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41;j'ai les cheveux vraiment très très sec et ce shampoing les répare très très bien.;0.0;0.0;0.0;0.0037809500644912196;0.0;0.003936988514019666;0.00031271626862950535;0.0;0.0007161096047286096;0.0;0.057287939611918616;0.0;0.01077152219935364;0.0;0.002309126666812034
42;obligé de faire une dissertation c relou;0.0;0.0;0.0;4.7291744360413434e-05;0.0;9.558245402060077e-05;0.0;0.0;0.0;5.4310574631928324e-05;0.0009552852107011774;0.0;0.0;0.0;0.0
43;Heureusement que sur le net il y a des tutoriels parce que le moins qu'on puisse dire c'est débrouille toi avec ce qu'on te vend...De la part d'une si grande marque c'est pauvre, (mais pas le prix) !;0.0001596004574452859;2.704676579023859e-05;0.055312261618261825;0.0005457164473876956;0.0;0.000131719886410799;8.219275191828869e-05;0.0;0.00041422317277329824;4.5156973449267476e-05;0.008646164942207005;0.0;0.001839050233178386;0.005958256613217981;0.0
44;Efficacité prouvée grâce à ma fille, venue pour me conseiller, et à qui j'ai offert le deuxième produit.;0.0;0.0003479765102017785;0.0013290183564807995;0.0008837526542136762;0.00014383141571178376;0.0007237677375348516;0.0034230910642610553;0.004050776808546796;0.0006593780565212863;6.799786854848715e-05;0.009662368599898281;0.0018674653964251605;0.0016747345135465495;0.0045820735163877415;0.00011266178852811623
45;J'ai les cheveux courts;9.984993941038691e-05;0.0;0.00013280548042618684;0.0007520157779205896;0.0;0.0;0.0;0.0;0.0;0.0;0.006593984769419557;0.0005265532284645345;0.0;0.0030347154019979006;0.0016497565835431795
46;Je cherchais une cire qui tienne mes cheveux, ne les rendent pas gras, ni d'effet mouillé et que je puisse resculpter;0.0003860776073927004;0.002022739096062449;2.7872560057008616e-05;0.0015154779885494596;0.0;0.004687030994697654;0.0016288373492879032;0.002707336172045172;0.000742627607200133;0.0020359893597592855;0.011769460355381274;0.0027680532887206823;0.0;0.00037431100888156356;0.0003478376735610828
47;Cette cire fait son office, j'en ai essayé plusieurs et c'est la seul qui arrive au niveau de L'Oréal adixion pour homme qui n'existe plus;0.0;0.0006882674856163433;0.0008691996257778126;0.0;0.0006571262868533767;0.0001958675040507972;0.00016424658042210762;0.0017083411147149979;0.002170274415020362;0.0011000257688018478;0.015986842235593674;0.0031950787131995967;0.0009738981898845147;0.0035688882799492267;0.0004296949923283051
48;J'en ai même acheté plusieurs pots vu mon niveau de satisfaction;0.0;0.0004526671485409759;0.0021614894362592166;0.0;0.00012802600419799967;0.0;0.0009986971491499532;0.002550038864564088;0.0;9.287081225445366e-05;0.012785374204379793;0.0004178666662657431;7.629712804447215e-05;0.0;0.0
49;J'ai testé plusieurs palettes correctrices et j'ai fini par acheter celle-ci pour atténuer mes rougeurs et ma couperose.;2.1330580429574305e-05;0.0;0.001188506100161218;0.0;6.973450487213286e-05;0.00012546741222880958;0.0005115416057358832;0.001197739073439709;3.490320051846744e-05;0.0;0.0111546953364256;9.064398839778343e-05;0.0;0.0006150161565131772;0.0010402415613021529
50;Certains se plaindront du manque d'un pinceau, mais je trouve cela superflu et l'application au doigt plus intuitive et facile pour travailler la texture.;0.0;0.008884736594051383;1.4469436464696752e-05;5.0404733303522126e-05;0.0;0.0009176787114651315;0.0;0.0;0.00023675877846145337;0.004667167765647292;0.03310250969706297;0.0010386466700867474;0.0;0.0031615272150256985;0.0
51;J'ai un meilleur rendu et fondu avec un application au doigt plutôt qu'avec le pinceau, j'ai principalement appliqué le vert, les autres couleurs étant difficile à appliquer pour moi puisque je dois en mixer plusieurs pour pouvoir atténuer mes cernes. Je pense que les teintes ne sont pas adaptées à ma carnation,j'aurais besoin d'un anti-cernes plus jaune. Après application de mon fond de teint, le correcteur ne se perçoit pas et c'est le plus important qu'il camoufle les imperfections sans être visible.;0.0003423039127305816;0.0024357078519425647;0.00045085449478899156;0.003145137039450206;0.00016619250458938846;0.00413138877538543;0.0;0.0;0.00019389093985698762;0.0;0.04273409688556296;0.0;0.0002194096537773565;0.0005590095744728904;0.0
52;Livraison express comme d'abitude .;0.0014433211144744159;0.0;0.004344622728824711;0.004770565663456713;0.00864112066625612;8.741150441716306e-05;0.0;0.001936837870292567;0.0;0.0;0.0;0.0;0.005176050875049383;0.0;0.0008069115904179189
53;petit prix .;0.0;0.0;0.21986772080298173;0.0;0.0;0.0;0.0;0.0;0.0;0.0007528182684832427;0.014501337899686577;0.0;0.0;0.0;0.0
54;Bon shampoing pour déjaunir les cheveux mechés.;0.0;0.0;0.0;0.00023156576902822728;0.0;0.00047473889424247786;0.0;0.0;0.0006648754627629535;0.0;0.03205443128483774;0.0;0.000787203953564679;0.0;0.0016888540627635997
55;pratique avec sa pompe;0.0;0.002346805769141441;0.0001590178839673925;0.002180997256764995;0.0;0.0;0.0;0.0;0.001486445795052607;0.0026384201138615394;0.02500130899412942;0.000186718142093179;0.004042495741642016;0.004873984577549246;0.0
56;satisfaite de mon achat;0.0;4.571023018085668e-05;0.002494718537565433;0.0;0.005321121195055564;0.0;0.0;0.20657516565145287;0.0;0.0;0.0;0.0;0.0049207526546850055;0.0;0.0
57;Très bonne gamme, parfum doux et nourrit vraiment très bien le cheveux, je ne trouve pas mieux depuis ou sinon à chaque fois que j’ess Je reste déçu et reviens vite à ce masque;0.00034119426774521187;0.0;0.0004516990577612541;0.0;0.0;0.06081919662036247;0.0;0.0;0.0;0.0005856496972373956;0.04304594981144008;0.0007022046662892933;0.00657184728661608;0.0013040029481435913;0.0017580575214418274
58;Mascara allongeant qui tient toutes ses promesses. Noir intense. Brosse fine à pivots. Ne fait pas de paquets. Joli packaging.;0.0008531891228038799;0.0006572420167122862;0.0;0.0005361454694598365;0.0007211093914924059;0.0;0.0018344231203735548;0.0;0.0014709720813868088;0.0020038079497490258;0.024328335843938995;0.0007147990813243497;0.0011042385815324659;0.001839546216124747;0.0
59;très bon produit ! rien à dire;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
60;Première utilisation, une très petite quantité suffit pour se coiffer! (J'en ai mis trop ^^);0.0;0.0004760742388343457;0.012036939804241429;0.0;0.0005645680479881467;0.006905855827591872;8.340984804146753e-05;0.0;0.0;0.0029539897198277883;0.05097940671574002;0.0010959986210839928;0.0;0.0;0.00022554557822566202
61;Bonne tenue et comme annoncé, sans résidus, ne colle pas! Impeccable! Je le recommande !;0.06016920080410211;0.0007048631625659783;0.0033789396391672236;2.1419848834762258e-05;0.00011939688161073001;0.0;0.0008970209537354511;0.0;0.0;0.004202489016447263;0.004709333646434595;0.0;0.0019501856634813008;0.0;0.00046378660536675097
62;Bonne tenue des cheveux mais ne colle pas.;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
63;Très facile à utiliser;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2119754179055256;0.0;0.0;0.0;0.0
64;Achat conforme.;0.0;0.0003291848542799852;0.0021794709782088535;0.0;0.20868096921584012;0.0006445236679000473;0.0;0.011684935432451034;0.0;0.0;0.0;0.0;0.0048482288819381445;0.0;0.0
65;Juste parfait;0.0;0.0;0.0;0.3613840453799594;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
66;Il sent bon;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
67;Il est grand !;0.0;0.0005093473634002593;0.00552314439795585;0.0;0.0;0.0006627974973196168;0.0;0.0;0.00111645874158385;0.0;0.016433000672372744;0.0;0.0028657732555493892;0.005754732408765513;0.0017054565849980653
68;Le pot dur assez longtemps avec un lavage quotidien! Protégé parfaitement  les cheveux;0.00023025486758028858;0.0004471260542822755;0.001161200045230509;0.0015776644089848218;0.0004702479235156143;0.000522017578325552;0.0;0.0013936902624566972;0.0;0.0024138248537563206;0.014466736537749388;0.0017981020203387738;0.0;0.0011434964285830312;0.002170003445502275
69;-Re-Pigmenter les cheveux selon sa couleur naturelle....;0.0001223242219313286;0.0;0.0;0.0012038563536542516;0.0;0.0;0.00010282641249784316;0.0;0.0;0.0;0.03295314086143869;0.0004095912945469651;0.0;0.0002050105103761546;0.0
70;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
71;J'avoue qu'avant d'essayer le produit je n'étais pas convaincu ... D'autant que cela n'étais pas évident puisque la notice donne quelques contre indications... dont une qui me concerne ...les cheve;0.0009247210343607366;0.0;1.2786434617749602e-05;0.0;0.00025949624032160535;0.0009129298109630078;0.0020822760932860417;0.0382936931447835;0.0013422677676032853;0.0;0.011128077933542401;0.000625645074101548;0.0;0.0018785126482303788;0.0003910513789206754
72;il avait arreté la vente au supermarché et il était les mieux placé niveau prix, bon il on repris en supermarché et là par contre ce n'est plus avantageux de le prendre en ligne;6.37628350006398e-05;0.0002752683208736893;0.045869335972950044;0.0002052161093171644;0.0;0.0;0.0001442058000576602;0.0010078913224082268;0.0004363981030453549;0.0;0.008907243668694243;4.119936000450122e-05;0.0009545903270853569;5.006984626342253e-05;0.0
73;rien à dire sur la qualité prouvé de ce produit pour se faire des yeux de biche;0.0018375115726467117;3.4534297717844774e-05;0.0;0.0;0.0;0.0;0.003037098184733765;0.058510672663631934;0.09097816934609182;0.0;0.0018207441129192302;0.0010069952313153988;0.0;0.0003950237797905164;0.00035405072367033434
