;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
10;N'en reste pas moins une crème super agréable;0.0;0.00013341801995935432;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.776003059069126e-05;0.0;0.0;0.0;0.0011500079639267281;0.0;0.000819306416889218;0.0;0.00011506021709285143;0.002144350675780105;0.0;0.0;0.0;0.002037506301891299;0.000557570532403843;0.002081859738694262;0.0008597392069153866;0.00020926720607985426
11;Malheureusement présence de perturbateurs PROPYLENE GLYCOL, PHENOXYETHANOL et allergènes LINALOOL, LIMONENE mais en fin d'ingrédients donc en quantité faible.;0.0003174425145666185;0.000455564082199119;0.0019379513633634381;0.00016682250512320166;0.0;0.0;0.0;0.00040739360570766874;0.0004651740351050506;0.0017038389008628536;0.0;4.6044048321940765e-06;0.0;0.000520060761394313;0.0009860400536139094;0.0005300767033710177;0.0017514287223989145;0.0021621689693014107;0.0;0.0007104769617778967;0.0036944796771062414;0.00011678519640205822;0.0007814148016589685;0.007669566688244712;0.0002061663202634193;0.0;0.010142296497427698;0.0006154014589175188
12;remplit sa fonction;0.00012871592494650906;0.0;9.246553336713285e-06;0.0005654939896656578;0.00041426940218264227;0.0;0.0;0.00097739955729483;0.0003758508042120982;0.0004181031068537233;0.0008760264858411222;0.0;0.0002542525313859462;0.0;0.0;0.0;0.0;0.00015691062448865823;0.0;0.0;0.0;0.0;0.0;0.0;0.0024585148385937576;0.006241906274924524;0.0007606943353533947;0.0007227556451443226
13;Très bien pour le connaître depuis longtemps;0.00014894362345056967;0.0;0.0;0.00013817332502426933;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0006324678491471528;0.0;0.0;0.0;0.0;0.0;0.0032768969931896473;0.0;0.0;0.0;0.0;0.004607679277735252;0.0984110290286627;0.0;0.0;0.0
14;Je suis toujours fidèle à ce produit pour essayer de lutter contre le dessèchement capillaire lié à l'âge et aux balayages.;0.0003197518981445395;0.00016244272296346416;2.6587388515631316e-05;0.0011262940071517578;0.001078161473164277;0.0004487362129699589;8.120604403119934e-05;0.00013350731026705821;0.0;0.00020088217907815827;0.00152022187337327;0.0;0.0;0.00454828372109943;0.0;0.002321976513584935;0.0019348888271278884;0.0005583071921422448;0.0;0.0006303928623390051;0.0;0.0014061694012270844;0.0;0.0;0.028046335940401283;0.0;0.0;0.0002708266046913464
15;...comme les miens c'est le produit idéal qui évite le jaunissement des cheveux et en grande dose tel qu'il est présenté, c'est une utilisation de plusieurs mois;0.00014164494447015274;0.0;0.0;0.0012445213872850024;0.0;0.0;0.0005814800420903151;0.004385743639313985;0.000981409817479097;0.0020851531736523618;0.003533104784026696;0.0;0.0007350694735929629;0.0;0.04643512571069422;0.0;0.0007488848035702796;0.012894073975160493;0.0;0.012468539316712296;0.01134424211151348;0.002323163144699042;0.0;0.0;0.04075064400961358;0.002290241607451043;0.0205889575007547;0.0
16;De toute façon tout ce que fait L'OREAL est au top: ELSEVE pour les cheveux, MEN EXPERT, NARTA déodorant;0.0005446050791000078;0.0;0.0002769979172107365;0.0004384940986175317;0.0;0.0006079551739758488;0.0010316594894610519;0.0012361476372656735;0.0010977878206819454;0.000905516246158541;0.0;0.0026845532730349333;0.0;0.002761373580195132;0.0;0.0014085922162047854;0.0;0.001488989769453951;0.0;0.0014907738527376625;0.0;0.0;0.0;0.0;0.003790143358077899;0.00016013101807480512;0.0;0.0005231365598019387
17;Je me sers de tout cela depuis des années et avec une entière satisfaction;9.50953046165493e-05;0.0;0.0003639071061066902;8.411576174371824e-05;0.0;0.003096197810996431;0.0;0.0;0.009861355749520557;0.0009718118951155842;0.0017824555306490152;0.0;0.000324338217256482;0.0;0.0;3.0480344074439734e-06;0.0;0.0;0.00018632908635637314;0.02695484223237169;0.0006944735879160372;0.0;0.0009291931493336547;0.0006044554910522683;2.8834146105529007e-05;0.0007510758803776743;0.0013048669081884014;0.0006255346322392675
18;Philippe;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.122547654561926e-139
19;Ravie de retrouver mon mascara préféré sur ce site et à un.prix vraiment abordable..;0.0007267498143259615;0.05038848563248767;0.0009474337675238613;0.00044007727326776197;0.0029187162095584353;0.0008760746973651158;0.0010880213850098372;0.0;0.0;0.0024254510715570102;0.0025018714165360645;0.0016268634452582375;0.0;0.0024787229290973707;0.0011184510280687282;0.007633546504176592;0.0;0.0;0.0;0.013681103108946975;0.0;0.00040944695528655087;0.0015149684638482324;1.8508127246352452e-05;0.01855465651628725;0.0;0.0;0.0
