;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
14;abonné;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0030331436790951723;0.0;0.0;0.0;5.8422263394593724e-05;0.0;0.0;0.0;0.0;6.937745827122127e-05;0.0;0.00237019890926072;0.0001069929352243445
15;abordable;0.0;0.12485763046501179;0.013615984014161876;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0036259651928916806;0.0;0.0;0.004958783517349848;0.024477071926446423;0.0;0.0;0.0;0.0;0.0;0.00442999123712093;0.0;0.014238948894816982;0.02063951309770251;0.0;0.0;0.0
16;abricot;0.0;0.0;0.0007701179182258625;0.0022296667025068976;0.0;0.0;0.0015926713919928916;0.0;0.0;0.0;0.02277249254440727;0.0;0.0;0.000533730591096784;0.0;0.0;0.0;0.00013294056499945663;0.0;0.0;0.0;0.0;0.0;0.0;0.0014384893538921502;0.002715413621042729;0.0;0.0
17;abricotée;0.0;0.0;0.00034431774017022027;0.0008601180111147646;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0012757470208644294;0.0;0.0;0.0005259156145400955;0.0;0.0;0.0;0.001880470308447966;0.0;0.0;0.0;0.0;0.0;0.0018201334208565942;0.0;0.0
18;absence;0.0;0.0;0.0;0.0;0.007779890525274271;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01511664407588807;0.0;0.0;0.0;0.0;0.0025691233792753316;0.0;0.0;0.0;0.0;0.0;0.0;0.005949641705536098
19;absolut;0.0;0.0;0.000717574128147025;0.0;0.00231628726790958;0.0;0.0;0.0014732580126615576;0.012431198101385852;0.0;0.0;0.0;0.0033596609385530968;0.03179378224368235;0.0005946422619537347;0.0012778837502762934;0.013872000603457831;0.0;0.0;0.014168712052879529;0.0;0.0013985007397829912;0.0;0.0;0.0004795738674797399;0.0;0.0;0.0
20;absorbant;0.0;0.0;0.0;0.0021794465402203067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.744983364816165e-05;0.0;0.0;0.0038670811332618604;0.0;0.0;0.0;0.0;0.0;0.0;0.0003899786560028886;0.00025298865061507077;0.0;0.0005283112933285389;0.00030513236518272407;0.0;0.0
21;absorbantes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4919426570603538e-139
22;absorbe;0.0;0.0;0.0;0.005155966591977117;0.0;0.0;0.0;0.0;1.3289344224226291e-05;0.0;0.0;0.0;0.0;0.0;0.0005777007638279522;0.003106823154510898;0.00010733833810909097;0.0;0.0;0.0;0.0;0.0006732620650510149;2.747412719950153e-05;0.0;0.0;0.0;0.0;0.0
23;absorber;0.0;0.0;0.0;0.001056364920830618;0.0;0.0;0.0;0.0;0.00020969750788719487;0.0;0.0;0.0;0.0;0.0;0.0;0.002645875126373446;0.0;0.0007096373077745621;0.0;0.0010476870557476299;0.0;6.767670860471856e-05;0.0;0.0;0.0001653891426951783;2.964472653620673e-05;0.0;0.0
24;absorbé;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002669109935843714;0.00013948301307499042;0.0;0.0003484074371473223;0.0;0.0;0.0024604067262668458;0.0021370542459465793;0.0;0.0;0.0006252886774677264;4.3440294699461405e-05;0.0;0.0
25;absorbée;0.0;0.0;0.0;0.025968545405096074;0.0;0.0;0.0;0.0;0.0;0.0;0.005663154535237946;0.0;0.0033272453976506793;0.0;0.0030432947313230687;0.00699348479398503;0.0;0.0;0.0;0.0013805905290606895;0.0;0.006419191932446198;0.0;0.0;0.0003511773527632482;0.0;0.0;0.0002617673050638195
26;absorption;0.0;0.0;0.0;0.005789906983217764;0.0;0.0;0.007123578974408413;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011370633461092806;0.0;0.0;0.0;0.0;0.0;0.0
27;abstenir;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00031644729805806285;0.0;0.0;0.0;0.00015754524033824186;7.408074336594948e-05;0.0;0.0002083630493822557;0.0;0.0;0.00018024532227910994;1.836648988450989e-05;0.0;0.0002848552219229394;0.0024946768737904475;0.0;0.0;4.592314709268993e-05;0.0
28;abusé;0.0;0.004300111963119813;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.258603876260702e-05;0.0;0.0;0.0;0.0015725911201501504;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0019727392529984866
