;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
42;accorder;0.0;0.0;0.0;1.443646026548978e-05;0.00023261065734564304;3.459111697238653e-05;0.0;0.0;0.0001572153865345473;0.0;0.00012803114284677694;0.0;0.0;0.0;0.0007262467023953381;9.66020014041028e-05
43;accouchement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.844722268315702e-06;0.0008036883079291853;0.0;1.410053316749536e-05;4.0254425447914824e-05;0.0001636609143084161;0.0007184689583611188;0.00031598585195963583
44;accoucher;0.0;0.0006880071649266827;0.0;0.00014677147072692198;0.0;0.0;0.0;0.0;0.0;0.0;0.0002737004180450355;0.0;0.0;0.00012592141843665235;0.00027517542396941796;6.875749829181453e-05
45;accro;0.0;0.0;0.0;0.002665141378954705;0.0;0.0;0.0;0.0;0.0;0.0;0.00044630961094735806;0.0;0.0;0.0006952821872754071;0.000149802410442407;0.0002652630085065029
46;accroche;0.0;0.0;0.0;0.0038711201317200524;0.0;0.0;0.0;0.0;0.0;0.0002086059153763157;0.002895073118163707;0.0;0.0;0.0;0.0029511012467257096;0.0008786413525535886
47;accrochent;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000147739402354308;0.0026050015937982528;0.00023822742673488705
48;accueil;0.0;0.0003924635245425937;0.0;0.0;0.0;7.45250478914876e-05;0.0;0.0;0.0;0.0;0.0003841553670317506;0.0;0.0;0.0;0.0;0.00032758463720320867
49;accès;0.0;0.0;0.0;0.0;0.0;0.005733529503952228;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0038933103515547563;0.0005825301276025285
50;accélérer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00014642310393758612;0.0011634281231055724;0.0;0.0;2.1778672457909437e-06;9.148292640164636e-05;0.0002716629641919533;0.0001123844830764299
51;ach;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011279874720137003;0.0;0.0;0.0;0.0;0.0
52;achat;0.0;0.04877902145261822;0.0005904233739765113;0.008274035767006098;0.06311153063515527;0.18767448861498734;0.01278031264982269;0.016408644997040655;0.0063173814157675675;0.008363619457141121;0.017562325050200178;0.024068000190594893;0.0;0.005638754496179131;0.0;0.06838399235546791
53;achats;0.0;0.0;0.0015164586780893458;0.0025373873800521992;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00011977959805206053
54;ache;0.0;0.00014224298290219705;0.0;0.0;0.0;0.0;0.0;0.0;0.0003818362530227145;4.2333255333097814e-05;0.0003185919182324634;6.0299300263435114e-05;0.0;0.0;5.6860674048222905e-05;0.00032463117547220955
55;acheminement;0.001055113036757495;0.0033341460100439753;0.0;0.0;0.0;0.0;0.0021635720522835368;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008463020458651845
56;achetais;0.001032269638625814;0.007615275858632455;0.0;0.0;0.0;0.0;0.0;0.0;0.002967527730550403;0.0;0.004036445767739977;9.300469329275424e-05;6.671757233541596e-05;0.003150440161156755;0.001561102582717989;0.001637945476977791
57;achete;0.0;0.0;0.0;0.0;0.01836656576019989;0.0;0.0;0.0;0.00403525703035661;0.0;0.004471452433867557;0.0;0.0;0.0010988561798328253;0.0;0.0
58;acheter;0.00726259359646142;0.04425506257946114;0.0;0.0;0.002339124890284204;0.029191587294744598;0.0;0.02631190418328453;0.07533372410366733;0.02101704514645621;0.01216959532568967;0.007326579801558434;0.008037737377390433;0.027147686408718463;0.055383991687838065;0.15744810525211747
59;acheteur;0.0;0.0023631780399543667;0.0;0.0;0.0;0.0;0.0;0.0;0.0006411570607484466;0.0;0.0;0.007233802978307539;0.0;0.00018744235852614157;0.0;0.000992146902448204
60;achetez;0.0;0.00013414046139292998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00021614210157527614;0.0;0.0;0.0015394144650990058;0.0005260334192669427;0.0002956702806332883
61;achette;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009357678330382454;0.0;0.0;0.0;0.0;0.0
