,pos_tagged_coms
20,"[('Pour', 'P'), ('du', 'P'), ('l', 'NC'), ('Oréal', 'N'), ('il', 'CLS'), ('est', 'V'), ('de', 'P'), ('très', 'ADV'), ('mauvaise', 'ADJ'), ('qualité', 'NC'), ('il', 'CLS'), ('colle', 'V'), ('et', 'CC'), ('bave', 'V'), ('après', 'P'), ('moins', 'ADV'), ('de', 'P'), ('2h', 'NC'), ('vraiment', 'ADV'), ('je', 'CLS'), ('ne', 'ADV'), ('le', 'CLO'), ('recommande', 'V'), ('pas', 'ADV'), ('du', 'P'), ('tout', 'ADJ'), ('pour', 'P'), ('tester', 'VINF'), ('pas', 'ADV'), ('mal', 'ADV'), ('de', 'P'), ('produits', 'NC'), ('il', 'CLS'), ('fait', 'V'), ('parti', 'NC'), ('des', 'P'), ('plus', 'ADV'), ('mauvais', 'ADJ')]"
21,"[('Brosse', 'N'), ('agréable', 'ADJ'), (',', 'PUNC'), ('cils', 'NC'), ('déployés', 'VPP'), (',', 'PUNC'), ('sans', 'P'), ('paquets', 'NC'), ('.', 'PUNC'), ('Odeur', 'N'), ('agréable', 'ADJ'), ('.', 'PUNC'), ('Prix', 'N'), ('raisonnable', 'ADJ'), ('.', 'PUNC')]"
22,"[('Texture', 'NC'), ('super', 'ADJ'), ('agréable', 'ADJ'), (',', 'PUNC'), ('j', 'NC'), ('’', 'DET'), ('adore', 'NC'), ('!', 'PUNC')]"
23,"[('Je', 'CLS'), ('recommande', 'V'), ('ce', 'DET'), ('produit', 'NC'), ('que', 'PROREL'), (""j'"", 'CLS'), ('utilise', 'V'), ('depuis', 'P'), ('longtemps', 'ADV'), ('et', 'CC'), ('qui', 'PROREL'), ('fait', 'V'), ('son', 'DET'), ('effet', 'NC'), ('de', 'P'), ('coiffure', 'NC'), ('naturelle', 'ADJ'), ('sans', 'P'), ('laque', 'N'), ('-', 'PUNC'), ('A', 'P'), ('essayer', 'VINF'), ('sans', 'P'), ('réserve', 'N'), ('-', 'PUNC')]"
24,"[('Très', 'ADV'), ('bon', 'ADJ'), ('produit', 'NC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('je', 'CLS'), (""l'"", 'CLO'), ('utilise', 'V'), ('depuis', 'P'), ('6', 'DET'), ('mois', 'NC'), ('et', 'CC'), (""j'"", 'CLS'), ('en', 'CLO'), ('suis', 'V'), ('plus', 'ADV'), ('que', 'ADV'), ('satisfaite', 'ADJ'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('rapport', 'N'), ('qualité', 'N'), ('prix', 'N'), ('également', 'ADV'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('livraison', 'NC'), ('plus', 'ADV'), ('que', 'C'), ('correcte', 'ADJ')]"
25,"[('Ce', 'DET'), ('mascara', 'NC'), ('est', 'V'), ('super', 'ADJ'), ('.', 'PUNC'), ('Je', 'CLS'), ('l', 'V'), ('’', 'DET'), ('utiluse', 'NC'), ('Depuis', 'P'), ('des', 'DET'), ('années', 'NC'), ('.', 'PUNC'), ('Par', 'P'), ('contre', 'P'), ('vous', 'PRO'), ('devez', 'VIMP'), ('savoir', 'VINF'), ('que', 'CS'), ('ce', 'DET'), ('vendeur', 'NC'), ('va', 'V'), ('vous', 'CLS'), ('l', 'CLR'), ('’', 'V'), ('envoyer', 'VINF'), ('sans', 'P'), ('blister', 'VINF'), ('.', 'PUNC'), ('Vous', 'CLS'), ('allez', 'V'), ('le', 'CLO'), ('recevoir', 'VINF'), ('dans', 'P'), ('une', 'DET'), ('enveloppe', 'NC'), ('toute', 'ADJ'), ('simple', 'ADJ'), ('.', 'PUNC'), ('Cela', 'PRO'), ('n', 'N'), ('’', 'N'), ('est', 'V'), ('pas', 'ADV'), ('mentionné', 'VPP'), ('dans', 'P'), ('le', 'DET'), ('descriptif', 'NC'), ('.', 'PUNC')]"
26,"[('Le', 'DET'), ('seul', 'ADJ'), ('qui', 'PROREL'), ('ne', 'ADV'), ('me', 'CLO'), ('fais', 'V'), ('pas', 'ADV'), ('pleurer', 'VINF'), ('les', 'DET'), ('yeux', 'NC'), ('et', 'CC'), ('que', 'CS'), ('je', 'CLS'), ('supporte', 'V'), ('et', 'CC'), ('qui', 'PROREL'), ('est', 'V'), ('bien', 'ADV'), ('noir', 'ADJ'), ('je', 'CLS'), ('recommande', 'V'), ('je', 'CLS'), ('ne', 'ADV'), ('prend', 'V'), ('que', 'ADV'), ('celui', 'PRO'), ('la', 'DET')]"
27,
28,"[(""j'"", 'CLS'), ('ai', 'V'), ('les', 'DET'), ('cheveux', 'NC'), ('vraiment', 'ADV'), ('très', 'ADV'), ('très', 'ADV'), ('sec', 'ADJ'), ('et', 'CC'), ('ce', 'DET'), ('shampoing', 'NC'), ('les', 'DET'), ('répare', 'NC'), ('très', 'ADV'), ('très', 'ADV'), ('bien', 'ADV'), ('.', 'PUNC'), ('obligé', 'VPP'), ('de', 'P'), ('faire', 'VINF'), ('une', 'DET'), ('dissertation', 'NC'), ('c', 'DET'), ('relou', 'NC')]"
29,"[('Heureusement', 'ADV'), ('que', 'C'), ('sur', 'P'), ('le', 'DET'), ('net', 'NC'), ('il', 'CL'), ('y', 'CL'), ('a', 'V'), ('des', 'DET'), ('tutoriels', 'NC'), ('parce', 'C'), ('que', 'C'), ('le', 'DET'), ('moins', 'ADV'), ('qu', 'ADJ'), (""'"", 'NC'), ('on', 'CLS'), ('puisse', 'VS'), ('dire', 'VINF'), (""c'"", 'CLS'), ('est', 'V'), ('débrouille', 'ADJ'), ('toi', 'CL'), ('avec', 'P'), ('ce', 'DET'), ('qu', 'NC'), (""'"", 'ADJ'), ('on', 'CLS'), ('te', 'CLO'), ('vend', 'V'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('De', 'P'), ('la', 'DET'), ('part', 'N'), (""d'"", 'P'), ('une', 'DET'), ('si', 'ADV'), ('grande', 'ADJ'), ('marque', 'NC'), (""c'"", 'CLS'), ('est', 'V'), ('pauvre', 'ADJ'), (',', 'PUNC'), ('(', 'DET'), ('mais', 'CC'), ('pas', 'ADV'), ('le', 'DET'), ('prix', 'NC'), (')', 'ADJ'), ('!', 'PUNC'), ('Efficacité', 'NC'), ('prouvée', 'VPP'), ('grâce', 'N'), ('à', 'P'), ('ma', 'DET'), ('fille', 'NC'), (',', 'PUNC'), ('venue', 'VPP'), ('pour', 'P'), ('me', 'CLO'), ('conseiller', 'VINF'), (',', 'PUNC'), ('et', 'CC'), ('à', 'P'), ('qui', 'PROREL'), (""j'"", 'CLS'), ('ai', 'V'), ('offert', 'VPP'), ('le', 'DET'), ('deuxième', 'ADJ'), ('produit', 'NC'), ('.', 'PUNC')]"
30,"[(""J'"", 'CLS'), ('ai', 'V'), ('les', 'DET'), ('cheveux', 'NC'), ('courts', 'ADJ'), ('Je', 'CLS'), ('cherchais', 'V'), ('une', 'DET'), ('cire', 'NC'), ('qui', 'PROREL'), ('tienne', 'VS'), ('mes', 'DET'), ('cheveux', 'NC'), (',', 'PUNC'), ('ne', 'ADV'), ('les', 'CLO'), ('rendent', 'V'), ('pas', 'ADV'), ('gras', 'ADJ'), (',', 'PUNC'), ('ni', 'CC'), (""d'"", 'P'), ('effet', 'N'), ('mouillé', 'ADJ'), ('et', 'CC'), ('que', 'CS'), ('je', 'CLS'), ('puisse', 'VS'), ('resculpter', 'VINF'), ('Cette', 'DET'), ('cire', 'NC'), ('fait', 'V'), ('son', 'DET'), ('office', 'NC'), (',', 'PUNC'), (""j'"", 'CLS'), ('en', 'CLO'), ('ai', 'V'), ('essayé', 'VPP'), ('plusieurs', 'DET'), ('et', 'CC'), (""c'"", 'CLS'), ('est', 'V'), ('la', 'DET'), ('seul', 'ADJ'), ('qui', 'PROREL'), ('arrive', 'V'), ('au', 'P'), ('niveau', 'NC'), ('de', 'P'), (""L'"", 'DET'), ('Oréal', 'N'), ('adixion', 'ADJ'), ('pour', 'P'), ('homme', 'NC'), ('qui', 'PROREL'), (""n'"", 'ADV'), ('existe', 'V'), ('plus', 'ADV'), (""J'"", 'CLS'), ('en', 'CLO'), ('ai', 'V'), ('même', 'ADV'), ('acheté', 'VPP'), ('plusieurs', 'DET'), ('pots', 'N'), ('vu', 'V'), ('mon', 'DET'), ('niveau', 'NC'), ('de', 'P'), ('satisfaction', 'NC')]"
