,pos_tagged_coms
1776,"[('Bonjour', 'I'), ('voici', 'P'), ('le', 'DET'), ('soin', 'NC'), ('anti', 'ADJ'), ('age', 'V'), ('pour', 'P'), ('homme', 'N'), ('men', 'ET'), ('expert', 'N'), ('de', 'P'), (""l'"", 'DET'), ('oreal', 'NC'), ('.', 'PUNC'), ('Vitalift', 'NPP'), ('est', 'V'), ('une', 'DET'), ('crème', 'N'), ('non', 'ADV'), ('grasse', 'ADJ'), ('et', 'CC'), ('non', 'ADV'), ('collante', 'ADJ'), ('contre', 'P'), ('les', 'DET'), ('effets', 'NC'), ('du', 'P'), ('vieillissment', 'NC'), ('Enrichie', 'NPP'), ('en', 'P'), ('extrait', 'V'), ('de', 'P'), ('vigne', 'NC'), (',', 'PUNC'), ('protège', 'V'), ('contre', 'P'), ('les', 'DET'), ('agressions', 'NC'), ('extérieures', 'ADJ'), (""L'"", 'DET'), ('odeur', 'NC'), ('du', 'P'), ('produit', 'NC'), ('est', 'V'), ('bien', 'ADV'), ('et', 'C'), ('elle', 'CLS'), ('ne', 'ADV'), ('coute', 'V'), ('pas', 'ADV'), ('plus', 'ADV'), ('cher', 'ADJ'), ('qu', 'NC'), (""'"", 'ADJ'), ('un', 'DET'), ('masque', 'NC'), ('pour', 'P'), ('le', 'DET'), ('visage', 'NC'), ('.', 'PUNC'), ('Je', 'CLS'), ('suis', 'V'), ('satisfait', 'VPP'), ('par', 'P'), ('ce', 'DET'), ('produit', 'NC'), ('.', 'PUNC')]"
1777,"[('Texture', 'NC'), ('agréable', 'ADJ'), ('ni', 'CC'), ('trop', 'ADV'), ('grasse', 'ADJ'), ('ni', 'CC'), ('trop', 'ADV'), ('légère', 'ADJ'), ('.', 'PUNC'), ('Bonne', 'ADJ'), ('hydration', 'NC'), ('.', 'PUNC'), ('En', 'P'), ('revanche', 'N'), ('je', 'CLS'), ('ne', 'ADV'), ('suis', 'V'), ('pas', 'ADV'), ('très', 'ADV'), ('fan', 'ADJ'), ('du', 'P'), ('pigment', 'NC'), ('rose', 'ADJ'), ('car', 'CC'), (""j'"", 'CLS'), ('ai', 'V'), ('des', 'DET'), ('rougeurs', 'NC'), ('.', 'PUNC'), ('Plus', 'ADV'), ('adaptée', 'VPP'), ('pour', 'P'), ('des', 'DET'), ('peaux', 'NC'), ('plus', 'ADV'), ('matures', 'ADJ'), ('qui', 'PROREL'), ('ont', 'V'), ('tendance', 'NC'), ('à', 'P'), ('perdre', 'VINF'), ('de', 'P'), ('la', 'DET'), ('couleur', 'NC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), (""J'"", 'CLS'), ('ai', 'V'), ('52', 'DET'), ('ans', 'NC'), ('.', 'PUNC')]"
1778,
1779,"[('Impeccable', 'ADJ'), (',', 'PUNC'), ('livraison', 'NC'), ('rapide', 'ADJ'), (',', 'PUNC'), ('bon', 'ADJ'), ('emballage', 'NC'), (',', 'PUNC'), ('il', 'CLS'), ('ne', 'ADV'), (""s'"", 'CLR'), ('agit', 'V'), ('pas', 'ADV'), (""d'"", 'P'), ('une', 'DET'), ('contrefaçon', 'NC')]"
1780,"[('Très', 'ADV'), ('bon', 'ADJ'), ('produit', 'NC'), (""l'"", 'DET'), ('oréal', 'NC'), ('professionel', 'ADJ'), ('.', 'PUNC'), ('Je', 'CLS'), (""l'"", 'CLO'), ('utilise', 'V'), ('après', 'P'), ('avoir', 'VINF'), ('fais', 'V'), ('mon', 'DET'), ('brushing', 'NC'), (':', 'PUNC'), ('il', 'CLS'), ('laisse', 'V'), ('mes', 'DET'), ('cheveux', 'NC'), ('tout', 'ADJ'), ('doux', 'ADJ'), (',', 'PUNC'), ('brillant', 'VPR'), ('et', 'CC'), ('je', 'CLS'), ('dois', 'V'), ('dire', 'VINF'), ('que', 'CS'), (""l'"", 'DET'), ('odeur', 'NC'), ('est', 'V'), ('divine', 'ADJ'), ('.', 'PUNC'), ('Vous', 'CLS'), ('pouvez', 'V'), (""l'"", 'CLO'), ('acheter', 'VINF'), ('les', 'DET'), ('yeux', 'NC'), ('fermés', 'ADJ'), ('.', 'PUNC'), ('(', 'DET'), ('petit', 'ADJ'), ('conseil', 'NC'), (':', 'PUNC'), ('un', 'DET'), ('seul', 'ADJ'), ('coup', 'N'), ('de', 'P'), ('pompe', 'N'), ('suffit', 'V'), ('pour', 'P'), ('vos', 'DET'), ('cheveux', 'NC'), (',', 'PUNC'), ('frottez', 'VIMP'), ('bien', 'ADV'), ('vos', 'DET'), ('mains', 'NC'), ('pour', 'P'), ('faire', 'VINF'), ('""', 'PUNC'), ('chauffer', 'VINF'), ('""', 'PUNC'), (""l'"", 'DET'), ('huile', 'NC'), ('et', 'CC'), ('appliquer', 'VINF'), ('sur', 'P'), (""l'"", 'DET'), ('ensemble', 'NC'), ('des', 'P'), ('cheveux', 'NC'), (')', 'ADJ')]"
1781,"[('Le', 'DET'), ('pack', 'NC'), ('ne', 'ADV'), ('correspond', 'V'), ('à', 'P'), (""l'"", 'DET'), ('image', 'NC'), (',', 'PUNC'), (""c'"", 'CLS'), ('est', 'V'), ('le', 'DET'), ('produit', 'NC'), ('avant', 'P'), ('2016', 'N'), ('.', 'PUNC'), ('Le', 'DET'), ('numéro', 'NC'), ('de', 'P'), ('lot', 'NC'), ('et', 'CC'), ('la', 'DET'), ('date', 'NC'), ('de', 'P'), ('péremption', 'NC'), ('ont', 'V'), ('étés', 'VPP'), ('découpés', 'VPP'), ('du', 'P'), ('pack', 'NC'), ('pour', 'P'), ('qu', 'ET'), (""'"", 'ET'), ('on', 'CLS'), ('ne', 'ADV'), ('puisse', 'VS'), ('pas', 'ADV'), ('vérifier', 'VINF'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('Ce', 'DET'), ('ne', 'ADV'), ('serait', 'V'), ('pas', 'ADV'), ('gênant', 'VPR'), ('si', 'ADV'), ('ça', 'PRO'), ('correspondait', 'V'), ('à', 'P'), ('ma', 'DET'), ('carnation', 'NC'), ('mais', 'CC'), ('ce', 'CLS'), (""n'"", 'ADV'), ('est', 'V'), ('pas', 'ADV'), ('le', 'DET'), ('cas', 'NC'), (',', 'PUNC'), ('alors', 'ADV'), ('que', 'C'), (""j'"", 'CLS'), ('ai', 'V'), ('pris', 'VPP'), ('la', 'DET'), ('même', 'ADJ'), ('que', 'CS'), (""d'"", 'P'), ('habitude', 'NC'), ('.', 'PUNC'), ('À', 'P'), ('éviter', 'VINF'), (',', 'PUNC'), ('produit', 'V'), ('déceptif', 'ADJ'), (',', 'PUNC'), ('ne', 'ADV'), ('correspondant', 'VPR'), ('pas', 'ADV'), ('à', 'P'), (""l'"", 'DET'), ('original', 'ADJ'), ('de', 'P'), (""l'"", 'DET'), ('Oréal', 'N'), ('.', 'PUNC')]"
1782,"[('Je', 'CLS'), (""n'"", 'ADV'), ('ai', 'V'), ('pas', 'ADV'), ('assez', 'ADV'), ('fait', 'VPP'), ('attention', 'NC'), ('à', 'P'), ('la', 'DET'), ('description', 'NC'), ('du', 'P'), ('produit', 'NC'), ('en', 'P'), ('le', 'DET'), ('sélectionnant', 'NC'), (',', 'PUNC'), ('et', 'CC'), (""c'"", 'CLS'), ('est', 'V'), ('au', 'P'), ('moment', 'N'), ('de', 'P'), (""l'"", 'CLO'), ('appliquer', 'VINF'), ('que', 'CS'), (""j'"", 'CLS'), ('ai', 'V'), ('pris', 'VPP'), ('conscience', 'NC'), ('des', 'P'), ('risques', 'NC'), ('avérés', 'VPP'), (""d'"", 'P'), ('allergie', 'NC'), ('.', 'PUNC'), ('Ayant', 'VPR'), ('un', 'DET'), ('terrain', 'NC'), ('sensible', 'ADJ'), ('et', 'CC'), ('déjà', 'ADV'), ('fait', 'VPP'), ('un', 'DET'), ('œdème', 'NC'), ('de', 'P'), ('Quincke', 'NPP'), (',', 'PUNC'), (""j'"", 'CLS'), ('avoue', 'V'), ('que', 'CS'), ('je', 'CLS'), ('me', 'CLR'), ('suis', 'V'), ('courageusement', 'ADV'), ('défilé', 'VPP'), ('et', 'CC'), ('que', 'CS'), (""j'"", 'CLS'), ('ai', 'V'), ('préféré', 'VPP'), ('renoncer', 'VINF'), ('au', 'P'), ('test', 'NC'), (',', 'PUNC'), ('en', 'P'), ('lui', 'CLO'), ('accordant', 'VPR'), ('une', 'DET'), ('note', 'NC'), ('moyenne', 'ADJ'), ('dans', 'P'), ('le', 'DET'), ('doute', 'N'), ('.', 'PUNC'), (""L'"", 'DET'), ('app', 'NC'), ('Yuka', 'NPP'), ('lui', 'CLO'), ('accorde', 'V'), ('une', 'DET'), ('note', 'NC'), ('de', 'P'), ('51', 'DET'), ('/', 'PUNC'), ('100', 'DET'), ('avec', 'P'), ('7', 'DET'), ('composants', 'NC'), ('présentant', 'VPR'), ('un', 'DET'), ('""', 'PUNC'), ('risque', 'NC'), ('faible', 'ADJ'), ('""', 'PUNC'), (""d'"", 'P'), ('allergie', 'NC'), ('ou', 'CC'), (""d'"", 'P'), ('irritation', 'NC'), ('.', 'PUNC'), ('Comme', 'P'), ('la', 'DET'), ('plupart', 'N'), ('de', 'P'), ('ces', 'DET'), ('composants', 'NC'), ('sont', 'V'), ('des', 'DET'), ('parfums', 'NC'), ('–', 'ADJ'), ('a', 'ET'), ('priori', 'ET'), ('pas', 'ADV'), ('indispensables', 'ADJ'), (',', 'PUNC'), ('donc', 'ADV'), ('–', 'DET'), (',', 'PUNC'), (""n'"", 'ADV'), ('aurait', 'V'), ('-', 'PUNC'), ('il', 'CLS'), ('pas', 'ADV'), ('été', 'VPP'), ('possible', 'ADJ'), ('de', 'P'), ('réduire', 'VINF'), ('la', 'DET'), ('nocivité', 'NC'), ('potentielle', 'ADJ'), ('de', 'P'), ('cette', 'DET'), ('teinture', 'NC'), ('?', 'PUNC')]"
1783,"[('Produit', 'NC'), ('miracle', 'ADJ'), (""j'"", 'CLS'), ('ai', 'V'), ('mes', 'DET'), ('cheveux', 'NC'), ('mèche', 'ADJ'), ('décolore', 'ADJ'), ('et', 'CC'), ('avec', 'P'), ('ce', 'DET'), ('schampoîng', 'NC'), ('ils', 'CLS'), ('ont', 'V'), ('énormément', 'ADV'), ('éclairssis', 'VPP'), ('on', 'CLS'), ('me', 'CLO'), ('demande', 'V'), ('souvent', 'ADV'), ('si', 'CS'), ('jai', 'DET'), ('fait', 'NC'), ('de', 'P'), ('nouveaux', 'ADJ'), ('des', 'P'), ('mèches', 'NC')]"
1784,"[('(', 'NC'), ('+', 'P'), (')', 'DET'), ('Un', 'DET'), ('produit', 'NC'), ('""', 'PUNC'), ('multi', 'ADJ'), ('-', 'PUNC'), ('fonction', 'N'), ('""', 'PUNC'), ('pour', 'P'), ('le', 'DET'), ('visage', 'NC'), (':', 'PUNC'), ('gain', 'NC'), ('de', 'P'), ('temps', 'NC'), ('.', 'PUNC'), ('(', 'NC'), ('+', 'P'), (')', 'DET'), ('Le', 'DET'), ('petit', 'ADJ'), ('bouchon', 'NC'), ('pour', 'P'), ('obturer', 'VINF'), ('le', 'DET'), ('conduit', 'V'), ('de', 'P'), ('distribution', 'NC'), ('(', 'N'), ('afin', 'P'), (""d'"", 'P'), ('éviter', 'VINF'), ('à', 'P'), ('la', 'DET'), ('crème', 'N'), ('restant', 'VPR'), ('dans', 'P'), ('le', 'DET'), ('poussoir', 'NC'), ('de', 'P'), ('sécher', 'VINF'), (')', 'DET'), ('(', 'DET'), ('+', 'P'), (')', 'DET'), ('Un', 'DET'), ('container', 'VINF'), ('en', 'P'), ('plastique', 'NC'), (':', 'PUNC'), ('pas', 'ADV'), ('trop', 'ADV'), ('lourd', 'ADJ'), ('et', 'CC'), ('sans', 'P'), ('risque', 'NC'), ('de', 'P'), ('casse', 'V'), ('.', 'PUNC'), ('(', 'DET'), ('+', 'P'), (')', 'DET'), ('Un', 'DET'), ('prix', 'NC'), ('attractif', 'ADJ'), ('.', 'PUNC'), ('(', 'DET'), ('±', 'DET'), (')', 'DET'), ('Une', 'DET'), ('formule', 'NC'), ('un', 'DET'), ('peu', 'ADV'), ('trop', 'ADV'), ('pâteuse', 'ADJ'), ('à', 'P'), ('mon', 'DET'), ('goût', 'NC'), (':', 'PUNC'), ('je', 'CLS'), ('préfère', 'V'), ('les', 'DET'), ('émulsions', 'NC'), ('plus', 'ADV'), ('fluide', 'ADJ'), ('(', 'NC'), ('plus', 'ADV'), ('facile', 'ADJ'), ('à', 'P'), ('appliquer', 'VINF'), (')', 'DET'), ('(', 'NC'), ('!', 'PUNC'), (')', 'DET'), ('Sur', 'P'), ('les', 'DET'), ('?', 'PUNC'), ('38', 'DET'), ('composants', 'NC'), ('de', 'P'), ('la', 'DET'), ('formule', 'NC'), (',', 'PUNC'), ('1', 'DET'), ('est', 'V'), ('classé', 'VPP'), ('""', 'PUNC'), ('controversé', 'VPP'), ('""', 'PUNC'), ('(', 'NC'), ('à', 'P'), ('risque', 'V'), (')', 'DET'), ('et', 'CC'), ('7', 'DET'), ('sont', 'V'), ('classés', 'VPP'), ('""', 'PUNC'), ('pas', 'ADV'), ('terrible', 'ADJ'), ('""', 'PUNC'), ('.', 'PUNC'), ('Ça', 'PRO'), ('refroidit', 'V'), ('un', 'DET'), ('peu', 'ADV'), (""d'"", 'P'), ('en', 'CLO'), ('faire', 'VINF'), ('un', 'DET'), ('usage', 'NC'), ('très', 'ADV'), ('fréquent', 'ADJ'), ('!', 'PUNC'), ('Je', 'CLS'), ('préférerai', 'V'), ('un', 'DET'), ('prix', 'NC'), ('plus', 'ADV'), ('élevé', 'ADJ'), ('et', 'CC'), ('un', 'DET'), ('produit', 'NC'), ('100', 'DET'), ('%', 'NC'), ('sur', 'P'), ('au', 'DET'), ('niveau', 'NC'), ('des', 'P'), ('ingrédients', 'NC'), ('.', 'PUNC')]"
1785,"[('Le', 'DET'), ('produit', 'NC'), ('est', 'V'), ('conforme', 'ADJ'), ('à', 'P'), ('la', 'DET'), ('photo', 'NC'), ('.', 'PUNC'), ('Il', 'CLS'), ('est', 'V'), ('arrivé', 'VPP'), ('rapidement', 'ADV'), ('et', 'CC'), ('en', 'P'), ('bonne', 'ADJ'), ('état', 'NC'), ('.', 'PUNC'), ('Je', 'CLS'), (""l'"", 'CLO'), ('utilise', 'V'), ('pour', 'P'), ('aider', 'VINF'), ('à', 'P'), ('démêler', 'VINF'), ('les', 'DET'), ('cheveux', 'NC'), ('de', 'P'), ('ma', 'DET'), ('fille', 'NC'), ('et', 'CC'), ('en', 'P'), ('soin', 'NC'), ('pour', 'P'), ('mes', 'DET'), ('cheveux', 'NC'), ('coloré', 'ADJ'), (',', 'PUNC'), ('ça', 'PRO'), ('marche', 'V'), ('très', 'ADV'), ('bien', 'ADV'), ('.', 'PUNC')]"
1786,"[('Comme', 'P'), ('tous', 'ADJ'), ('les', 'DET'), ('shampoings', 'NC'), ('loreal', 'ADJ'), ('professionnel', 'ADJ'), (',', 'PUNC'), ('ce', 'DET'), ('shampoing', 'NC'), ('est', 'V'), ('réellememt', 'ADJ'), ('bénéfique', 'ADJ'), ('pour', 'P'), ('les', 'DET'), ('cheveux', 'NC'), ('.', 'PUNC'), ('Il', 'CLS'), ('faut', 'V'), ('cependant', 'ADV'), ('adpater', 'VINF'), ('la', 'DET'), ('gamme', 'NC'), ('au', 'P'), ('tyoe', 'NC'), ('de', 'P'), ('cheveux', 'NC'), ('pour', 'P'), ('plus', 'ADV'), (""d'"", 'P'), ('efficacite', 'NC')]"
1787,"[(""j'"", 'CLS'), ('ai', 'V'), ('deja', 'ADV'), ('commande', 'NC'), ('a', 'V'), ('plusieurs', 'DET'), ('reprise', 'NC'), ('ce', 'DET'), ('produit', 'NC'), ('qui', 'PROREL'), ('est', 'V'), ('remarquable', 'ADJ'), ('etvd', 'ET'), (""'"", 'ET'), ('une', 'DET'), ('utilisation', 'NC'), ('remaquable', 'ADJ'), ('on', 'CLS'), (""n'"", 'ADV'), ('en', 'CLO'), ('met', 'V'), ('pas', 'ADV'), ('partout', 'ADV'), ('avec', 'P'), ('ce', 'DET'), ('syteme', 'NC'), ('de', 'P'), ('pulverisation', 'NC')]"
1788,"[(""J'"", 'CLS'), ('utilise', 'V'), ('ce', 'DET'), ('gel', 'NC'), ('depuis', 'P'), ('des', 'DET'), ('années', 'NC'), ('il', 'CLS'), ('convient', 'V'), ('parfaitement', 'ADV'), ('à', 'P'), ('mes', 'DET'), ('attentes', 'NC'), ('(', 'ADJ'), ('façonner', 'VINF'), ('et', 'CC'), ('structurer', 'VINF'), ('les', 'DET'), ('mèches', 'NC'), ('sur', 'P'), ('une', 'DET'), ('coupe', 'NC'), ('courte', 'ADJ'), (')', 'ADJ'), ('et', 'CC'), ('je', 'CLS'), ('suis', 'V'), ('vraiment', 'ADV'), ('satisfaite', 'VPP'), ('des', 'DET'), ('commandes', 'NC'), ('effectuées', 'VPP'), (':', 'PUNC'), ('rapport', 'N'), ('qualité', 'N'), ('/', 'PUNC'), ('prix', 'N'), ('/', 'PUNC'), ('livraison', 'NC'), ('sur', 'P'), ('le', 'DET'), ('site', 'NC')]"
1789,"[('*', 'PUNC'), ('*', 'PUNC'), ('*', 'PUNC'), (""J'"", 'CLS'), ('actualise', 'V'), ('mon', 'DET'), ('commentaire', 'NC'), ('après', 'P'), ('plusieurs', 'DET'), ('utilisations', 'NC'), (':', 'PUNC'), ('après', 'P'), ('4', 'DET'), ('ou', 'CC'), ('5', 'DET'), ('applications', 'NC'), ('sans', 'P'), ('soucis', 'NC'), ('apparant', 'ADJ'), (',', 'PUNC'), ('la', 'DET'), ('dernière', 'ADJ'), ('application', 'NC'), (""m'"", 'CLO'), ('a', 'V'), ('causé', 'VPP'), ('de', 'DET'), ('fortes', 'ADJ'), ('rougeurs', 'NC'), ('à', 'P'), ('la', 'DET'), ('kimite', 'NC'), ('de', 'P'), ('la', 'DET'), ('brûlure', 'NC'), ('.', 'PUNC'), ('Cettd', 'NPP'), ('soudaine', 'ADJ'), ('intolérance', 'NC'), ('a', 'V'), ('envoyé', 'VPP'), ('ce', 'DET'), ('produit', 'NC'), ('à', 'P'), ('la', 'DET'), ('poubelle', 'NC'), ('.', 'PUNC'), ('*', 'PUNC'), ('*', 'PUNC'), ('*', 'PUNC'), ('utilisé', 'VPP'), ('en', 'P'), ('base', 'N'), ('pour', 'P'), ('unifier', 'VINF'), ('avant', 'P'), ('maquillage', 'NC'), ('.', 'PUNC'), ('Sa', 'DET'), ('texture', 'NC'), ('fluide', 'ADJ'), ('et', 'CC'), ('légère', 'ADJ'), ('la', 'CLO'), ('rend', 'V'), ('facile', 'ADJ'), ('à', 'P'), ('appliquer', 'VINF'), ('et', 'CC'), ('très', 'ADV'), ('supportable', 'ADJ'), ('même', 'ADV'), ('par', 'P'), ('temps', 'N'), ('chaud', 'ADJ'), ('.', 'PUNC'), ('Son', 'DET'), ('aspect', 'NC'), ('matifiant', 'ADJ'), ('évite', 'V'), (""l'"", 'DET'), ('aspect', 'NC'), ('brillant', 'VPR'), ('même', 'ADV'), ('sans', 'P'), ('fond', 'N'), ('de', 'P'), ('teint', 'N'), ('.', 'PUNC'), (""J'"", 'CLS'), ('ai', 'V'), ('une', 'DET'), ('peau', 'NC'), ('très', 'ADV'), ('sensible', 'ADJ'), ('et', 'CC'), ('suis', 'V'), ('habituée', 'VPP'), ('aux', 'P'), ('produits', 'NC'), ('type', 'NC'), ('Laroche', 'NPP'), ('-', 'PUNC'), ('Posay', 'NPP'), ('.', 'PUNC'), (""J'"", 'CLS'), ('ai', 'V'), ('pourtant', 'ADV'), ('bien', 'ADV'), ('supporté', 'VPP'), ('cette', 'DET'), ('base', 'NC'), ('matifiante', 'ADJ'), ('après', 'P'), ('2', 'DET'), ('utilisations', 'NC'), ('.', 'PUNC')]"
1790,"[('Le', 'DET'), ('mascara', 'NC'), ('est', 'V'), ('arrivé', 'VPP'), ('tout', 'ADV'), ('sec', 'ADV'), ('!', 'PUNC'), ('Impossible', 'ADJ'), ('de', 'P'), (""l'"", 'CLO'), ('utiliser', 'VINF'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC')]"
1791,"[('Gel', 'NC'), ('avec', 'P'), ('une', 'DET'), ('bonne', 'ADJ'), ('tenue', 'NC'), (',', 'PUNC'), ('facile', 'ADJ'), ('à', 'P'), ('appliquer', 'VINF'), ('car', 'CC'), ('très', 'ADV'), ('fluide', 'ADJ'), (',', 'PUNC'), ('ne', 'ADV'), ('dessèche', 'V'), ('pas', 'ADV'), ('les', 'DET'), ('cheveux', 'NC'), ('mais', 'CC'), ('laisse', 'V'), ('quand', 'CS'), ('même', 'ADV'), ('un', 'DET'), ('effet', 'NC'), ('légèrement', 'ADV'), ('""', 'PUNC'), ('carton', 'NC'), ('""', 'PUNC'), ('.', 'PUNC'), ('Précision', 'NPP'), (':', 'PUNC'), ('malgré', 'P'), ('la', 'DET'), ('nouvelle', 'ADJ'), ('formule', 'NC'), (',', 'PUNC'), ('ce', 'DET'), ('gel', 'NC'), ('laisse', 'V'), ('un', 'DET'), ('parfum', 'NC'), ('assez', 'ADV'), ('fort', 'ADV'), ('chimique', 'ADJ'), ('contrairement', 'ADV'), ('au', 'P'), ('Gel', 'N'), ('Glue', 'N'), ('de', 'P'), ('TECNI', 'N'), ('ART', 'NC'), ('(', 'DET'), ('tube', 'NC'), ('gris', 'ADJ'), ('métal', 'NC'), ('150mL', 'ADJ'), (')', 'NC'), ('qui', 'PROREL'), ('lui', 'CLO'), ('laisse', 'V'), ('un', 'DET'), ('parfum', 'NC'), ('très', 'ADV'), ('agréable', 'ADJ'), ('toute', 'ADJ'), ('la', 'DET'), ('journée', 'NC'), ('.', 'PUNC'), ('Je', 'CLS'), ('pense', 'V'), ('que', 'CS'), ('malheureusement', 'ADV'), ('je', 'CLS'), (""n'"", 'ADV'), ('ai', 'V'), ('pas', 'ADV'), ('reçu', 'VPP'), ('la', 'DET'), ('nouvelle', 'ADJ'), ('formule', 'NC'), ('(', 'DET'), ('avec', 'P'), ('un', 'DET'), ('meilleur', 'ADJ'), ('parfum', 'NC'), (')', 'DET'), ('car', 'CC'), ('en', 'P'), ('effet', 'N'), (""j'"", 'CLS'), ('ai', 'V'), ('reçu', 'VPP'), ('un', 'DET'), ('tube', 'NC'), ('blanc', 'ADJ'), ('comme', 'P'), ('les', 'DET'), ('précédents', 'ADJ'), ('alors', 'ADV'), ('que', 'C'), ('normalement', 'ADV'), ('les', 'DET'), ('nouveaux', 'ADJ'), ('sont', 'V'), ('gris', 'ADJ'), ('.', 'PUNC'), ('.', 'PUNC'), ('.', 'PUNC'), ('Je', 'CLS'), ('précise', 'V'), ('que', 'CS'), ('je', 'CLS'), (""l'"", 'CLO'), ('ai', 'V'), ('commandé', 'VPP'), ('chez', 'P'), ('le', 'DET'), ('vendeur', 'NC'), ('haarheini', 'ADJ'), ('.', 'PUNC')]"
1792,"[('Je', 'CLS'), ('suis', 'V'), ('très', 'ADV'), ('satisfait', 'ADJ'), ('de', 'P'), ('ce', 'DET'), ('produit', 'NC'), ('si', 'ADV'), ('comme', 'P'), ('moi', 'PRO'), ('vous', 'PRO'), ('avez', 'V'), ('la', 'DET'), ('chevelure', 'NC'), ('qui', 'PROREL'), ('commence', 'V'), ('à', 'P'), ('être', 'VINF'), ('clairsemée', 'VPP'), ('les', 'DET'), ('cheveux', 'NC'), ('sont', 'V'), ('plus', 'ADV'), ('denses', 'ADJ'), ('et', 'CC'), ('plus', 'ADV'), ('forts', 'ADJ'), ('aussi', 'ADV'), ('après', 'P'), ('mon', 'DET'), ('traitement', 'NC'), ('de', 'P'), ('42', 'DET'), ('flaconnettes', 'NC'), ('à', 'P'), ('raison', 'N'), ('de', 'P'), ('3', 'DET'), ('à', 'P'), ('4', 'DET'), ('flaconnettes', 'NC'), ('par', 'P'), ('semaine', 'NC'), ('le', 'DET'), ('résultat', 'NC'), ('est', 'V'), ('visible', 'ADJ'), ('.', 'PUNC'), ('Je', 'CLS'), ('ne', 'ADV'), ('perd', 'V'), ('plus', 'ADV'), ('mes', 'DET'), ('cheveux', 'NC'), ('comme', 'P'), ('avant', 'P'), ('lors', 'ADV'), ('du', 'P'), ('shampooing', 'NC'), ('ou', 'CC'), ('du', 'P'), ('coiffage', 'NC'), ('et', 'CC'), ('ils', 'CLS'), ('sont', 'V'), ('plus', 'ADV'), ('epais', 'ADJ'), ('.', 'PUNC')]"
