;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
33;acaht;0.0;0.0;0.0;0.00050873092086789;0.0;0.005689597454752251;4.6809839597382685e-05;0.0;2.1411094276152984e-05;0.0;0.0;0.0;8.221914565313092e-05;0.0;0.00016235400449767824;0.0;5.7397648888057e-05;0.00010078470162990934;0.0;0.0;0.0;2.9682114543227e-05;0.0;0.0005957854667901221;0.0004396978423529172
34;accentuer;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008615854442484994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0005037601473794064
35;acceptable;0.0;0.0056526777273041276;0.0;0.0;0.0;0.0;0.00865969300475005;0.0;0.0;0.0;0.0;0.00014077848326544991;0.0;0.0;0.0;0.0;0.0;0.0;0.0006285406143790363;0.0;0.0;0.0001874527760863529;0.0;0.0;4.2461250188365134e-05
36;accessible;0.0;0.0159385899198594;0.0;0.0;0.0;0.0;0.011227601004792823;0.0006367855754833404;0.006860238529238334;0.0;0.0;0.005783638539299072;0.0;0.0;0.0;0.026465379475295394;0.0;0.0;0.0;0.0;0.0;0.002704545039945266;0.0;0.002356470058438717;0.0
37;accessoire;0.0;3.8570312140566085e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.239163287917951e-05;0.0;4.116938058428998e-05;0.0;0.00206788502355042;0.0;0.0;0.0;0.0;0.0025385769116499203;0.0;0.0;0.0041118209370435985;0.0
38;accompagne;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017065890877606665;0.0
39;accompagner;0.0005270533071553434;0.0;0.00045021833377070644;0.0;0.005857381468063206;0.01101513903560849;0.0;0.009218876605129546;0.0073804668388608935;0.0;0.0;0.009911916370282964;0.0;0.003906093199790203;0.0;0.0004426789577762709;0.0;0.0;0.0;0.004465703585950478;0.0;0.0;0.0;0.0009543727110274815;0.0
40;accord;0.0;0.0;0.0010425345457917878;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000197077299487107;0.0;0.0;0.0;0.0;0.013070256700456796;0.0;0.0;0.0;0.0;0.0;0.024408719890355913;0.0
41;accorde;0.0;0.0;0.0;7.622921740868639e-07;0.0;0.0;0.0;1.2532375321956038e-05;0.0;0.0;6.635022235541276e-05;0.0;0.0;6.0180259055487324e-05;3.326049517052293e-05;0.0001081071141982998;1.6307076093199918e-06;0.0;3.634323332711069e-05;2.9923599684701224e-05;1.0064133103680012e-05;0.0;0.0;9.068226831173631e-06;5.512219616822742e-05
42;accorder;0.0;0.0;0.0;1.1299769691681834e-05;0.00023616538196282065;2.3403297005941593e-06;0.0;0.0;4.6077188173489756e-05;0.0;8.578720133806186e-05;0.0;0.0;0.0;0.0008247055465904823;0.0012831455519017347;0.0;0.0;0.0;0.0;0.0;0.0;1.275926483450003e-06;0.0001431552431497868;3.169403570208279e-05
43;accouchement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007663805637785091;0.0;0.0;0.0;0.0;0.0002010095033326132;0.0003416270587824774;0.0;0.00011341928790418185;0.0009216733116887866;0.0;0.0013633884938936017;0.0;3.4423008258081084e-06;0.00035523636001444316;0.0002266887920191793
44;accoucher;0.0;0.0005390756943389132;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0001780017507693119;0.0;0.0;0.0;0.00014617920280328507;0.0;0.0;0.0;0.002781214129320273;0.0
45;accro;0.0;0.0;0.0;0.0016661254584216692;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0015856225940021063;0.0013588957091307812;0.0;0.0;0.0;0.0;0.0;0.0;0.004838199008844475;0.0016489099376324002
46;accroche;0.0;0.0;0.0;0.0026565291548307853;0.0;0.0;0.0;0.0;0.0;0.00017813660790482825;0.0019051685226874283;0.0;0.0;0.0;0.0018273729422626785;0.0;0.0;0.00039886112354338605;0.0009719540369081213;0.0001880997134026072;0.00169221203538269;0.0;0.0;0.008503211303903075;0.0018598905852351508
47;accrochent;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002675602129856202;0.006204527687046199;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00030421559301774275
48;accueil;0.0;0.0001655765798501185;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0003222139292400296;0.0;0.0;0.0;0.0;0.0025301577661085884;0.0;0.0;0.0;5.386577233146814e-05;0.00016450047535811584;0.0;0.0;0.0;0.0
49;accès;0.0;0.0;0.0;0.0;0.0;0.006000248038772559;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0052724124431200925;0.00020609273539450606;0.0;0.0010606128909087069;0.0;0.0;0.0;0.0;0.0;0.0;0.0
