;term;0;1;2;3;4;5;6;7;8;9
59;acheteur;0.0;0.0;0.001949589527191073;0.0;0.00026791239592235125;0.0;0.0;0.0;0.0;0.001797799775151715
60;achetez;0.0;0.0;0.0;0.0;0.0;0.0;3.8504158215219886e-05;0.0;0.0;0.0021130127347422745
61;achette;0.0;0.0;0.0;9.71210442046596e-06;0.0;0.0;0.0;0.0;0.0;0.0011904239049603082
62;achetée;0.0;3.8880762975211765e-05;0.0;1.3973603313902099e-05;9.364322570128471e-05;0.0;9.849689244717817e-05;0.0008944840466892051;0.00015563218007699255;0.0008564043977296778
63;achète;0.004027339828095495;0.0;0.005756251422712251;0.0006212354490378189;0.0;0.0;0.009421304442244684;0.008266738037105809;0.0;0.04475357273925313
64;achèterai;0.0;0.0009048208296459012;0.0031836239918004014;0.0;0.0;0.0;0.0;0.0;0.0;0.0018022990336490346
65;achété;0.0;0.0;0.004894204437956182;0.0;0.0030294140782222414;0.0;0.0;0.004149163885656662;0.0;0.0
66;acidité;0.0;0.0;0.0;0.0;0.0;0.0012879055234225468;0.0;0.0;0.0;0.0008544138496352819
67;acné;0.0;0.0;0.0;0.0;0.0;0.005808083285744128;0.0;0.0;0.0;0.006407274024253531
68;acnéique;0.0;0.0;0.0007195516384317448;0.0;0.0;0.0015943816761737324;0.0;0.0;0.0;0.00186521478738425
69;acnés;0.0;0.0;0.0;0.0;0.0;5.794466006379088e-05;0.0;0.0;9.342951344906366e-06;0.00040551003452292725
70;acquiert;0.0;0.0;0.0018299673389467765;0.0;0.0;0.0;0.0;0.0;0.0;0.001739486984144007
71;acquis;0.00102407937498298;0.0;0.003564128046336875;0.0;0.0;0.0;0.0;0.0;0.0;0.0
72;acquérir;0.0;0.0;0.00016285462673144824;4.7023601146834263e-05;0.00010021398543485456;0.0;0.0;0.00018026579467378843;0.0;0.00017349240818265448
73;actualise;0.0;0.0;0.0;0.0;0.0;5.1606776555089696e-05;0.0;0.0009480282953555748;0.0;0.0005195860465439349
74;actuel;0.0;0.0;0.0;0.0;0.0;0.0;3.371522832360493e-06;0.0006585225956550056;0.0;0.002205886531652209
75;actuellement;0.0;0.0;0.0022063000737749887;0.0;0.0;0.0;0.0;0.0;0.0;0.004241947716387372
76;adapte;0.0;0.0;0.0;0.005810757998720862;0.0;0.0052240899765158754;0.0021753611679743664;0.001184351073816382;0.0;0.012345669230343454
77;adaptent;0.0;0.0;0.0003997767884993635;0.0;0.0;0.006560626609684588;0.0;0.0;0.0;0.0
78;adapter;0.0;0.009894367396755328;0.002912549631909216;0.006534117658690378;0.0;0.009504584591669387;0.0;0.008563044760094328;0.007280523591384595;0.021911276560361126
79;adapté;0.0;0.0;0.0;0.003419796448913236;0.0;0.0001864586905534872;0.0;0.0;0.0;0.00724046057455274
80;adepte;0.00732764474108419;0.0;0.0;0.006443270172178787;0.0;0.0007768937301852408;0.0;0.0;0.0;0.012975833179192696
81;adeptes;0.0;0.0;0.0;0.0;0.0;0.001681106251834825;0.0;0.0006483936535104615;0.0;0.0010224818489708988
82;adhère;0.0;0.0;0.002150942154544822;0.0;4.7396382809955066e-05;0.00030667832093960395;1.1961560325225566e-05;7.35996261158444e-05;0.0;0.002293038620934785
83;adhérer;0.0;0.0;0.0;0.0;1.942101243620901e-05;6.098116729343096e-06;0.0;0.0;0.0;0.0011599021679393486
84;adhésion;0.0;0.0;0.0;0.00014521001265054858;0.0;0.0016310437380504567;1.3902677174836253e-06;0.0013128804890174053;0.0;0.0009665217204291192
85;adict;0.0;0.0;6.12120624202988e-05;4.008234691974625e-05;0.0;0.0;1.6735449034152182e-05;0.0;0.0;0.0007500330887952407
86;adieu;0.002079938267438227;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0012133627063892637
87;adixion;0.0;0.0;0.0;0.0;9.23112290736239e-06;0.0;0.0;1.5349566153473435e-05;0.00012782915465525747;0.0010426049439300898
88;admettre;0.0;0.0;0.0;0.0;0.0;0.0;3.9019918048194086e-05;0.0;0.0;0.001161200010486192
89;ado;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.262846722810618e-06
