;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
37;accessoire;0.0;0.00019256996407333805;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0002643984571976705;0.0;0.003706135159529025;0.0;0.0;0.0;0.00192110368294732
38;accompagne;0.0;0.0;0.0;5.328557736920059e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005909106293808813
39;accompagner;0.0004943906362508791;0.0;0.0003977131446714689;0.0;0.005573041711578565;0.010761640877094018;0.0;0.009347810870568516;0.007318900361535754;0.0;0.0;0.009724877690997748;0.0;0.004213411512964117;0.0;0.0;0.0;0.0;0.0034583446098878324;0.0
40;accord;0.0;0.0;0.0012220389777859004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00034398685483586026;0.0;0.0006568282333884601;0.0;0.0;0.0;0.0;0.012530500280115887;0.0;0.007422477396603466
41;accorde;0.0;8.931457565146005e-07;0.0;0.0;0.0;0.0;0.0;1.4613434451167474e-05;0.0;0.0;6.277557775734802e-05;0.0;0.0;5.704348508025935e-05;2.8172356942798307e-05;1.5292233540568786e-05;3.938443879659462e-06;0.0;1.6588227637887657e-05;7.616998747310377e-05
42;accorder;0.0;0.0;0.0;2.1776645345070354e-05;0.00024216130237222824;4.2461970137891366e-05;0.0;0.0;0.0001587012765024662;0.0;0.00014480709599080891;0.0;0.0;0.0;0.0007570129461516786;0.0;0.0;0.00010133214184070276;0.0;0.00015608538965325176
43;accouchement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007879558587287254;0.0;0.0;0.0;4.8526317460165946e-05;0.00027708516697937986;0.001389488509040368;0.0;0.0001732310665938773;5.287603429808974e-05;0.000542199254519326
44;accoucher;0.0;0.0006231301851903043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.1074740969063155e-06;0.0;0.0;0.0;0.0;7.541051115574605e-05;0.0;0.0;0.00020841881073378513;0.0009752937131678582
45;accro;0.0;0.0;0.0;0.002074400106401834;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001339009206181501;0.0;0.0;0.003061719126365538
46;accroche;0.0;0.0;0.0;0.0034403031419432957;0.0;0.0;0.0;0.0;0.0;0.00017271423158332584;0.0020634107978357193;0.0;0.0;0.0;0.0019180748877580655;0.0019376745643030283;0.0;0.00016784954791277122;0.0002065544789054333;0.003984762616933909
