;documents;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
10;N'en reste pas moins une crème super agréable;0.0;0.00012974717180114787;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0013332667594888195;0.0;0.0007677702508116597;0.0013873773771091301;0.0;0.0025047443134912015;0.0021155849154367375;0.0;0.0;0.00019020509637641676;0.000390652607457528;0.0;0.0010854380229915386
11;Malheureusement présence de perturbateurs PROPYLENE GLYCOL, PHENOXYETHANOL et allergènes LINALOOL, LIMONENE mais en fin d'ingrédients donc en quantité faible.;0.000301886882141196;0.0005058299880370325;0.001864973536713069;0.0;0.0;0.0;0.0;0.00043062259497854714;0.00047680463329716243;0.001737440723251079;0.0;3.2391135553235366e-05;0.0;0.0005371354417547284;0.0005496137673893661;0.0004651958128790552;0.0017135549290240608;0.0008244035793615118;0.002796361020058122;0.007275649840900038;0.00046294819870329056;0.0;0.0004075621524357781;0.0;0.0004421858567165562;0.0015702772766704551;0.009576907747562894
12;remplit sa fonction;0.00016347220232238767;0.0;5.297136840039007e-05;0.0011610939418699319;0.00041910918873197447;0.0;0.0;0.0009213551485365028;0.0004907049406731614;0.00046801927141642934;0.001124649810254186;0.0;0.0003048046888644759;0.0;0.0;0.0;0.0;0.000758562645992138;0.00035782027906840213;0.00022356255573487518;0.0;0.0;0.0;0.0;0.002597261503371384;0.0002611031483172989;0.002005847184230422
13;Très bien pour le connaître depuis longtemps;0.0002554781557241055;0.0;0.0;0.0;0.0;1.282852408060454e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0004443419060152755;0.0;0.0;0.0;0.0;0.0;0.0;0.0032039613131651288;0.0;0.0;0.0;0.0035728003978772105;0.09909604481881652;0.0;0.0
14;Je suis toujours fidèle à ce produit pour essayer de lutter contre le dessèchement capillaire lié à l'âge et aux balayages.;0.0003331174896460935;0.00016636974859507997;4.850392785587184e-06;0.0010791795850854807;0.0010862827370739954;0.0004474921403540442;8.842325973982741e-05;0.00013296682063941836;2.0898423372134197e-05;0.00026856904555792383;0.0016563512239870727;0.0;0.0;0.0043340627290521065;0.0;0.001931712835168104;0.001980686340982479;0.0012752942182806956;0.0;0.0;0.0006931159973466803;0.0013328366571121611;0.0;0.0;0.027600549483872205;0.00028915043580194017;0.0
15;...comme les miens c'est le produit idéal qui évite le jaunissement des cheveux et en grande dose tel qu'il est présenté, c'est une utilisation de plusieurs mois;0.0;0.0;0.0;0.0004838731737318317;5.309160145613982e-06;0.0;0.00022211192127913145;0.004133085306968352;0.0;0.0019279030971980945;0.0;0.0;0.0008750540911600757;0.0;0.04306738930898183;0.0;0.0001266596809447472;0.023088566438990925;0.008091405717784486;0.0;0.01188334425477082;0.0014755294166179317;0.0;0.0;0.03941799336440313;0.009351753301503169;0.020664943488458598
16;De toute façon tout ce que fait L'OREAL est au top: ELSEVE pour les cheveux, MEN EXPERT, NARTA déodorant;0.0005095911227601421;0.0;0.0002709787211002233;0.00039067179262545733;0.0;0.0005793997012380853;0.0009832630467763654;0.0011896724424633113;0.001099577787290502;0.0009273685731581171;0.0;0.0026060394344767277;0.0;0.0022978971153952144;0.0;0.0011035598616794162;0.0;0.0036029343107002935;0.0;0.0;0.001346186003031041;0.0;0.0;0.0;0.003257082630244191;0.00037485402934246464;0.0
17;Je me sers de tout cela depuis des années et avec une entière satisfaction;0.00012550752116215007;0.0;0.00036953924756402104;5.631122626014288e-05;0.0;0.0030966437127376853;0.0;0.0;0.00993398391398904;0.0010730709645931375;0.002320261583569499;0.0;0.0003402730953526185;0.0;0.0;4.161165432923762e-05;0.0;8.90352717772981e-05;0.00033724217594207836;0.00034985535327690615;0.02730484772259326;0.0;0.0010713312392192245;0.0001716990253757646;0.0003577377486348535;0.0;0.0011885286200130497
18;Philippe;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.473383908050151e-190
19;Ravie de retrouver mon mascara préféré sur ce site et à un.prix vraiment abordable..;0.0006513109378981623;0.051525909032076;0.0008800177187241826;0.00030235708224805944;0.0029295197128878215;0.0008696765101388445;0.0010244876148856705;0.0;0.0;0.002148166265193422;0.0015844872466615892;0.0015366374170573069;0.0;0.001849378287605448;0.0007503732853510097;0.006348213708283985;0.0;0.007282479005782484;0.0;0.0;0.012979227028039256;0.00013520606527117344;0.0011483273528624055;0.0;0.016972676108538805;0.0;0.0
20;"prix compétitif,...facile d’application... plus d'un moi de traitement....je l""ai testé et dès qu'il est fini je repasse  une commande.";0.00018944659940533403;0.03850852679370963;0.0005953353347948373;0.0;0.0023185228095957723;0.00025004248616177497;3.983353109958654e-06;0.0;0.0;0.0;0.0;0.0012348399061493612;0.00020608064756078188;0.002036087023273924;0.11021677239457481;0.008092344653032008;0.0;0.004897781853012812;0.0;0.0;0.0;0.0009914121851061274;0.0002811158143077947;0.0;0.009484313621659909;0.0015852159755924437;0.0
21;Merci;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;Shampooing en format salon, dommage que la pompe ne soit pas livrée avec, j'ai du transvaser dans un contenant plus petit. Il laisse une odeur agréable sans être trop forte ou persistante, mousse bien et se rince facilement. J'utilise moins de quantité qu'avec un shampooing de grande surface donc c'est un très bon rapport qualité prix au final.;0.0;0.04436423041513796;0.05382471665294591;0.0;0.0012180325694839777;0.0;0.00046675037568284105;0.0013388804825424816;0.0600057756888505;0.00020903572783299176;0.0;0.0;0.003837073231295233;0.0;0.0;0.0;0.0033816787562646567;0.0012388284663157607;0.03903544323999643;0.0;0.0;0.0;0.0;0.0;0.03395439011867821;0.0;0.11030284744120145
23;Bonjour,;0.0006142567296618747;0.0;0.0;8.740680087371408e-05;0.0;0.0;0.0;0.0;0.0005934122482124657;0.0;0.0030606918516981525;0.0;0.0;0.0;0.0;0.0023993592977491224;0.0;0.0011051322035835619;0.0;0.0;0.010796843886026815;0.0;0.0031938367843993435;0.0;0.0;0.000833319276768772;0.0
