;term;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
38;accompagne;0.0;0.0;0.0;0.0010527026085790762;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.983821155953427e-05;0.0;0.0;0.0010226263142447119;0.0;0.002109714307131607;8.30907199538441e-05;0.0;0.0005734205249055513;0.0;0.0;0.0;0.0026539801937545695
39;accompagner;0.0002040034084675353;0.0;0.00023360127882863173;0.0;0.001974201247888156;0.01091522567916912;0.0;0.008939887476298161;0.006397819871569975;0.0;0.0;0.009840396984907098;0.0;0.003041483495197545;0.0;0.0;0.0;0.007981003812611026;0.0;0.0;0.0035577333838903414;0.0;0.0;0.0072255459991930815;0.0;0.0;0.00577406669670379
40;accord;0.0;0.0;0.0013580161194181018;0.0005559729269806924;0.0;0.0;0.0;0.0;0.0;0.0;0.0020387916509251192;0.0;0.0009659490277172604;0.0;0.0;0.017963162049755135;0.0;0.0;0.0;0.0027996815654103653;0.0;0.0;0.0008072423491102338;0.0;0.0;0.0;0.004692518584465632
41;accorde;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.181419020083777e-05;0.0;0.0;4.186742110565048e-05;0.0;0.0;5.4389674645851436e-05;2.8615230405305274e-05;0.0;0.0;0.00012348718687517926;1.596298069059418e-05;4.83475756740588e-05;2.2034393614857728e-05;0.0;0.0;2.75604398328452e-05;4.4607489963250895e-05;0.0;5.823990598124344e-06
42;accorder;0.0;0.0;0.0;2.2571795239580368e-05;0.0004086049829634579;0.0;0.0;0.0;5.2520989528940055e-05;0.0;0.00011684671092841771;0.0;0.0;0.0;0.0008420340835002806;0.0;0.0;5.915727059664934e-05;0.0;4.7489931597559625e-05;0.0;0.0;0.0;0.0;0.0007661450717788641;0.0;0.0
43;accouchement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007613494537652577;0.0;0.0;0.0;0.0;0.0001870156564948756;0.00011163325802700755;0.0;0.00014641313525026926;0.0015301610830584643;7.622189460940618e-05;0.0;0.0;0.0;0.0;3.653102818263429e-05;0.0006473432944318533;0.0011293481937732935
44;accoucher;0.0;0.0005737394508796518;0.0;0.00010521012216938365;0.0;0.0;0.0;0.0;0.0;0.0;2.2544738443319198e-05;0.0;0.0;0.0;5.853372665288422e-05;0.0;0.0;0.00042035094378853875;0.00011007544921922046;0.00020155567572678113;0.0002758412467657552;0.0;8.840082933301138e-05;0.0;9.232488046359867e-05;8.376941690889154e-05;0.0006503457265643714
45;accro;0.0;0.0;0.0;0.0025737505873955875;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0014271684245486087;0.0;0.0;0.002267857832320633;0.0;0.0;0.00012242252437683155;0.0;0.0011048184794347153;0.0;0.0004095726345208203
46;accroche;0.0;0.0;0.0;0.003851510107039448;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002382275787132878;0.0;0.0;0.012471891068796986;0.002345516461363289;0.003130546314817761;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47;accrochent;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0027636865205830836;0.0;0.0;0.0;0.0;0.00017505616332947032;0.0;0.0;0.0;0.0;0.0035267201831525384;0.0;0.0
